paper_id	title	note_path	primary_module_for_filing	classification_anchor	object_coverage_mode	general_method_bucket	note_status	source_limited	pdf_exists	citation_priority	queue_reasons	priority_score
ASD-0548	OpenScientist: evaluating an open agentic AI co-scientist to accelerate biomedical discovery	Notes/07_Medical_and_Health_Sciences/Roberts_2026_OpenScientist_Biomedical_Discovery.md	07	06;07	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0554	BioAgent: An Auditable Multi-Agent Framework for Reproducible Translational Bioinformatics	Notes/01_Formal_Information_and_Computational_Sciences/Rahim_2026_BioAgent_Reproducible_Translational_Bioinformatics.md	07	06;07	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0679	Rhizome OS-1: Rhizome's Semi-Autonomous Operating System for Small Molecule Drug Discovery	Notes/07_Medical_and_Health_Sciences/Wang_2026_Rhizome_OS_1.md	07	03;07	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0715	BioDisco: Multi-agent hypothesis generation with dual-mode evidence, iterative feedback and temporal evaluation	Notes/07_Medical_and_Health_Sciences/Ke_2025_BioDisco.md	07	07;06	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0817	Probe Before You Edit: Probing-Guided Molecular Optimization for LLM Agents in Structure-Based Drug Design	Notes/07_Medical_and_Health_Sciences/Yang_2026_PROBE_Structure_Based_Drug_Design.md	07	03;07	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0820	Reinforcement Learning with LLM-Guided Action Spaces for Synthesizable Lead Optimization	Notes/03_Chemical_Sciences/Li_2026_MolReAct_Lead_Optimization.md	07	03;07	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0822	Contextual Invertible World Models: A Neuro-Symbolic Agentic Framework for Colorectal Cancer Drug Response	Notes/07_Medical_and_Health_Sciences/Baker_2026_CIWM_CRC_Drug_Response.md	07	06;07	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0826	ToolMol: Evolutionary Agentic Framework for Multi-objective Drug Discovery	Notes/07_Medical_and_Health_Sciences/Zhou_2026_ToolMol.md	07	03;07	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0866	Accelerating Scientific Discovery with Autonomous Goal-evolving Agents	Notes/01_Formal_Information_and_Computational_Sciences/Unknown_2025_SAGA.md	07	03;04;06;07;09	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0782	CFDagent: A Language-Guided, Zero-Shot Multi-Agent System for Complex Flow Simulation	Notes/09_Engineering_and_Industrial_Technology_Sciences/Xu_2025_CFDagent.md	09	02;09	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
