paper_id	title	primary_module_for_filing	classification_anchor	pdf_status	evidence_status	pdf_exists	source_limited	first_hand_sources_checked	citation_priority	followup_reasons	priority_score	round_label	assigned_agent	slice_rank
ASD-0860	Autonomous detection of cryospheric change with hyperion on-board Earth Observing-1	05	05	source_limited_no_local_pdf	first_hand_abstract_and_official_pages	no	yes		standard	no_local_pdf;source_limited;non_full_text_evidence_status	85	Phase6FollowupR1	Evidence-Agent-B	1
ASD-0861	Flood detection and monitoring with the Autonomous Sciencecraft Experiment onboard EO-1	05	05	source_limited_no_local_pdf	first_hand_abstract_and_official_pages	no	yes		standard	no_local_pdf;source_limited;non_full_text_evidence_status	85	Phase6FollowupR1	Evidence-Agent-B	2
ASD-0617	An industrial automated laboratory for programmable protein evolution	06	06	source_limited_no_local_pdf	source_limited_review_packet	no	yes		standard	no_local_pdf;source_limited;non_full_text_evidence_status	85	Phase6FollowupR1	Evidence-Agent-B	3
ASD-0724	Autonomous seeking and mapping coral reef biodiversity hotspots with a multimodal AUV	06	06	source_limited_no_local_pdf	first_hand_abstract_and_doi_metadata	no	yes		standard	no_local_pdf;source_limited;non_full_text_evidence_status	85	Phase6FollowupR1	Evidence-Agent-B	4
ASD-0508	Autonomous, multiproperty-driven molecular discovery: From predictions to measurements and back	03	03	publisher_full_text_checked	first_hand_full_text	no	no		core	no_local_pdf	65	Phase6FollowupR1	Evidence-Agent-B	5
ASD-0565	Agentic AI for autonomous discovery of radiation-tolerant CoCrFeMnNi high entropy alloys	04	04	abstract_only_checked	first_hand_abstract_review_packet	no	no		standard	no_local_pdf;non_full_text_evidence_status	65	Phase6FollowupR1	Evidence-Agent-B	6
ASD-0631	Autonomous Discovery of Polymer Electrolyte Formulations with Warm-Start Batch Bayesian Optimization	04	04	preprint_pdf_checked_no_local_archive	first_hand_preprint_pdf_review_packet	no	no		standard	no_local_pdf;non_full_text_evidence_status	65	Phase6FollowupR1	Evidence-Agent-B	7
ASD-0536	TCM-Agent: Advancing Network Pharmacology and Herbal Medicine Discovery with LLM-Based Multi-Agent Systems	07	07	publisher_page_checked_visible_full_text_pdf_routes	first_hand_abstract_and_official_pages	no	no		standard	no_local_pdf;non_full_text_evidence_status	65	Phase6FollowupR1	Evidence-Agent-B	8
ASD-0544	LLM-Agent Powered Automated Literature Review and Hypothesis Generation for Cancer Biomarker Discovery	07	07	publisher_page_checked_visible_pdf_route	first_hand_abstract_and_official_pages	no	no		standard	no_local_pdf;non_full_text_evidence_status	65	Phase6FollowupR1	Evidence-Agent-B	9
ASD-0858	Incorporating AEGIS autonomous science into Mars Science Laboratory rover mission operations	10	10	official_result_snippet_visible_pdf_route	first_hand_abstract_and_official_pages	no	no		standard	no_local_pdf;non_full_text_evidence_status	65	Phase6FollowupR1	Evidence-Agent-B	10
