paper_id	title	note_path	current_master_doi_or_url	current_master_remarks_lead
ASD-0737	ScientistOne: Towards Human-Level Autonomous Research via Chain-of-Evidence Verification	Notes/01_Formal_Information_and_Computational_Sciences/Unknown_2026_ScientistOne.md	https://arxiv.org/abs/2605.26340	Current first-hand evidence is sufficient to keep this in concrete module 01 rather than an 01.04-only bucket, but broader cross-domain hints remained too weak for earlier closeout.
ASD-0738	AutoSOTA: An End-to-End Automated Research System for State-of-the-Art AI Model Discovery	Notes/01_Formal_Information_and_Computational_Sciences/Unknown_2026_AutoSOTA.md	https://arxiv.org/abs/2604.05550	Current first-hand evidence keeps this in module 01 for concrete AI / computational model-discovery tasks rather than 01.04.
ASD-0549	DeepInflation: An AI Agent for Research and Model Discovery of Inflation	Notes/02_Physics_Astronomy_and_Cosmic_Sciences/Peng_2026_DeepInflation.md	https://doi.org/10.1088/1674-4527/ae6ad8	Concrete inflationary-cosmology object remains stable in module 02 under prior arXiv / DOI evidence.
ASD-0567	Egent: An Autonomous Agent for Equivalent Width Measurement	Notes/02_Physics_Astronomy_and_Cosmic_Sciences/Ting_2026_Egent_Equivalent_Width.md	https://doi.org/10.33232/001c.161879	DOI landing plus arXiv PDF previously supported a stable astronomy-measurement reading in module 02.
ASD-0613	Physics Discovery in Nanoplasmonic Systems via Autonomous Experiments in Scanning Transmission Electron Microscopy	Notes/02_Physics_Astronomy_and_Cosmic_Sciences/Roccapriore_2022_Physics_Discovery_Nanoplasmonic_STEM.md	https://doi.org/10.1002/advs.202203422	Stable object is plasmonic physics discovery rather than materials optimization.
ASD-0707	ArgoLOOM: agentic AI for fundamental physics from quarks to cosmos	Notes/02_Physics_Astronomy_and_Cosmic_Sciences/Bakshi_2025_ArgoLOOM.md	https://arxiv.org/abs/2510.02426	Current first-hand evidence keeps the record in module 02 rather than 01.04.
ASD-0748	ASTER -- Agentic Science Toolkit for Exoplanet Research	Notes/02_Physics_Astronomy_and_Cosmic_Sciences/Panek_2026_ASTER_Exoplanet_Research.md	https://arxiv.org/abs/2603.26953	Primary-source correction showed this is a real class-02 exoplanet-research agentic toolkit.
ASD-0750	GRACE: an Agentic AI for Particle Physics Experiment Design and Simulation	Notes/02_Physics_Astronomy_and_Cosmic_Sciences/Kaboth_2026_GRACE_Particle_Physics_Design.md	https://arxiv.org/abs/2602.15039	Reviewer evidence supports keeping 02 rather than 09 because the optimized target remains a particle-physics experimental objective.
ASD-0734	Controlling an organic synthesis robot with machine learning to search for new reactivity	Notes/03_Chemical_Sciences/Granda_2018_Organic_Synthesis_Robot_Reactivity.md	https://doi.org/10.1038/s41586-018-0307-8	Current first-hand evidence keeps this in module 03 for reaction-space reactivity discovery.
ASD-0535	Accelerated inorganic materials design with generative AI agents	Notes/04_Materials_Science/Takahara_2025_MatAgent_Inorganic_Materials.md	https://doi.org/10.1016/j.xcrp.2025.103019	Current first-hand evidence stabilizes the record as an inorganic-materials design Agent rather than a general-method hold.
