paper_id	title	note_path	primary_module_for_filing	classification_anchor	object_coverage_mode	general_method_bucket	note_status	source_limited	pdf_exists	citation_priority	queue_reasons	priority_score
ASD-0541	PromptBio: A Multi-Agent AI Platform for Bioinformatics Data Analysis	Notes/06_Life_Sciences/Zhang_2025_PromptBio_Bioinformatics.md	01	01.04	general_method_without_concrete_object_experiments	01.04_general_asd_methods_without_concrete_object_experiments	updated_source_limited	yes	yes	standard	bucket_0104_note_wording_check;source_limited_note_refresh;source_limited_wording_confirmation	75
ASD-0097	Cellvoyager: Ai compbio agent generates new insights by autonomously analyzing biological data	Notes/06_Life_Sciences/Alber_2026_CellVoyager.md	06	06;07	multi_module	none	updated_source_limited	yes	no	core	multi_module_note_wording_check;source_limited_note_refresh;source_limited_wording_confirmation	75
ASD-0564	An agentic framework for autonomous scientific discovery in cancer pathology	Notes/07_Medical_and_Health_Sciences/Trost_2026_SPARK_Cancer_Pathology.md	07	07;06	multi_module	none	updated_source_limited	yes	yes	core	multi_module_note_wording_check;source_limited_note_refresh;source_limited_wording_confirmation	75
ASD-0696	AEGIS Automated Science Targeting for the MER Opportunity Rover	Notes/10_Aerospace_Marine_and_Transportation_Sciences/Estlin_2012_AEGIS_Opportunity_Rover.md	10	05;10	multi_module	none	updated_source_limited	yes	yes	core	multi_module_note_wording_check;source_limited_note_refresh;source_limited_wording_confirmation	75
ASD-0112	CSSTep: Step-by-step exploration of the chemical space of drug molecules via multi-agent and multi-stage reinforcement learning	Notes/07_Medical_and_Health_Sciences/Che_2025_CSSTep.md	03	03;07	multi_module	none	updated_source_limited	yes	no	standard	multi_module_note_wording_check;source_limited_note_refresh;source_limited_wording_confirmation	70
ASD-0141	TransAgent: Dynamizing transcriptional regulation analysis via multi-omics-aware AI agent	Notes/06_Life_Sciences/Zhang_2025_TransAgent_Transcriptional_Regulation.md	06	06;07	multi_module	none	updated_source_limited	yes	yes	standard	multi_module_note_wording_check;source_limited_note_refresh;source_limited_wording_confirmation	70
ASD-0743	STAT: A multi-agent framework for integrated and interactive spatial transcriptomics analysis	Notes/06_Life_Sciences/Chen_2026_STAT_Spatial_Transcriptomics.md	06	06;07	multi_module	none	updated_source_limited	yes	yes	standard	multi_module_note_wording_check;source_limited_note_refresh;source_limited_wording_confirmation	70
ASD-0745	BioLab: End-to-End Autonomous Life Sciences Research with Multi-Agents System Integrating Biological Foundation Models	Notes/06_Life_Sciences/Jin_2025_BioLab_Life_Sciences.md	06	06;07	multi_module	none	updated_source_limited	yes	yes	standard	multi_module_note_wording_check;source_limited_note_refresh;source_limited_wording_confirmation	70
ASD-0531	GALILEO: Embodied AI scientist for autonomous therapeutic discovery in dynamic membrane systems	Notes/07_Medical_and_Health_Sciences/Jiang_2026_GALILEO_Therapeutic_Discovery.md	07	06;07	multi_module	none	updated_source_limited	yes	yes	standard	multi_module_note_wording_check;source_limited_note_refresh;source_limited_wording_confirmation	70
ASD-0543	Machine Learning Copilot Agent: An LLM-Guided Workflow for Prognostic Gene Discovery	Notes/06_Life_Sciences/Patel_2025_ML_Copilot_Prognostic_Gene_Discovery.md	07	06;07	multi_module	none	updated_source_limited	yes	yes	standard	multi_module_note_wording_check;source_limited_note_refresh;source_limited_wording_confirmation	70
ASD-0545	IMMUNIA: A Multi-LLM Reasoning Agent for Immunoregulatory Surfaceome Discovery	Notes/07_Medical_and_Health_Sciences/Park_2025_IMMUNIA_Surfaceome_Discovery.md	07	06;07	multi_module	none	updated_source_limited	yes	yes	standard	multi_module_note_wording_check;source_limited_note_refresh;source_limited_wording_confirmation	70
ASD-0554	BioAgent: An Auditable Multi-Agent Framework for Reproducible Translational Bioinformatics	Notes/01_Formal_Information_and_Computational_Sciences/Rahim_2026_BioAgent_Reproducible_Translational_Bioinformatics.md	07	07;06	multi_module	none	updated_source_limited	yes	yes	standard	multi_module_note_wording_check;source_limited_note_refresh;source_limited_wording_confirmation	70
ASD-0006	DORA AI Scientist: Multi-agent Virtual Research Team for Scientific Exploration Discovery and Automated Report Generation	Notes/01_Formal_Information_and_Computational_Sciences/Naumov_2025_DORA_AI_Scientist.md	01	01.04	general_method_without_concrete_object_experiments	01.04_general_asd_methods_without_concrete_object_experiments	checked	yes	yes	core	bucket_0104_note_wording_check;source_limited_wording_confirmation	60
ASD-0553	ToolsGenie 2.0: A Scalable and Extensible Multi-Agent System for Bioinformatics Automation	Notes/01_Formal_Information_and_Computational_Sciences/Ma_2026_ToolsGenie_2_Bioinformatics_Automation.md	01	01.04	general_method_without_concrete_object_experiments	01.04_general_asd_methods_without_concrete_object_experiments	updated	yes	yes	standard	bucket_0104_note_wording_check;source_limited_wording_confirmation	55
ASD-0005	A Multiagent-Driven Robotic AI Chemist Enabling Autonomous Chemical Research On Demand	Notes/03_Chemical_Sciences/Song_2025_Robotic_AI_Chemist.md	03	03;04	multi_module	none	updated	yes	no	core	multi_module_note_wording_check;source_limited_wording_confirmation	55
ASD-0091	Agentic mixture-of-workflows for multi-modal chemical search	Notes/03_Chemical_Sciences/Callahan_2025_CRAG_MoW.md	03	03;04	multi_module	none	updated	yes	yes	core	multi_module_note_wording_check;source_limited_wording_confirmation	55
ASD-0093	Augmenting large language models with chemistry tools	Notes/03_Chemical_Sciences/Bran_2024_ChemCrow.md	03	03;04;07	multi_module	none	updated	yes	yes	core	multi_module_note_wording_check;source_limited_wording_confirmation	55
ASD-0085	Protagents: protein discovery via large language model multi-agent collaborations combining physics and machine learning	Notes/06_Life_Sciences/Ghafarollahi_2024_ProtAgents.md	06	04;06	multi_module	none	updated	yes	yes	core	multi_module_note_wording_check;source_limited_wording_confirmation	55
ASD-0137	Accelerating primer design for amplicon sequencing using large language model-powered agents	Notes/06_Life_Sciences/Wang_2025_PrimeGen_Primer_Design.md	06	06;07	multi_module	none	updated	yes	yes	core	multi_module_note_wording_check;source_limited_wording_confirmation	55
ASD-0040	Researchagent: Iterative research idea generation over scientific literature with large language models, 2025	Notes/01_Formal_Information_and_Computational_Sciences/Baek_2025_ResearchAgent.md	01	01.04	general_method_without_concrete_object_experiments	01.04_general_asd_methods_without_concrete_object_experiments	updated	no	yes	core	bucket_0104_note_wording_check	50
ASD-0004	InternAgent: When Agent Becomes the Scientist -- Building Closed-Loop System from Hypothesis to Verification	Notes/01_Formal_Information_and_Computational_Sciences/InternAgentTeam_2025_InternAgent.md	01	01;03;06;09;10	multi_module	none	updated	no	yes	core	multi_module_note_wording_check	45
ASD-0053	Towards autonomous hypothesis verification via language models with minimal guidance	Notes/01_Formal_Information_and_Computational_Sciences/Takagi_2023_Autonomous_Hypothesis_Verification.md	01	01.04	general_method_without_concrete_object_experiments	01.04_general_asd_methods_without_concrete_object_experiments	updated	no	yes	standard	bucket_0104_note_wording_check	45
ASD-0059	Iterative hypothesis generation for scientific discovery with monte carlo nash equilibrium self-refining trees, 2025	Notes/01_Formal_Information_and_Computational_Sciences/Rabby_2025_MC_NEST.md	01	01.04	general_method_without_concrete_object_experiments	01.04_general_asd_methods_without_concrete_object_experiments	updated	no	yes	standard	bucket_0104_note_wording_check	45
