paper_id,title,authors,year,source,doi_or_url,doi,url,arxiv_id,pdf_path,pdf_exists,note_path,note_exists,is_agent,inclusion_status,exclusion_reason,legacy_main_class,legacy_secondary_class,legacy_tertiary_class,secondary_class_source,secondary_class_confidence,secondary_class_review_status,fourth_level_topic,new_fourth_level,agent_type,research_workflow_role,validation_type,scientific_contribution_type,evidence_strength,citation_priority,scientific_object_modules,general_method_bucket,object_coverage_mode,primary_module_for_filing,primary_module_confidence,primary_module_assignment_rule,primary_module_override_reason,classification_source_field,classification_source_confidence,classification_parser_rule,first_hand_sources_checked,source_checked_at,progress_title,pdf_status,evidence_status,note_status,master_status,final_modules_or_bucket,source_limited,batch,closed,active_confirmed_core,record_status,inclusion_decision,duplicate_of,last_reviewed_at,last_reviewed_by,exported_at
ASD-0001,"Toward Greater Autonomy in Materials Discovery Agents: Unifying Planning, Physics, and Scientists",Zhou et al.,2025,arXiv,https://arxiv.org/abs/2506.05616,,https://arxiv.org/abs/2506.05616,2506.05616,Reference_PDF/04_Materials_Science/Zhou_2025_MAPPS.pdf,True,Notes/04_Materials_Science/Zhou_2025_MAPPS.md,True,yes,to_read,,04,04.04,,legacy,low,unreviewed,Materials discovery agents,no,,,,,,core,04,none,single_module,04,high,main_scientific_object,,Main class,medium,legacy_main_class_fallback,,2026-06-21,"Toward Greater Autonomy in Materials Discovery Agents: Unifying Planning, Physics, and Scientists",archived_pdf,first_hand_full_text,updated,updated,04,no,Batch00,yes,True,active_confirmed_core,confirmed_core,,,,2026-07-06T07:53:02+00:00
ASD-0002,HealthFlow: A Self-Evolving AI Agent with Meta Planning for Autonomous Healthcare Research,Zhu et al.,2025,arXiv,https://arxiv.org/abs/2508.02621,,https://arxiv.org/abs/2508.02621,2508.02621,Reference_PDF/07_Medical_and_Health_Sciences/Zhu_2025_HealthFlow.pdf,True,Notes/07_Medical_and_Health_Sciences/Zhu_2025_HealthFlow.md,True,yes,to_read,,07,07.04,,legacy,low,unreviewed,Healthcare research agents,no,,,,,,core,07,none,single_module,07,high,main_scientific_object,,Main class,medium,legacy_main_class_fallback,,2026-06-21,HealthFlow: A Self-Evolving AI Agent with Meta Planning for Autonomous Healthcare Research,archived_pdf,first_hand_full_text,updated,updated,07,no,Batch00,yes,True,active_confirmed_core,confirmed_core,,,,2026-07-06T07:53:02+00:00
ASD-0003,CheMatAgent: Enhancing LLMs for Chemistry and Materials Science through Tree-Search Based Tool Learning,Wu et al.,2025,arXiv,https://arxiv.org/abs/2506.07551,,https://arxiv.org/abs/2506.07551,2506.07551,Reference_PDF/03_Chemical_Sciences/Wu_2025_ChemAgent.pdf,True,Notes/03_Chemical_Sciences/Wu_2025_ChemAgent.md,True,yes,to_read,,03,03.04,,legacy,low,unreviewed,Chemistry agents / molecular discovery,no,,,,,,standard,03;04,none,multi_module,03,medium,manual_override,structured_remark_primary_module_for_filing,Remarks,high,structured_remark_token,arXiv PDF `2506.07551`,2026-06-21,CheMatAgent: Enhancing LLMs for Chemistry and Materials Science through Tree-Search Based Tool Learning,archived_pdf,first_hand_full_text,updated,updated,03;04,no,Batch00,yes,True,active_confirmed_core,confirmed_core,,,,2026-07-06T07:53:02+00:00
ASD-0004,InternAgent: When Agent Becomes the Scientist -- Building Closed-Loop System from Hypothesis to Verification,InternAgent Team et al.,2025,arXiv,https://arxiv.org/abs/2505.16938,,https://arxiv.org/abs/2505.16938,2505.16938,Reference_PDF/01_Formal_Information_and_Computational_Sciences/InternAgentTeam_2025_InternAgent.pdf,True,Notes/01_Formal_Information_and_Computational_Sciences/InternAgentTeam_2025_InternAgent.md,True,yes,to_read,,01,01.04,,legacy,low,unreviewed,General scientific research-agent systems,no,,,,,,core,01;03;06;09;10,none,multi_module,01,medium,manual_override,structured_remark_primary_module_for_filing,Remarks,high,structured_remark_token,arXiv abs + ar5iv HTML,2026-06-21,InternAgent: When Agent Becomes the Scientist -- Building Closed-Loop System from Hypothesis to Verification,archived_pdf,first_hand_full_text,updated,updated,01;03;06;09;10,no,Batch00,yes,True,active_confirmed_core,confirmed_core,,,,2026-07-06T07:53:02+00:00
ASD-0005,A Multiagent-Driven Robotic AI Chemist Enabling Autonomous Chemical Research On Demand,Song et al.,2025,JACS,https://doi.org/10.1021/jacs.4c17738,10.1021/jacs.4c17738,https://doi.org/10.1021/jacs.4c17738,,,False,Notes/03_Chemical_Sciences/Song_2025_Robotic_AI_Chemist.md,True,yes,to_read,,03,03.04,,legacy,low,unreviewed,Chemistry agents / molecular discovery,no,Multi-Agent System;Robot / Embodied Agent,experimental_design;experiment_execution;data_analysis;result_interpretation,robotic_experiment,system_platform;experimental_discovery,medium_pending_full_text,core,03;04,none,multi_module,03,medium,manual_override,structured_remark_primary_module_for_filing,Remarks,high,structured_remark_token,,2026-06-21,A Multiagent-Driven Robotic AI Chemist Enabling Autonomous Chemical Research On Demand,publisher_pdf_gated,first_hand_abstract_plus_official_supporting_info,updated,updated,03;04,yes,Batch00,yes,True,active_confirmed_core,confirmed_core,,,,2026-07-06T07:53:02+00:00
ASD-0006,DORA AI Scientist: Multi-agent Virtual Research Team for Scientific Exploration Discovery and Automated Report Generation,Naumov et al.,2025,bioRxiv,https://doi.org/10.1101/2025.03.06.641840,10.1101/2025.03.06.641840,https://doi.org/10.1101/2025.03.06.641840,,Reference_PDF/01_Formal_Information_and_Computational_Sciences/Naumov_2025_DORA_AI_Scientist.pdf,True,Notes/01_Formal_Information_and_Computational_Sciences/Naumov_2025_DORA_AI_Scientist.md,True,yes,to_read,,01,01.04,,legacy,low,unreviewed,General scientific research-agent systems,no,,,,,,core,,01.04_general_asd_methods_without_concrete_object_experiments,general_method_without_concrete_object_experiments,,,,,Remarks,high,structured_remark_token,Crossref DOI abstract `10.1101/2025.03.06.641840` + official DORA platform/blog/repo,2026-07-03,DORA AI Scientist: Multi-agent Virtual Research Team for Scientific Exploration Discovery and Automated Report Generation,archived_pdf,first_hand_full_text,updated,updated,01.04,no,Phase6FollowupR10Approx,yes,True,active_confirmed_core,confirmed_core,,,,2026-07-06T07:53:02+00:00
ASD-0007,Hypothesis Generation for Materials Discovery and Design Using Goal-Driven and Constraint-Guided LLM Agents,Kumbhar et al.,2025,arXiv,https://arxiv.org/abs/2501.13299,,https://arxiv.org/abs/2501.13299,2501.13299,Reference_PDF/04_Materials_Science/Kumbhar_2025_Hypothesis_Generation_Materials.pdf,True,Notes/04_Materials_Science/Kumbhar_2025_Hypothesis_Generation_Materials.md,True,yes,to_read,,04,04.04,,legacy,low,unreviewed,Materials discovery agents,no,,,,,,standard,04,none,single_module,04,high,main_scientific_object,,Main class,medium,legacy_main_class_fallback,,2026-06-21,Hypothesis Generation for Materials Discovery and Design Using Goal-Driven and Constraint-Guided LLM Agents,archived_pdf,first_hand_full_text,updated,updated,04,no,Batch00,yes,True,active_confirmed_core,confirmed_core,,,,2026-07-06T07:53:02+00:00
ASD-0008,Accelerating Drug Discovery Through Agentic AI: A Multi-Agent Approach to Laboratory Automation in the DMTA Cycle,Fehlis et al.,2025,arXiv,https://arxiv.org/abs/2507.09023,,https://arxiv.org/abs/2507.09023,2507.09023,Reference_PDF/07_Medical_and_Health_Sciences/Fehlis_2025_Tippy_DMTA.pdf,True,Notes/07_Medical_and_Health_Sciences/Fehlis_2025_Tippy_DMTA.md,True,yes,to_read,,07,07.04,,legacy,low,unreviewed,Drug discovery / biomedical agents,no,,,,,,core,07;03,none,multi_module,07,medium,manual_override,structured_remark_primary_module_for_filing,Remarks,high,structured_remark_token,arXiv PDF `2507.09023`,2026-06-21,Accelerating Drug Discovery Through Agentic AI: A Multi-Agent Approach to Laboratory Automation in the DMTA Cycle,archived_pdf,first_hand_full_text,updated,updated,07;03,no,Batch00,yes,True,active_confirmed_core,confirmed_core,,,,2026-07-06T07:53:02+00:00
ASD-0009,Agent-based learning of materials datasets from the scientific literature,Ansari and Moosavi,2024,Digital Discovery,https://doi.org/10.1039/D4DD00252K,10.1039/D4DD00252K,https://doi.org/10.1039/D4DD00252K,,Reference_PDF/04_Materials_Science/Ansari_2024_Eunomia_Materials_Datasets.pdf,True,Notes/04_Materials_Science/Ansari_2024_Eunomia_Materials_Datasets.md,True,yes,to_read,,04,04.04,,legacy,low,unreviewed,Materials discovery agents,no,,,,,,core,04,none,single_module,04,high,main_scientific_object,,Main class,medium,legacy_main_class_fallback,,2026-06-21,Agent-based learning of materials datasets from the scientific literature,archived_pdf,first_hand_full_text,updated,updated,04,no,Batch00,yes,True,active_confirmed_core,confirmed_core,,,,2026-07-06T07:53:02+00:00
ASD-0010,El Agente: An Autonomous Agent for Quantum Chemistry,Zou et al.,2025,arXiv,https://arxiv.org/abs/2505.02484,,https://arxiv.org/abs/2505.02484,2505.02484,Reference_PDF/03_Chemical_Sciences/Zou_2025_El_Agente_Q.pdf,True,Notes/03_Chemical_Sciences/Zou_2025_El_Agente_Q.md,True,yes,to_read,,03,03.04,,legacy,low,unreviewed,Chemistry agents / molecular discovery,no,,,,,,core,03,none,single_module,03,high,main_scientific_object,,Main class,medium,legacy_main_class_fallback,,2026-06-21,El Agente: An Autonomous Agent for Quantum Chemistry,archived_pdf,first_hand_full_text,updated,updated,03,no,Batch00,yes,True,active_confirmed_core,confirmed_core,,,,2026-07-06T07:53:02+00:00
ASD-0011,Chemtoolagent: The impact of tools on language agents for chemistry problem solving,Yu et al.,2024,arXiv,https://arxiv.org/abs/2411.07228,,https://arxiv.org/abs/2411.07228,2411.07228,,False,,False,uncertain,background_only,Tool-use chemistry problem-solving/benchmark paper; keep as background unless full text shows a scientific research workflow Agent.,03,03.04,,legacy,low,unreviewed,Chemistry agents / molecular discovery,no,,,,,,standard,03,none,single_module,03,high,main_scientific_object,,Main class,medium,legacy_main_class_fallback,,,,,,,,,,,,False,background_only,background_only,,,,2026-07-06T07:53:02+00:00
