paper_id	title	note_path	primary_module_for_filing	classification_anchor	object_coverage_mode	general_method_bucket	note_status	source_limited	pdf_exists	citation_priority	queue_reasons	priority_score
ASD-0659	Autonomous Agents Coordinating Distributed Discovery Through Emergent Artifact Exchange	Notes/01_Formal_Information_and_Computational_Sciences/Wang_2026_Artifact_Exchange.md	04	04;06;07;11	multi_module	none	updated	no	yes	core	multi_module_note_wording_check	45
ASD-0673	Harnessing AtomisticSkills for Agentic Atomistic Research	Notes/01_Formal_Information_and_Computational_Sciences/Deng_2026_AtomisticSkills.md	04	03;04;07	multi_module	none	updated	no	yes	core	multi_module_note_wording_check	45
ASD-0790	Hierarchical Multi-agent Large Language Model Reasoning for Autonomous Heterogeneous Catalyst Discovery	Notes/04_Materials_Science/Rothfarb_2026_Heterogeneous_Catalyst_Discovery.md	04	03;04	multi_module	none	updated	no	yes	core	multi_module_note_wording_check	45
ASD-0792	Autonomous heterogeneous catalyst discovery with a self-evolving multi-agent digital twin	Notes/04_Materials_Science/Song_2026_CatDT_Heterogeneous_Catalyst_Discovery.md	04	03;04	multi_module	none	updated	no	yes	core	multi_module_note_wording_check	45
ASD-0650	OpenEarth-Agent: From Tool Calling to Tool Creation for Open-Environment Earth Observation	Notes/05_Earth_and_Environmental_Sciences/Zhao_2026_OpenEarth_Agent.md	05	05;08;11	multi_module	none	updated	no	yes	core	multi_module_note_wording_check	45
ASD-0064	Phenograph: A multi-agent framework for phenotype-driven discovery in spatial transcriptomics data augmented with knowledge graphs	Notes/06_Life_Sciences/Niyakan_2025_PhenoGraph.md	06	06;07	multi_module	none	updated	no	yes	core	multi_module_note_wording_check	45
ASD-0085	Protagents: protein discovery via large language model multi-agent collaborations combining physics and machine learning	Notes/06_Life_Sciences/Ghafarollahi_2024_ProtAgents.md	06	04;06	multi_module	none	updated	no	yes	core	multi_module_note_wording_check	45
ASD-0097	Cellvoyager: Ai compbio agent generates new insights by autonomously analyzing biological data	Notes/06_Life_Sciences/Alber_2026_CellVoyager.md	06	06	single_module	none	updated_source_limited	yes	no	core	source_limited_note_refresh;source_limited_wording_confirmation	45
ASD-0137	Accelerating primer design for amplicon sequencing using large language model-powered agents	Notes/06_Life_Sciences/Wang_2025_PrimeGen_Primer_Design.md	06	06;07	multi_module	none	updated	no	yes	core	multi_module_note_wording_check	45
ASD-0663	AutoScientists: Self-Organizing Agent Teams for Long-Running Scientific Experimentation	Notes/01_Formal_Information_and_Computational_Sciences/Unknown_2026_AutoScientists.md	06	01;06;07	multi_module	none	updated	no	yes	core	multi_module_note_wording_check	45
