module_code	module_rank	paper_id	title	note_path	year	source	citation_priority	evidence_status	pdf_exists	source_limited	object_coverage_mode	primary_module_for_filing	representative_score	recommended_section_role	coverage_risk_note	drafting_readiness	slice	assigned_agent	slice_rank
01	1	ASD-0013	The ai scientist-v2: Workshop-level automated scientific discovery via agentic tree search	Notes/01_Formal_Information_and_Computational_Sciences/Yamada_2025_AI_Scientist_V2.md	2025	arXiv	core	first_hand_full_text	yes	no	single_module	01	72	anchor	low	ready_low_risk	A	Evidence-Agent-A	1
01	2	ASD-0018	Agent laboratory: Using llm agents as research assistants	Notes/01_Formal_Information_and_Computational_Sciences/Schmidgall_2025_Agent_Laboratory.md	2025	arXiv	core	first_hand_full_text	yes	no	single_module	01	72	anchor	low	ready_low_risk	A	Evidence-Agent-A	2
01	3	ASD-0019	Agentrxiv: Towards collaborative autonomous research	Notes/01_Formal_Information_and_Computational_Sciences/Schmidgall_2025_AgentRxiv.md	2025	arXiv	core	first_hand_full_text	yes	no	single_module	01	72	exemplar	low	ready_low_risk	A	Evidence-Agent-A	3
01	4	ASD-0032	Codescientist: End-to-end semi-automated scientific discovery with code-based experimentation	Notes/01_Formal_Information_and_Computational_Sciences/Jansen_2025_CodeScientist.md	2025	arXiv	core	first_hand_full_text	yes	no	single_module	01	72	exemplar	low	ready_low_risk	A	Evidence-Agent-A	4
01	5	ASD-0048	Dolphin: Closed-loop open-ended auto-research through thinking, practice, and feedback	Notes/01_Formal_Information_and_Computational_Sciences/Yuan_2025_Dolphin.md	2025	arXiv	core	first_hand_full_text	yes	no	single_module	01	72	exemplar	low	ready_low_risk	A	Evidence-Agent-A	5
02	1	ASD-0058	Astroagents: A multi-agent ai for hypothesis generation from mass spectrometry data	Notes/02_Physics_Astronomy_and_Cosmic_Sciences/Saeedi_2025_AstroAgents.md	2025	arXiv	core	first_hand_full_text	yes	no	single_module	02	72	anchor	low	ready_low_risk	A	Evidence-Agent-A	6
02	2	ASD-0090	Agents for self-driving laboratories applied to quantum computing	Notes/02_Physics_Astronomy_and_Cosmic_Sciences/Cao_2025_K_Agents_Quantum.md	2024	arXiv	core	first_hand_full_text	yes	no	single_module	02	72	anchor	stale_source_state	ready_with_note_drift	A	Evidence-Agent-A	7
02	3	ASD-0687	Agentic AI for Multi-Stage Physics Experiments at a Large-Scale User Facility Particle Accelerator	Notes/02_Physics_Astronomy_and_Cosmic_Sciences/Hellert_2025_Agentic_AI_Particle_Accelerator.md	2025	arXiv	core	first_hand_full_text	yes	no	single_module	02	72	exemplar	stale_to_read	ready_with_note_drift	A	Evidence-Agent-A	8
02	4	ASD-0062	Empowering scientific workflows with federated agents	Notes/01_Formal_Information_and_Computational_Sciences/Pauloski_2026_Federated_Agents.md	2025	arXiv	core	first_hand_full_text	yes	no	multi_module	01	66	boundary	cross_module	ready_low_risk	A	Evidence-Agent-A	9
02	5	ASD-0151	Self-driving lab discovers principles for steering spontaneous emission beyond conventional Fourier optics	Notes/04_Materials_Science/Desai_2026_Spontaneous_Emission_SDL.md	2026	Nature Communications	core	first_hand_full_text	yes	no	multi_module	04	66	boundary	cross_module	ready_low_risk	A	Evidence-Agent-A	10
