paper_id	title	note_path	primary_module_for_filing	classification_anchor	object_coverage_mode	general_method_bucket	note_status	source_limited	pdf_exists	citation_priority	queue_reasons	priority_score
ASD-0152	An agentic AI framework for ingestion and standardization of single-cell RNA-seq data analysis	Notes/06_Life_Sciences/Nouri_2026_CellAtria_scRNAseq.md	06	06;07	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0276	Automating exploratory multiomics research via language models	Notes/06_Life_Sciences/Qu_2025_PROTEUS_Multiomics.md	06	06;07	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0599	An AI-Native Biofoundry for Autonomous Enzyme Engineering: Integrating Active Learning with Automated Experimentation	Notes/06_Life_Sciences/Zhang_2026_AINative_Biofoundry_Enzyme_Engineering.md	06	06	single_module	none	updated_source_limited	yes	yes	standard	source_limited_note_refresh;source_limited_wording_confirmation	40
ASD-0617	An industrial automated laboratory for programmable protein evolution	Notes/06_Life_Sciences/Shen_2025_Industrial_Automated_Protein_Evolution.md	06	06	single_module	none	updated_source_limited	yes	no	standard	source_limited_note_refresh;source_limited_wording_confirmation	40
ASD-0660	S1-NexusAgent: a Self-Evolving Agent Framework for Multidisciplinary Scientific Research	Notes/01_Formal_Information_and_Computational_Sciences/NexusAgentTeam_2026_S1_NexusAgent.md	06	03;04;06;07	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0724	Autonomous seeking and mapping coral reef biodiversity hotspots with a multimodal AUV	Notes/06_Life_Sciences/Phillips_2026_Coral_Reef_Biodiversity_Hotspots_AUV.md	06	06	single_module	none	updated_source_limited	yes	no	standard	source_limited_note_refresh;source_limited_wording_confirmation	40
ASD-0731	Self-Driving Datasets: From 20 Million Papers to Nuanced Biomedical Knowledge at Scale	Notes/06_Life_Sciences/Jones_2026_Self_Driving_Datasets.md	06	03;06;07	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0741	Spatial transcriptomics AI agent charts hPSC-pancreas maturation in vivo	Notes/06_Life_Sciences/Lin_2025_Spatial_Transcriptomics_Pancreas_Maturation.md	06	06	single_module	none	updated_source_limited	yes	yes	standard	source_limited_note_refresh;source_limited_wording_confirmation	40
ASD-0742	Talk2Biomodels: AI agent-based open-source LLM initiative for kinetic biological models	Notes/06_Life_Sciences/Wehling_2025_Talk2Biomodels.md	06	06;07	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0743	STAT: A multi-agent framework for integrated and interactive spatial transcriptomics analysis	Notes/06_Life_Sciences/Chen_2026_STAT_Spatial_Transcriptomics.md	06	06;07	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0744	BioGAIP: A Scalable, User-Friendly and Robust LLM-Powered Multi-Agent System for Automated Bioinformatics Tasks	Notes/06_Life_Sciences/Zhang_2026_BioGAIP_Bioinformatics.md	06	06;07	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0745	BioLab: End-to-End Autonomous Life Sciences Research with Multi-Agents System Integrating Biological Foundation Models	Notes/06_Life_Sciences/Jin_2025_BioLab_Life_Sciences.md	06	06;07	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0770	Progressive Multi-Agent Reasoning for Biological Perturbation Prediction	Notes/06_Life_Sciences/Kim_2026_PBio_Agent_Perturbation_Biology.md	06	06;07	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0030	Rag-enhanced collaborative llm agents for drug discovery	Notes/07_Medical_and_Health_Sciences/Lee_2025_CLADD.md	07	03;07	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0113	PharmAgents: Building a virtual pharma with large language model agents	Notes/07_Medical_and_Health_Sciences/Gao_2025_PharmAgents.md	07	07;03	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0254	From intention to implementation: automating biomedical research via llms	Notes/01_Formal_Information_and_Computational_Sciences/Luo_2025_BioResearcher.md	07	06;07	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0531	GALILEO: Embodied AI scientist for autonomous therapeutic discovery in dynamic membrane systems	Notes/07_Medical_and_Health_Sciences/Jiang_2026_GALILEO_Therapeutic_Discovery.md	07	06;07	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0537	Medea: An omics AI agent for therapeutic discovery	Notes/07_Medical_and_Health_Sciences/Sui_2026_Medea_Therapeutic_Discovery.md	07	06;07	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0543	Machine Learning Copilot Agent: An LLM-Guided Workflow for Prognostic Gene Discovery	Notes/06_Life_Sciences/Patel_2025_ML_Copilot_Prognostic_Gene_Discovery.md	07	06;07	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0545	IMMUNIA: A Multi-LLM Reasoning Agent for Immunoregulatory Surfaceome Discovery	Notes/07_Medical_and_Health_Sciences/Park_2025_IMMUNIA_Surfaceome_Discovery.md	07	06;07	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0548	OpenScientist: evaluating an open agentic AI co-scientist to accelerate biomedical discovery	Notes/07_Medical_and_Health_Sciences/Roberts_2026_OpenScientist_Biomedical_Discovery.md	07	06;07	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0554	BioAgent: An Auditable Multi-Agent Framework for Reproducible Translational Bioinformatics	Notes/01_Formal_Information_and_Computational_Sciences/Rahim_2026_BioAgent_Reproducible_Translational_Bioinformatics.md	07	06;07	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0679	Rhizome OS-1: Rhizome's Semi-Autonomous Operating System for Small Molecule Drug Discovery	Notes/07_Medical_and_Health_Sciences/Wang_2026_Rhizome_OS_1.md	07	03;07	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0715	BioDisco: Multi-agent hypothesis generation with dual-mode evidence, iterative feedback and temporal evaluation	Notes/07_Medical_and_Health_Sciences/Ke_2025_BioDisco.md	07	07;06	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0817	Probe Before You Edit: Probing-Guided Molecular Optimization for LLM Agents in Structure-Based Drug Design	Notes/07_Medical_and_Health_Sciences/Yang_2026_PROBE_Structure_Based_Drug_Design.md	07	03;07	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0820	Reinforcement Learning with LLM-Guided Action Spaces for Synthesizable Lead Optimization	Notes/03_Chemical_Sciences/Li_2026_MolReAct_Lead_Optimization.md	07	03;07	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0822	Contextual Invertible World Models: A Neuro-Symbolic Agentic Framework for Colorectal Cancer Drug Response	Notes/07_Medical_and_Health_Sciences/Baker_2026_CIWM_CRC_Drug_Response.md	07	06;07	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
ASD-0826	ToolMol: Evolutionary Agentic Framework for Multi-objective Drug Discovery	Notes/07_Medical_and_Health_Sciences/Zhou_2026_ToolMol.md	07	03;07	multi_module	none	updated	no	yes	standard	multi_module_note_wording_check	40
