paper_id,assignment_id,discipline_local_code,discipline_local_rank,discipline_display_order,assignment_status,assigned_at,assigned_by,retired_at,redirected_to_code,assignment_reason,pending_reason,primary_module_for_filing,primary_module_confidence,primary_module_assignment_rule,primary_module_override_reason,primary_taxonomy_code_2lvl,legacy_secondary_class,secondary_class_source,secondary_class_confidence,secondary_class_review_status,scientific_object_modules,general_method_bucket,title,note_path,pdf_path,active_confirmed_core,is_derived_snapshot,generated_at,generated_by,source_commit,worktree_dirty
ASD-0001,DCA-000001,04-04-001,001,04-04-001,active_code,2026-07-05,codex,,,initial_assignment,,04,high,main_scientific_object,,04.04,04.04,legacy,low,unreviewed,04,none,"Toward Greater Autonomy in Materials Discovery Agents: Unifying Planning, Physics, and Scientists",Notes/04_Materials_Science/Zhou_2025_MAPPS.md,Reference_PDF/04_Materials_Science/Zhou_2025_MAPPS.pdf,True,True,2026-07-06T02:00:38+00:00,export_structured_data.py,6c5828ff9786d01b2003d992c9bf6139c22cb1ad,True
ASD-0002,DCA-000002,07-04-001,001,07-04-001,active_code,2026-07-05,codex,,,initial_assignment,,07,high,main_scientific_object,,07.04,07.04,legacy,low,unreviewed,07,none,HealthFlow: A Self-Evolving AI Agent with Meta Planning for Autonomous Healthcare Research,Notes/07_Medical_and_Health_Sciences/Zhu_2025_HealthFlow.md,Reference_PDF/07_Medical_and_Health_Sciences/Zhu_2025_HealthFlow.pdf,True,True,2026-07-06T02:00:38+00:00,export_structured_data.py,6c5828ff9786d01b2003d992c9bf6139c22cb1ad,True
ASD-0003,DCA-000003,03-04-001,001,03-04-001,active_code,2026-07-05,codex,,,initial_assignment,,03,medium,manual_override,structured_remark_primary_module_for_filing,03.04,03.04,legacy,low,unreviewed,03;04,none,CheMatAgent: Enhancing LLMs for Chemistry and Materials Science through Tree-Search Based Tool Learning,Notes/03_Chemical_Sciences/Wu_2025_ChemAgent.md,Reference_PDF/03_Chemical_Sciences/Wu_2025_ChemAgent.pdf,True,True,2026-07-06T02:00:38+00:00,export_structured_data.py,6c5828ff9786d01b2003d992c9bf6139c22cb1ad,True
ASD-0004,DCA-000004,01-04-001,001,01-04-001,active_code,2026-07-05,codex,,,initial_assignment,,01,medium,manual_override,structured_remark_primary_module_for_filing,01.04,01.04,legacy,low,unreviewed,01;03;06;09;10,none,InternAgent: When Agent Becomes the Scientist -- Building Closed-Loop System from Hypothesis to Verification,Notes/01_Formal_Information_and_Computational_Sciences/InternAgentTeam_2025_InternAgent.md,Reference_PDF/01_Formal_Information_and_Computational_Sciences/InternAgentTeam_2025_InternAgent.pdf,True,True,2026-07-06T02:00:38+00:00,export_structured_data.py,6c5828ff9786d01b2003d992c9bf6139c22cb1ad,True
ASD-0005,DCA-000005,03-04-002,002,03-04-002,active_code,2026-07-05,codex,,,initial_assignment,,03,medium,manual_override,structured_remark_primary_module_for_filing,03.04,03.04,legacy,low,unreviewed,03;04,none,A Multiagent-Driven Robotic AI Chemist Enabling Autonomous Chemical Research On Demand,Notes/03_Chemical_Sciences/Song_2025_Robotic_AI_Chemist.md,,True,True,2026-07-06T02:00:38+00:00,export_structured_data.py,6c5828ff9786d01b2003d992c9bf6139c22cb1ad,True
ASD-0006,DCA-000006,,,GM-PENDING-ASD-0006,non_discipline_general_method,2026-07-05,codex,,,initial_assignment,,,,,,,01.04,legacy,low,unreviewed,,01.04_general_asd_methods_without_concrete_object_experiments,DORA AI Scientist: Multi-agent Virtual Research Team for Scientific Exploration Discovery and Automated Report Generation,Notes/01_Formal_Information_and_Computational_Sciences/Naumov_2025_DORA_AI_Scientist.md,Reference_PDF/01_Formal_Information_and_Computational_Sciences/Naumov_2025_DORA_AI_Scientist.pdf,True,True,2026-07-06T02:00:38+00:00,export_structured_data.py,6c5828ff9786d01b2003d992c9bf6139c22cb1ad,True
ASD-0007,DCA-000007,04-04-002,002,04-04-002,active_code,2026-07-05,codex,,,initial_assignment,,04,high,main_scientific_object,,04.04,04.04,legacy,low,unreviewed,04,none,Hypothesis Generation for Materials Discovery and Design Using Goal-Driven and Constraint-Guided LLM Agents,Notes/04_Materials_Science/Kumbhar_2025_Hypothesis_Generation_Materials.md,Reference_PDF/04_Materials_Science/Kumbhar_2025_Hypothesis_Generation_Materials.pdf,True,True,2026-07-06T02:00:38+00:00,export_structured_data.py,6c5828ff9786d01b2003d992c9bf6139c22cb1ad,True
ASD-0008,DCA-000008,07-04-002,002,07-04-002,active_code,2026-07-05,codex,,,initial_assignment,,07,medium,manual_override,structured_remark_primary_module_for_filing,07.04,07.04,legacy,low,unreviewed,07;03,none,Accelerating Drug Discovery Through Agentic AI: A Multi-Agent Approach to Laboratory Automation in the DMTA Cycle,Notes/07_Medical_and_Health_Sciences/Fehlis_2025_Tippy_DMTA.md,Reference_PDF/07_Medical_and_Health_Sciences/Fehlis_2025_Tippy_DMTA.pdf,True,True,2026-07-06T02:00:38+00:00,export_structured_data.py,6c5828ff9786d01b2003d992c9bf6139c22cb1ad,True
ASD-0009,DCA-000009,04-04-003,003,04-04-003,active_code,2026-07-05,codex,,,initial_assignment,,04,high,main_scientific_object,,04.04,04.04,legacy,low,unreviewed,04,none,Agent-based learning of materials datasets from the scientific literature,Notes/04_Materials_Science/Ansari_2024_Eunomia_Materials_Datasets.md,Reference_PDF/04_Materials_Science/Ansari_2024_Eunomia_Materials_Datasets.pdf,True,True,2026-07-06T02:00:38+00:00,export_structured_data.py,6c5828ff9786d01b2003d992c9bf6139c22cb1ad,True
ASD-0010,DCA-000010,03-04-003,003,03-04-003,active_code,2026-07-05,codex,,,initial_assignment,,03,high,main_scientific_object,,03.04,03.04,legacy,low,unreviewed,03,none,El Agente: An Autonomous Agent for Quantum Chemistry,Notes/03_Chemical_Sciences/Zou_2025_El_Agente_Q.md,Reference_PDF/03_Chemical_Sciences/Zou_2025_El_Agente_Q.pdf,True,True,2026-07-06T02:00:38+00:00,export_structured_data.py,6c5828ff9786d01b2003d992c9bf6139c22cb1ad,True
