ID	Paper title	Is Agent	Inclusion status	Main class	Secondary class	Source	DOI / arXiv / URL	Fourth-level topic	Citation priority	Note path	Remarks
ASD-0111	SciMaster: Towards general-purpose scientific AI agents, Part I. X-Master as foundation: Can we lead on Humanity's Last Exam?	yes	candidate	01	01.04	arXiv	https://arxiv.org/abs/2507.05241	General-purpose scientific AI agents	standard		Source trail: Shanghai AI Lab seed survey[ref 32]; ExpansionBatch2026-06-16.
ASD-0112	CSSTep: Step-by-step exploration of the chemical space of drug molecules via multi-agent and multi-stage reinforcement learning	yes	candidate	03	03.04	Chemical Engineering Science	https://doi.org/10.1016/j.ces.2025.122048	Chemical-space exploration / drug-like molecules	standard		Source trail: Shanghai AI Lab seed survey[ref 34]; ExpansionBatch2026-06-16; classification may move to 07 if therapeutic validation dominates.
ASD-0113	PharmAgents: Building a virtual pharma with large language model agents	yes	candidate	07	07.04	arXiv	https://arxiv.org/abs/2503.22164	Drug discovery / virtual pharma agents	standard		Source trail: Shanghai AI Lab seed survey[ref 59]; ExpansionBatch2026-06-16.
ASD-0114	Sparks: Multi-agent artificial intelligence model discovers protein design principles	yes	candidate	06	06.03	arXiv	https://arxiv.org/abs/2504.19017	Protein design / protein science agents	standard		Source trail: Shanghai AI Lab seed survey[ref 73]; ExpansionBatch2026-06-16.
ASD-0115	Towards an AI co-scientist	yes	candidate	07	07.04	arXiv	https://arxiv.org/abs/2502.18864	Biomedical co-scientist systems	core		Source trail: Shanghai AI Lab seed survey[ref 75/76]; ExpansionBatch2026-06-16; classify by biomedical validation if confirmed, otherwise 01.04.
ASD-0116	Electromagnetic metamaterial agent	yes	candidate	04	04.04	Light: Science & Applications	https://doi.org/10.1038/s41377-025-01716-3	Electromagnetic metamaterial design agents	standard		Source trail: Shanghai AI Lab seed survey[ref 98]; ExpansionBatch2026-06-16.
ASD-0117	OSDA agent: Leveraging large language models for de novo design of organic structure directing agents	yes	candidate	04	04.02	ICLR	https://openreview.net/forum?id=9YNyiCJE3k	Organic structure-directing agents for porous/inorganic materials	standard		Source trail: Shanghai AI Lab seed survey[ref 100]; ExpansionBatch2026-06-16; may interact with 04 if zeolite/material target dominates.
ASD-0118	Biomni: A general-purpose biomedical AI agent	yes	candidate	07	07.04	bioRxiv	https://doi.org/10.1101/2025.05.30.656746	General biomedical research agents	core		Source trail: Shanghai AI Lab seed survey[ref 104]; ExpansionBatch2026-06-16.
ASD-0119	ChatMOF: An autonomous AI system for predicting and generating metal-organic frameworks	yes	candidate	04	04.02	arXiv	https://arxiv.org/abs/2308.01423	MOF generation / porous materials agents	standard		Source trail: Shanghai AI Lab seed survey[ref 123]; ExpansionBatch2026-06-16.
ASD-0120	AI agents for ground-based gamma astronomy	yes	candidate	02	02.01	arXiv	https://arxiv.org/abs/2503.00821	Gamma-ray astronomy agents	standard		Source trail: Shanghai AI Lab seed survey[ref 132]; ExpansionBatch2026-06-16.
ASD-0121	Multi-agent system for cosmological parameter analysis	yes	candidate	02	02.01	arXiv	https://arxiv.org/abs/2412.00431	Cosmological parameter analysis agents	standard		Source trail: Shanghai AI Lab seed survey[ref 139]; ExpansionBatch2026-06-16.
ASD-0122	Agent Hospital: A simulacrum of hospital with evolvable medical agents	yes	needs_review	07	07.02	arXiv	https://arxiv.org/abs/2405.02957	Medical-agent simulation / hospital agents	standard		Source trail: Shanghai AI Lab seed survey[ref 145]; ExpansionBatch2026-06-16; likely background unless research-discovery role is confirmed.
ASD-0124	A large language model-empowered agent for reliable and robust structural analysis	yes	candidate	09	09.05	arXiv	https://arxiv.org/abs/2507.02938	Structural analysis engineering agents	standard		Source trail: Shanghai AI Lab seed survey[ref 159]; ExpansionBatch2026-06-16.
ASD-0125	Physics-informed LLM-agent for automated modulation design in power electronics systems	yes	candidate	09	09.03	arXiv	https://arxiv.org/abs/2411.14214	Power electronics design agents	standard		Source trail: Shanghai AI Lab seed survey[ref 160]; ExpansionBatch2026-06-16.
ASD-0126	BioAgents: Democratizing bioinformatics analysis with multi-agent systems	yes	candidate	06	06.03	arXiv	https://arxiv.org/abs/2501.06314	Bioinformatics multi-agent systems	standard		Source trail: Shanghai AI Lab seed survey[ref 186]; ExpansionBatch2026-06-16.
ASD-0127	The AI Cosmologist I: An agentic system for automated data analysis	yes	candidate	02	02.01	arXiv	https://arxiv.org/abs/2504.03424	Cosmology data-analysis agents	standard		Source trail: Shanghai AI Lab seed survey[ref 188]; ExpansionBatch2026-06-16.
ASD-0128	MechAgents: Large language model multi-agent collaborations can solve mechanics problems, generate new data, and integrate knowledge	yes	candidate	09	09.01	Extreme Mechanics Letters	https://doi.org/10.1016/j.eml.2024.102131	Mechanics research agents	standard		Source trail: Shanghai AI Lab seed survey[ref 193]; ExpansionBatch2026-06-16.
ASD-0129	OpenFOAMGPT: a RAG-augmented LLM agent for OpenFOAM-based computational fluid dynamics	yes	candidate	09	09.01	arXiv	https://arxiv.org/abs/2501.06327	CFD workflow agents	standard		Source trail: Shanghai AI Lab seed survey[ref 202]; ExpansionBatch2026-06-16.
ASD-0130	Large language models are zero-shot hypothesis proposers	uncertain	needs_review	01	01.04	arXiv	https://arxiv.org/abs/2311.05965	Open-domain scientific hypothesis generation	standard		Source trail: Shanghai AI Lab seed survey[ref 209]; ExpansionBatch2026-06-16; verify Agent loop before inclusion.
ASD-0132	Many heads are better than one: Improved scientific idea generation by a LLM-based multi-agent system	yes	candidate	01	01.04	ACL	https://aclanthology.org/2025.acl-long.1368/	Scientific idea-generation multi-agent systems	standard		Source trail: Shanghai AI Lab seed survey[ref 242]; ExpansionBatch2026-06-16.
ASD-0133	Interpreting multi-band galaxy observations with large language model-based agents	yes	candidate	02	02.01	arXiv	https://arxiv.org/abs/2409.14807	Galaxy-observation interpretation agents	standard		Source trail: Shanghai AI Lab seed survey[ref 246]; ExpansionBatch2026-06-16.
ASD-0134	ChemAgent: Self-updating library in large language models improves chemical reasoning	yes	candidate	03	03.04	arXiv	https://arxiv.org/abs/2501.06590	Chemical reasoning / chemistry tool agents	standard		Source trail: Shanghai AI Lab seed survey[ref 253]; ExpansionBatch2026-06-16.
ASD-0135	A multi-agent framework integrating large language models and generative AI for accelerated metamaterial design	yes	candidate	04	04.04	arXiv	https://arxiv.org/abs/2503.19889	Metamaterial design agents	standard		Source trail: Shanghai AI Lab seed survey[ref 260]; ExpansionBatch2026-06-16.
ASD-0136	Starwhisper telescope: Agent-based observation assistant system to approach AI astrophysicist	yes	candidate	02	02.01	arXiv	https://arxiv.org/abs/2412.06412	Astronomical observation assistant agents	standard		Source trail: Shanghai AI Lab seed survey[ref 267]; ExpansionBatch2026-06-16.
ASD-0137	Accelerating primer design for amplicon sequencing using large language model-powered agents	yes	candidate	06	06.03	Nature Biomedical Engineering	https://doi.org/10.1038/s41551-025-01391-3	Primer design / sequencing agents	core		Source trail: Shanghai AI Lab seed survey[ref 276]; HighImpactTrail: Nature Biomedical Engineering; ExpansionBatch2026-06-16.
ASD-0138	CellAgent: An LLM-driven multi-agent framework for automated single-cell data analysis	yes	candidate	06	06.03	bioRxiv	https://doi.org/10.1101/2024.05.13.593861	Single-cell data-analysis agents	standard		Source trail: Shanghai AI Lab seed survey[ref 291]; ExpansionBatch2026-06-16.
ASD-0139	Advancing AI-scientist understanding: Making LLM think like a physicist with interpretable reasoning	uncertain	needs_review	02	02.02	arXiv	https://arxiv.org/abs/2504.01911	Physics-reasoning scientific agents	standard		Source trail: Shanghai AI Lab seed survey[ref 297]; ExpansionBatch2026-06-16; verify whether this is a scientific Agent or a reasoning benchmark.
ASD-0140	Large language models for automated open-domain scientific hypotheses discovery	uncertain	needs_review	01	01.04	ACL Findings	https://aclanthology.org/2024.findings-acl.804/	Open-domain scientific hypothesis discovery	standard		Source trail: Shanghai AI Lab seed survey[ref 307/308]; ExpansionBatch2026-06-16; verify Agent loop.
ASD-0141	TransAgent: Dynamizing transcriptional regulation analysis via multi-omics-aware AI agent	yes	candidate	06	06.03	bioRxiv	https://doi.org/10.1101/2025.04.01.646731	Multi-omics / transcriptional regulation agents	standard		Source trail: Shanghai AI Lab seed survey[ref 329]; ExpansionBatch2026-06-16.
ASD-0142	CompBioAgent: An LLM-powered agent for single-cell RNA-seq data exploration	yes	candidate	06	06.03	bioRxiv	https://doi.org/10.1101/2025.03.18.643888	Single-cell RNA-seq exploration agents	standard		Source trail: Shanghai AI Lab seed survey[ref 330]; ExpansionBatch2026-06-16.
