paper_id	controller_decision	landing_scope	supported_modules	final_01_04_bucket	primary_module_for_filing	source_limited	authoritative_pair_change	note_writeback_required	rationale
ASD-0743	authoritative_land	authoritative_plus_note	06;07	none	06	no	yes	yes	Local archived PDF plus concrete tumor/pathology case evidence now support truthful full-text-backed 06;07 wording and clearing source_limited.
ASD-0744	authoritative_land	authoritative_plus_note	06;07	none	06	no	yes	yes	This round upgrades BioGAIP from abstract/API-driven 06-only conservative wording to full-text-backed 06;07 support with no source-limited hold.
ASD-0745	authoritative_land	authoritative_plus_note	06;07	none	06	no	yes	yes	Local preprint PDF confirms the already-suspected therapeutic-validation coverage and clears source-limited while preserving 06 primary filing.
ASD-0770	authoritative_land	authoritative_plus_note	06;07	none	06	no	yes	yes	Local archived PDF confirms disease-linked perturbation and drug-response case evidence strong enough to clear source-limited and land 06;07.
ASD-0531	authoritative_land	authoritative_plus_note	06;07	none	07	no	yes	yes	Local archived PDF confirms embodied therapeutic-discovery wet-lab evidence and supports clearing source-limited while keeping 07 primary.
ASD-0543	authoritative_land	authoritative_plus_note	06;07	none	07	no	yes	yes	Archived PDF now gives first-hand support for the concrete translational and omics cases, so the record can land with source_limited=no.
ASD-0545	authoritative_land	authoritative_plus_note	06;07	none	07	no	yes	yes	Archived preprint evidence now truthfully supports a non-source-limited 07-primary biomarker-discovery reading with secondary 06 coverage.
ASD-0554	authoritative_land	authoritative_plus_note	06;07	none	07	no	yes	yes	Full first-hand evidence now lets the controller retire stale 01.04 residue and clear source-limited under the already-supported 06;07 reading.
ASD-0556	authoritative_land	authoritative_plus_note	07	none	07	no	yes	yes	Local archived PDF confirms the drug-discovery object from first-hand full text, clearing source-limited while preserving stable 07 classification.
ASD-0052	authoritative_land	authoritative_plus_note	09	none	09	no	yes	yes	Archived full text resolves the remaining source-state pressure for the engineering FEA object and also justifies title/evidence wording refresh.
ASD-0775	authoritative_land	authoritative_plus_note	09	none	09	no	yes	yes	Local archived PDF now provides direct first-hand support for the instrumentation-object landing, so source-limited can be cleared.
ASD-0652	authoritative_land	authoritative_plus_note	11	none	11	no	yes	yes	Local archived PDF confirms the research-community object from first-hand text and clears the stale source-limited status.
ASD-0655	authoritative_land	authoritative_plus_note	11	none	11	no	yes	yes	Local archived PDF confirms the peer-review object from first-hand text and clears source-limited while preserving stable 11.07.
ASD-0701	authoritative_land	authoritative_plus_note	11	none	11	no	yes	yes	Local archived PDF confirms the social-science reproducibility object from first-hand text and clears the old source-limited state.
ASD-0766	authoritative_land	authoritative_plus_note	11	none	11	no	yes	yes	Local archived PDF now supports truthful non-source-limited writeback for the ReviewGrounder peer-review record.
ASD-0768	conservative_hold	evidence_only	11	none	11	yes	no	no	Keep conservative this round because the current pass only confirmed abstract-level evidence and did not securely confirm trusted local full text.
ASD-0035	conservative_hold	evidence_only	04	none	04	no	no	no	The current authoritative state is already stable and full-text-backed for the materials-object reading.
ASD-0525	conservative_hold	evidence_only	03;04	none	04	no	no	no	The current authoritative state already reflects the landed 03;04 object reading, so this round adds no controller-grade delta.
ASD-0680	conservative_hold	evidence_only	04	none	04	no	no	no	The superconductor materials landing is already stable with no source-state pressure remaining.
ASD-0681	conservative_hold	evidence_only	04	none	04	yes	no	no	Keep conservative because this pass remained abstract-level and source-limited despite stable materials-object direction.
ASD-0683	conservative_hold	evidence_only	04	none	04	no	no	no	The materials-object landing is already strong and this round does not add a meaningful authoritative delta.
ASD-0649	conservative_hold	evidence_only	05	none	05	no	no	no	The current authoritative state already reflects a strong CMIP climate-science landing with local PDF support.
ASD-0650	conservative_hold	evidence_only	05;08;11	none	05	no	no	no	The current authoritative state already carries the landed multi-module Earth-observation reading, so no duplicate writeback is needed.
ASD-0034	conservative_hold	evidence_only	06	none	06	no	no	no	The functional-genomics perturb-seq record is already full-text-backed and stable in the authoritative pair.
ASD-0678	conservative_hold	evidence_only	07	none	07	no	no	no	The Latent-Y therapeutic-design record is already stable with local PDF support and no unresolved source-state pressure.
ASD-0716	conservative_hold	evidence_only	07	none	07	no	no	no	The CAR-T therapeutic-development record is already directionally stable and this round does not create a concrete authoritative delta.
ASD-0510	conservative_hold	evidence_only	06;08	none	08	no	no	no	The 06;08 plant-phenotyping overlay is already landed and this round only reconfirms it.
ASD-0645	conservative_hold	evidence_only	10	none	10	no	no	no	The EO-1 mission-science record already has conference-PDF-backed authoritative wording, so no duplicate landing is needed.
ASD-0524	conservative_hold	evidence_only	01	none	01	no	no	no	The stale 01.04 framing has already been retired and the current 01 landing is stable.
ASD-0736	conservative_hold	evidence_only	01	none	01	no	no	no	The current authoritative state already reflects the concrete 01 research-object reading and no new writeback is required.
