paper_id	title	note_path	primary_module_for_filing	classification_anchor	object_coverage_mode	general_method_bucket	note_status	source_limited	pdf_exists	citation_priority	queue_reasons	priority_score
ASD-0069	The ai scientist: Towards fully automated open-ended scientific discovery	Notes/01_Formal_Information_and_Computational_Sciences/Lu_2024_AI_Scientist.md	01	01;11	multi_module	none	updated	no	yes	core	multi_module_note_wording_check	45
ASD-0111	SciMaster: Towards general-purpose scientific AI agents, Part I. X-Master as foundation: Can we lead on Humanity's Last Exam?	Notes/01_Formal_Information_and_Computational_Sciences/Chai_2025_SciMaster.md	01	01.04	general_method_without_concrete_object_experiments	01.04_general_asd_methods_without_concrete_object_experiments	updated	no	yes	standard	bucket_0104_note_wording_check	45
ASD-0145	CycleResearcher: Improving automated research via automated review	Notes/01_Formal_Information_and_Computational_Sciences/Weng_2025_CycleResearcher.md	01	01.04	general_method_without_concrete_object_experiments	01.04_general_asd_methods_without_concrete_object_experiments	updated	no	yes	standard	bucket_0104_note_wording_check	45
ASD-0523	Towards end-to-end automation of AI research	Notes/01_Formal_Information_and_Computational_Sciences/Lu_2026_End_to_End_AI_Research.md	01	01;11	multi_module	none	updated	no	yes	core	multi_module_note_wording_check	45
ASD-0530	Autonomous Scientific Discovery Through Hierarchical AI Scientist Systems	Notes/01_Formal_Information_and_Computational_Sciences/Yue_2025_Hierarchical_AI_Scientist_Systems.md	01	01.04	general_method_without_concrete_object_experiments	01.04_general_asd_methods_without_concrete_object_experiments	updated	no	yes	standard	bucket_0104_note_wording_check	45
ASD-0662	Mimosa Framework: Toward Evolving Multi-Agent Systems for Scientific Research	Notes/01_Formal_Information_and_Computational_Sciences/Unknown_2026_Mimosa_Framework.md	01	03;05;06;11	multi_module	none	updated	no	yes	core	multi_module_note_wording_check	45
ASD-0671	AutoResearchClaw: Self-Reinforcing Autonomous Research with Human-AI Collaboration	Notes/01_Formal_Information_and_Computational_Sciences/Liu_2026_AutoResearchClaw.md	01	01;02;06	multi_module	none	updated	no	yes	core	multi_module_note_wording_check	45
ASD-0676	AutoSci: A Memory-Centric Agentic System for the Full Scientific Research Lifecycle	Notes/01_Formal_Information_and_Computational_Sciences/Unknown_2026_AutoSci.md	01	01;06;07	multi_module	none	updated	no	yes	core	multi_module_note_wording_check	45
ASD-0056	Delocalized, asynchronous, closed-loop discovery of organic laser emitters	Notes/03_Chemical_Sciences/StriethKalthoff_2024_Organic_Laser_Emitters.md	03	03;04	multi_module	none	updated	no	yes	core	multi_module_note_wording_check	45
ASD-0091	Agentic mixture-of-workflows for multi-modal chemical search	Notes/03_Chemical_Sciences/Callahan_2025_CRAG_MoW.md	03	03;04	multi_module	none	updated	no	yes	core	multi_module_note_wording_check	45
