paper_id	title	evidence_agent	first_hand_sources_checked	local_pdf_found	recommended_pdf_url_or_status	agent_inclusion	concrete_scientific_objects	concrete_object_evidence	suggested_modules	suggested_01_04_bucket	primary_module_for_filing	boundary_type	confidence	note_revision_required	source_limited	safety_or_access_note	short_reason
ASD-0737	ScientistOne: Towards Human-Level Autonomous Research via Chain-of-Evidence Verification	Evidence-Agent-A	local PDF full text (arXiv:2605.26340); project website	yes	local archived PDF present at Reference_PDF/01_Formal_Information_and_Computational_Sciences/Unknown_2026_ScientistOne.pdf	yes	AI/computational research tasks; chain-of-evidence verification for autonomous research workflows	full-text abstract states literature review, solution discovery, paper writing, CoE integrity audit across 75 papers/5 systems/5 frontier tasks, plus extra tasks in medical imaging, fine-grained recognition, 3D perception, and parameter-constrained language modeling	01	none	01	01_vs_01.04_with_cross_domain_hints	medium	yes	no	no safety/access issue; note has stale “no local PDF / abstract-level” pressure	Concrete 01 is supported, but broader cross-domain hints still should stay conservative rather than expanding modules now.
ASD-0738	AutoSOTA: An End-to-End Automated Research System for State-of-the-Art AI Model Discovery	Evidence-Agent-A	local PDF full text (arXiv:2604.05550)	yes	local archived PDF present at Reference_PDF/01_Formal_Information_and_Computational_Sciences/Unknown_2026_AutoSOTA.pdf	yes	AI model discovery; paper grounding; reproduction; automated empirical optimization	full-text abstract says eight specialized agents ground papers to code/dependencies, repair environments, track long-horizon experiments, generate/schedule ideas, and discover 105 new SOTA models across top-tier AI papers	01	none	01	01_vs_01.04	high	yes	no	no safety/access issue; note still says no local PDF and relies on abstract wording	The object is clearly concrete AI/computational model-discovery work, not a no-object general-method bucket.
ASD-0549	DeepInflation: An AI Agent for Research and Model Discovery of Inflation	Evidence-Agent-A	local PDF full text (arXiv/preprint title page); DOI-linked journal/preprint metadata	yes	local archived PDF present at Reference_PDF/02_Physics_Astronomy_and_Cosmic_Sciences/Peng_2026_DeepInflation.pdf	yes	inflationary cosmology; inflationary potentials; ns-r-constrained model discovery	full-text abstract says DeepInflation explores and verifies inflationary potentials, discovers viable single-field slow-roll potentials consistent with latest observations, and provides theory context for obscure inflation scenarios	02	none	02	02_vs_01.04	high	yes	no	no safety/access issue; note incorrectly says no local PDF	Concrete cosmology object is strong and stable.
ASD-0567	Egent: An Autonomous Agent for Equivalent Width Measurement	Evidence-Agent-A	local PDF full text (arXiv:2512.01270); DOI/journal landing noted in note	yes	local archived PDF present at Reference_PDF/02_Physics_Astronomy_and_Cosmic_Sciences/Ting_2026_Egent_Equivalent_Width.pdf	yes	astronomical spectroscopy; equivalent-width measurement of stellar spectral lines	full-text abstract says Egent combines multi-Voigt fitting with LLM visual inspection and iterative refinement, validated on 18,615 lines from 84 Magellan/MIKE spectra against human experts	02	none	02	02_concrete_measurement_task	high	yes	no	no safety/access issue; note still claims no local PDF	A clear astronomy measurement agent on a concrete object.
ASD-0613	Physics Discovery in Nanoplasmonic Systems via Autonomous Experiments in Scanning Transmission Electron Microscopy	Evidence-Agent-A	local PDF first page/full text; note’s prior DOI/arXiv leads	yes	local archived PDF present at Reference_PDF/02_Physics_Astronomy_and_Cosmic_Sciences/Roccapriore_2022_Physics_Discovery_Nanoplasmonic_STEM.pdf	yes	nanoplasmonic systems; plasmon-mode discovery in STEM experiments	title and note evidence align that the system runs autonomous experiments in STEM to discover plasmonic physics phenomena in nanoplasmonic systems (MnPS3 bulk/edge plasmon framing in note)	02	none	02	02_vs_04_or_09	high	yes	no	no safety/access issue; note still says no local PDF / no local archive available	Object is physics discovery, not materials design or instrument engineering.
ASD-0707	ArgoLOOM: agentic AI for fundamental physics from quarks to cosmos	Evidence-Agent-A	local PDF full text (arXiv:2510.02426)	yes	local archived PDF present at Reference_PDF/02_Physics_Astronomy_and_Cosmic_Sciences/Bakshi_2025_ArgoLOOM.pdf	yes	fundamental physics across cosmology, collider physics, and nuclear science	full-text abstract says ArgoLOOM bridges methodologies and computational analyses across cosmology, collider physics, and nuclear science, with two small-scale demonstrator problems	02	none	02	framework_heavy_02_vs_01.04	medium	yes	no	no safety/access issue; note still presents abstract-only/no-local-PDF pressure	Concrete physics objects are explicit enough to keep 02, but the paper remains framework-heavy and validation is still modest.
ASD-0748	ASTER -- Agentic Science Toolkit for Exoplanet Research	Evidence-Agent-A	local PDF full text (arXiv:2603.26953)	yes	local archived PDF present at Reference_PDF/02_Physics_Astronomy_and_Cosmic_Sciences/Panek_2026_ASTER_Exoplanet_Research.pdf	yes	exoplanet atmospheres; transmission spectroscopy; planetary-parameter retrieval	full-text abstract says ASTER uses NASA Exoplanet Archive plus TauREx forward modeling and Bayesian retrieval, demonstrated through a complete WASP-39b case study with multiple retrievals	02	none	02	02_vs_01.04	high	yes	no	no safety/access issue; note incorrectly says no local PDF	A concrete exoplanet-research agentic toolkit with object-level case evidence.
ASD-0750	GRACE: an Agentic AI for Particle Physics Experiment Design and Simulation	Evidence-Agent-A	local PDF full text (arXiv:2602.15039)	yes	local archived PDF present at Reference_PDF/02_Physics_Astronomy_and_Cosmic_Sciences/Kaboth_2026_GRACE_Particle_Physics_Design.pdf	yes	particle-physics and nuclear-physics experiment design; detector geometry/material/configuration optimization	full-text abstract says GRACE builds runnable toy simulations, explores design modifications with Monte Carlo and Geant4 escalation, and optimizes physics performance under physical/practical constraints	02	none	02	02_vs_09_detector_engineering	medium_high	yes	no	no safety/access issue; note still says no local PDF / abstract-page-only	The optimized target is still a particle-physics experimental objective, though the engineering flavor is real.
ASD-0734	Controlling an organic synthesis robot with machine learning to search for new reactivity	Evidence-Agent-A	local PDF full text (Nature article / DOI 10.1038/s41586-018-0307-8)	yes	local archived PDF present at Reference_PDF/03_Chemical_Sciences/Granda_2018_Organic_Synthesis_Robot_Reactivity.pdf	yes	organic reaction space; reagent-combination reactivity discovery	local article text says the robot executes reactions, measures with NMR/IR/MS, updates ML models in a closed loop, predicts reactivity over 969 experiments, and led to discovery of four reactions	03	none	03	03_vs_04_or_09	high	yes	no	no safety/access issue; note wrongly says no local PDF	This is a canonical chemical-reactivity-discovery agent, not a materials or generic robotics paper.
ASD-0535	Accelerated inorganic materials design with generative AI agents	Evidence-Agent-A	local PDF full text (arXiv:2504.00741); note’s DOI/publisher leads	yes	local archived PDF present at Reference_PDF/04_Materials_Science/Takahara_2025_MatAgent_Inorganic_Materials.pdf	yes	inorganic crystalline materials; target-property-driven materials design	full-text abstract says MatAgent combines diffusion-based crystal-structure estimation, property evaluation, iterative feedback, and external materials knowledge to steer exploration toward user-defined targets	04	none	04	04_vs_01.04_or_03	high	yes	no	no safety/access issue; note still says no local PDF / abstract-level only	Object-level materials-design evidence is clear and stable.
ASD-0570	Knowledge-driven autonomous materials research via collaborative multi-agent and robotic system	Evidence-Agent-B	local archived PDF first page and abstract; DOI lead yes	yes	local archived PDF: Reference_PDF/04_Materials_Science/Shi_2026_Knowledge_Driven_Autonomous_Materials_Research.pdf	yes	perovskite nanocomposite design; autonomous materials synthesis and optimization	PDF first page states MARS coordinates 19 LLM agents and 16 tools for full-cycle materials development and reports 60-fold acceleration for a water-stable perovskite nanocomposite	04	none	04	platform_heavy_but_materials_object_clear	high	no	no	local PDF archived and sufficient for object-level adjudication	Clear materials object and real materials-development result; stale non-full-text pressure can be truthfully cleared
ASD-0571	CRYSTAL: a multi-agent AI system for automated mapping of materials' crystal structures	Evidence-Agent-B	local archived PDF first page and abstract	yes	local archived PDF: Reference_PDF/04_Materials_Science/Gomes_2019_CRYSTAL_Crystal_Structure_Mapping.pdf	yes	crystal-structure phase mapping; phase diagrams; materials discovery	PDF abstract explicitly says CRYSTAL is a multi-agent AI system for crystal-structure phase mapping and generates physically meaningful phase diagrams for expert exploration	04	none	04	platform_heavy_but_materials_object_clear	high	no	no	local author-side PDF archived; no access issue	The system is method-heavy but the validated scientific object is still materials phase mapping, not 01.04
ASD-0614	Modular, Multi-Robot Integration of Laboratories: An Autonomous Solid-State Workflow for Powder X-Ray Diffraction	Evidence-Agent-B	local archived PDF first page and abstract	yes	local archived PDF: Reference_PDF/04_Materials_Science/Lunt_2023_Autonomous_SolidState_PXRD_Workflow.pdf	yes	solid-state PXRD workflow; materials characterization; powder handling and sample processing	PDF first page states a fully autonomous solid-state workflow for PXRD and frames PXRD as a key method in materials and pharmaceutical chemistry	04	none	04	04_vs_09_or_01_04_but_object_clear	high	no	no	local PDF archived and adequate for stable filing	Robotic workflow is infrastructure-heavy, but the concrete object remains materials characterization
ASD-0635	TianJi: An autonomous AI meteorologist for discovering physical mechanisms in atmospheric science	Evidence-Agent-B	local archived PDF first page and abstract	yes	local archived PDF: Reference_PDF/05_Earth_and_Environmental_Sciences/Zhang_2026_TianJi_Autonomous_Meteorologist.pdf	yes	atmospheric physical mechanisms; atmospheric-science hypothesis generation and verification	PDF abstract says TianJi addresses discovery of physical mechanisms in atmospheric science rather than only statistical forecasting	05	none	05	platform_heavy_but_atmospheric_object_clear	high	no	no	local PDF archived and sufficient for stable single-module reading	The object is atmospheric mechanism discovery; no truthful reason to retreat to 01.04
ASD-0651	AI Driven Discovery of Bio Ecological Mediation in Cascading Heatwave Risks	Evidence-Agent-B	local archived PDF first page and abstract	yes	local archived PDF: Reference_PDF/05_Earth_and_Environmental_Sciences/Wang_2025_Heatwave_Discovery_Agent.pdf	yes	compound heatwaves; cascading climate risk topologies; bio-ecological mediation; linked social and population impacts	PDF abstract frames HeDA as building a knowledge graph from 8111 publications to map cascading heatwave risks across interconnected physical and human systems	05;11	none	05	multi_module_05_11_boundary_but_stable	medium_high	no	no	local PDF archived; boundary is conceptual not access-related	Primary object is climate-risk mechanism, but the reported downstream migration, housing, hospital, education, and business effects support an additional 11 reading
ASD-0725	TianJi-Environ: An Autonomous AI Scientist for Atmospheric Environmental Research	Evidence-Agent-B	local archived PDF first page and abstract	yes	local archived PDF: Reference_PDF/05_Earth_and_Environmental_Sciences/Zhang_2026_TianJi_Environ_Atmospheric_Research.pdf	yes	atmospheric environmental research; pollution mechanisms; feedback-process validation	PDF abstract states the challenge is interpretable validation of pollution mechanisms and feedback processes in atmospheric chemistry and environment research	05	none	05	platform_heavy_but_atmospheric_environment_object_clear	high	no	no	local PDF archived and enough to clear stale non-full-text pressure	Despite AI-scientist framing, the workflow is tightly bound to atmospheric-environment mechanism validation
ASD-0728	CellForge: Agentic Design of Virtual Cell Models	Evidence-Agent-B	local archived PDF first page and abstract	yes	local archived PDF: Reference_PDF/06_Life_Sciences/Tang_2025_CellForge_Virtual_Cell_Models.pdf	yes	virtual cell models; single-cell multi-omics perturbation prediction	PDF abstract says CellForge autonomously designs and synthesizes neural architectures tailored to specific single-cell datasets and perturbation tasks	06	none	06	platform_heavy_but_single_cell_object_clear	high	no	no	local PDF archived and adequate for stable classification	The framework is agentic method development, but every validated object remains in single-cell biology
ASD-0729	Self-evolving AI agents for protein discovery and directed evolution	Evidence-Agent-B	local archived PDF first page and abstract	yes	local archived PDF: Reference_PDF/06_Life_Sciences/Tan_2026_Protein_Discovery_Directed_Evolution.pdf	yes	protein discovery; directed evolution; protein-related workflow synthesis	PDF abstract says VenusFactory2 is built to address protein-related demands and shifts from static tool use to dynamic workflow synthesis for protein discovery and directed evolution	06	none	06	platform_heavy_but_protein_object_clear	medium_high	no	no	local PDF archived; no access blocker	The platform is broad, but the end object is still protein engineering rather than a domain-general agent substrate
ASD-0731	Self-Driving Datasets: From 20 Million Papers to Nuanced Biomedical Knowledge at Scale	Evidence-Agent-B	local archived PDF first page and abstract	yes	local archived PDF: Reference_PDF/06_Life_Sciences/Jones_2026_Self_Driving_Datasets.pdf	yes	chemical reaction records; gene-disease and protein-localization knowledge; BBB permeability; oral bioavailability; LD50 and related biomedical property datasets	PDF abstract says PubMed can be autonomously turned into structured datasets replacing curated bioactivity, genomics, and chemistry repositories; task set spans chemistry, life science, and medical-pharmacological objects	03;06;07	none	06	multi_module_dataset_object_boundary	medium	yes	no	local PDF archived; no access issue	The current stable reading is multi-module, not 06-only and not 01.04; this is the clearest remaining note-revision pressure in the slice
ASD-0526	Constitutive scientific generative agent (CSGA): Leveraging large language models for automated constitutive model discovery	Evidence-Agent-B	local archived PDF first page and abstract	yes	local archived PDF: Reference_PDF/09_Engineering_and_Industrial_Technology_Sciences/Tacke_2025_CSGA_Constitutive_Model_Discovery.pdf	yes	constitutive models; mechanical response under load; computational mechanics model discovery	PDF abstract explicitly frames the task as automated constitutive modeling for predicting a material's mechanical response under load	09	none	09	09_vs_01_04_but_object_clear	high	no	no	local PDF archived and sufficient for stable filing	The discovery loop is methodological, but the scientific object is still engineering constitutive modeling
ASD-0747	VFEAgent: A Multimodal Agent Framework for End-to-End Automated Finite Element Analysis	Evidence-Agent-C	local archived PDF confirmed at `Reference_PDF/09_Engineering_and_Industrial_Technology_Sciences/Zhang_2026_VFEAgent_Finite_Element_Analysis.pdf`; official locator `https://arxiv.org/abs/2605.28978`; current note says prior landing used arXiv abstract	no	local archived PDF confirmed; official PDF fallback `https://arxiv.org/pdf/2605.28978`	yes	finite-element analysis modeling and simulation for engineering mechanics problems	abstract-level evidence already points to image/problem-description input and physically valid FEA simulation output, which is a concrete engineering analysis object	09	none	09	stable_09_vs_01.04	high	yes	no	no access block; stale issue is evidence-depth mismatch because current note still says no local PDF confirmed	classification is stable 09, but current authoritative wording still carries abstract-based/non-full-text pressure and should be refreshed before truthfully clearing it
ASD-0749	Self-Refining Topology Optimization via an LLM-Based Multi-Agent Framework	Evidence-Agent-C	local archived PDF confirmed at `Reference_PDF/09_Engineering_and_Industrial_Technology_Sciences/Park_2026_TopOptAgents.pdf`; official locator `https://arxiv.org/abs/2605.23273`; current note says prior landing used arXiv abstract	no	local archived PDF confirmed; official PDF fallback `https://arxiv.org/pdf/2605.23273`	yes	topology-optimization engineering design layouts and self-refining optimization workflow	abstract-level evidence ties the system to topology-optimization problem formulation, validation, code execution, and design-quality assessment rather than materials discovery	09	none	09	stable_09_vs_04_vs_01.04	high	yes	no	no access block; stale issue is abstract-based packet despite local PDF now existing	classification is stably 09 and not 04 or 01.04, but current authority still looks non-full-text-backed
ASD-0753	A Lightweight Large Language Model-Based Multi-Agent System for 2D Frame Structural Analysis	Evidence-Agent-C	local archived PDF confirmed at `Reference_PDF/09_Engineering_and_Industrial_Technology_Sciences/Geng_2025_MultiAgent_2D_Frame_Analysis.pdf`; official locator `https://arxiv.org/abs/2510.05414`; current note says prior landing used arXiv abstract	no	local archived PDF confirmed; official PDF fallback `https://arxiv.org/pdf/2510.05414`	yes	2D frame structural analysis and automated finite-element/OpenSeesPy modeling	abstract-level evidence names geometry, boundary-condition, and material extraction for 2D frame problems and assembly of executable structural models	09	none	09	stable_09_vs_01.04	high	yes	no	no access block; stale issue is abstract-based packet despite local PDF now existing	object boundary is very stable in 09, but authoritative evidence depth still needs full-text normalization
ASD-0754	Automating Structural Engineering Workflows with Large Language Model Agents	Evidence-Agent-C	local archived PDF confirmed at `Reference_PDF/09_Engineering_and_Industrial_Technology_Sciences/Liang_2025_MASSE_Structural_Engineering.pdf`; official locator `https://arxiv.org/abs/2510.11004`; current note says prior landing used arXiv abstract	no	local archived PDF confirmed; official PDF fallback `https://arxiv.org/pdf/2510.11004`	yes	structural engineering workflows including design-code interpretation, load calculation, and structural-capacity verification	abstract-level evidence is already tied to real-world structural engineering workflows and case-study validation rather than a general research assistant	09	none	09	stable_09_vs_01.04	high	yes	no	no access block; stale issue is abstract-based packet despite local PDF now existing	classification is stably 09, but stale non-full-text pressure remains in current authoritative phrasing
ASD-0647	Autonomous Small Body Science Operations Using Reinforcement Learning	Evidence-Agent-C	local archived PDF confirmed at `Reference_PDF/10_Aerospace_Marine_and_Transportation_Sciences/Herrmann_2022_Autonomous_Small_Body_Science_Operations.pdf`; official locator `https://doi.org/10.2514/1.I011376`; current progress/registry state says first-hand author PDF review packet	yes	local archived PDF confirmed; DOI landing `https://doi.org/10.2514/1.I011376`	yes	small-body mission-science planning and scheduling for spacecraft operations	current authoritative state already places the object at mapping, imaging, downlink, and navigation-update scheduling under mission-science operations	10	none	10	stable_10_mission_science_ops_vs_asteroid_science_vs_01.04	high	no	no	no access block	classification is stable and current authority is already full-paper-backed enough to avoid stale non-full-text pressure
ASD-0648	Reinforcement Learning For Earth-Observing Satellite Autonomy With Event-Based Task Intervals	Evidence-Agent-C	local archived PDF confirmed at `Reference_PDF/10_Aerospace_Marine_and_Transportation_Sciences/Stephenson_2024_Earth_Observing_Satellite_Autonomy.pdf`; official locator `https://hanspeterschaub.info/Papers/Stephenson2024a.pdf`; current progress/registry state says first-hand preprint PDF review packet	yes	local archived PDF confirmed; official PDF is the conference preprint `https://hanspeterschaub.info/Papers/Stephenson2024a.pdf`	yes	earth-observing satellite onboard tasking, event-based scheduling, and power-aware mission autonomy	current authoritative state already anchors the object in satellite mission autonomy and not earth-process science; remaining concern is core-strength, not class boundary	10	none	10	stable_10_vs_05_vs_01.04_with_core_strength_risk	medium_high	no	no	no access block; residual risk is conceptual breadth, not source access	classification is stable in 10, but this paper should still be described as a core-strength-risk case rather than a class-risk case
ASD-0625	ReviewAgents: Bridging the Gap Between Human and AI-Generated Paper Reviews	Evidence-Agent-C	local archived PDF confirmed at `Reference_PDF/11_Social_Behavioral_Economic_and_Knowledge_System_Sciences/Gao_2025_ReviewAgents.pdf`; official locator `https://arxiv.org/abs/2503.08506`; current note says prior landing was abstract-based	no	local archived PDF confirmed; official PDF fallback `https://arxiv.org/pdf/2503.08506`	yes	scientific peer-review comment generation and evaluation	current evidence already ties the work to multi-role scientific peer review, ReviewCoT/ReviewBench, and human-style review generation rather than a general method bucket	11	none	11	stable_11_peer_review_vs_01.04	high	yes	no	no access block; stale issue is abstract-based packet despite local PDF now existing	classification is stably 11, but current authoritative depth still looks non-full-text-backed
ASD-0626	From Passive Generation to Investigation: A Proactive Scientific Peer Review Agent	Evidence-Agent-C	local archived PDF confirmed at `Reference_PDF/11_Social_Behavioral_Economic_and_Knowledge_System_Sciences/Fang_2026_ProReviewer.pdf`; official locator `https://arxiv.org/abs/2606.13349`; current note says prior landing was abstract-based	no	local archived PDF confirmed; official PDF fallback `https://arxiv.org/pdf/2606.13349`	yes	investigative scientific peer review with claim checking and evidence-grounded critique	current evidence already ties the work to proactive peer-review investigation, structured review logs, and evidence-grounded critique rather than a general research workflow	11	none	11	stable_11_peer_review_vs_01.04	high	yes	no	no access block; stale issue is abstract-based packet despite local PDF now existing	classification is stably 11, but current authority still carries stale non-full-text pressure
ASD-0629	CiteME: Can Language Models Accurately Cite Scientific Claims?	Evidence-Agent-C	local archived PDF confirmed at `Reference_PDF/11_Social_Behavioral_Economic_and_Knowledge_System_Sciences/Press_2024_CiteME.pdf`; official locator `https://openreview.net/forum?id=S9Qrrxpy6z`; current note already describes OpenReview plus one-hand full-paper evidence	yes	local archived PDF confirmed; official page `https://openreview.net/forum?id=S9Qrrxpy6z`	yes	scientific-claim citation attribution and verification	current evidence ties the object to scholarly claim-to-citation grounding through search-read-select citation attribution, not to a general method bucket	11	none	11	stable_11_claim_verification_vs_01.04	high	no	no	no access block; possible stale point is packet wording rather than object boundary	object boundary is stably 11 and already strong enough; if anything remains stale, it is metadata normalization rather than classification
ASD-0636	EGTR-Review: Efficient Evidence-Grounded Scientific Peer Review	Evidence-Agent-C	local archived PDF confirmed at `Reference_PDF/11_Social_Behavioral_Economic_and_Knowledge_System_Sciences/Unknown_2026_EGTR_Review.pdf`; official locator `https://arxiv.org/abs/2606.06025`; current note and registry already say arXiv PDF spot-check / preprint-PDF review packet	yes	local archived PDF confirmed; official PDF fallback `https://arxiv.org/pdf/2606.06025`	yes	evidence-grounded scientific peer-review generation	current authoritative state already anchors the object in scientific peer-review generation with evidence grounding and PDF-backed spot-check support	11	none	11	stable_11_peer_review_vs_01.04	medium_high	no	no	no access block	classification is stable and current authority is already strong enough to treat stale non-full-text pressure as largely resolved
