module_code	paper_id	title	evidence_agent	note_path	recommended_section_role	current_evidence_anchor	drafting_readiness	needs_note_refresh	short_reason	suggested_section_use
01	ASD-0013	The ai scientist-v2: Workshop-level automated scientific discovery via agentic tree search	Evidence-Agent-A	Notes/01_Formal_Information_and_Computational_Sciences/Yamada_2025_AI_Scientist_V2.md	anchor	first_hand_full_text	ready_low_risk	no	representative evidence, local PDF coverage, and note presence are already aligned enough for direct writing support use.	anchor
01	ASD-0018	Agent laboratory: Using llm agents as research assistants	Evidence-Agent-A	Notes/01_Formal_Information_and_Computational_Sciences/Schmidgall_2025_Agent_Laboratory.md	anchor	first_hand_full_text	ready_low_risk	no	representative evidence, local PDF coverage, and note presence are already aligned enough for direct writing support use.	anchor
01	ASD-0019	Agentrxiv: Towards collaborative autonomous research	Evidence-Agent-A	Notes/01_Formal_Information_and_Computational_Sciences/Schmidgall_2025_AgentRxiv.md	exemplar	first_hand_full_text	ready_low_risk	no	representative evidence, local PDF coverage, and note presence are already aligned enough for direct writing support use.	exemplar
01	ASD-0032	Codescientist: End-to-end semi-automated scientific discovery with code-based experimentation	Evidence-Agent-A	Notes/01_Formal_Information_and_Computational_Sciences/Jansen_2025_CodeScientist.md	exemplar	first_hand_full_text	ready_low_risk	no	representative evidence, local PDF coverage, and note presence are already aligned enough for direct writing support use.	exemplar
01	ASD-0048	Dolphin: Closed-loop open-ended auto-research through thinking, practice, and feedback	Evidence-Agent-A	Notes/01_Formal_Information_and_Computational_Sciences/Yuan_2025_Dolphin.md	exemplar	first_hand_full_text	ready_low_risk	no	representative evidence, local PDF coverage, and note presence are already aligned enough for direct writing support use.	exemplar
02	ASD-0058	Astroagents: A multi-agent ai for hypothesis generation from mass spectrometry data	Evidence-Agent-A	Notes/02_Physics_Astronomy_and_Cosmic_Sciences/Saeedi_2025_AstroAgents.md	anchor	first_hand_full_text	ready_low_risk	no	representative evidence, local PDF coverage, and note presence are already aligned enough for direct writing support use.	anchor
02	ASD-0090	Agents for self-driving laboratories applied to quantum computing	Evidence-Agent-A	Notes/02_Physics_Astronomy_and_Cosmic_Sciences/Cao_2025_K_Agents_Quantum.md	anchor	first_hand_full_text	ready_with_note_drift	yes	representative evidence is stable and PDF-backed, but the note still carries stale status or source-state wording.	anchor
02	ASD-0687	Agentic AI for Multi-Stage Physics Experiments at a Large-Scale User Facility Particle Accelerator	Evidence-Agent-A	Notes/02_Physics_Astronomy_and_Cosmic_Sciences/Hellert_2025_Agentic_AI_Particle_Accelerator.md	exemplar	first_hand_full_text	ready_with_note_drift	yes	representative evidence is stable and PDF-backed, but the note still carries stale status or source-state wording.	exemplar
02	ASD-0062	Empowering scientific workflows with federated agents	Evidence-Agent-A	Notes/01_Formal_Information_and_Computational_Sciences/Pauloski_2026_Federated_Agents.md	boundary	first_hand_full_text	ready_low_risk	no	representative evidence, local PDF coverage, and note presence are already aligned enough for direct writing support use.	boundary
02	ASD-0151	Self-driving lab discovers principles for steering spontaneous emission beyond conventional Fourier optics	Evidence-Agent-A	Notes/04_Materials_Science/Desai_2026_Spontaneous_Emission_SDL.md	boundary	first_hand_full_text	ready_low_risk	no	representative evidence, local PDF coverage, and note presence are already aligned enough for direct writing support use.	boundary
03	ASD-0010	El Agente: An Autonomous Agent for Quantum Chemistry	Evidence-Agent-B	Notes/03_Chemical_Sciences/Zou_2025_El_Agente_Q.md	anchor	first_hand_full_text	ready_low_risk	no	representative evidence, local PDF coverage, and note presence are already aligned enough for direct writing support use.	anchor
03	ASD-0012	Large language models for chemistry robotics	Evidence-Agent-B	Notes/03_Chemical_Sciences/Yoshikawa_2023_Chemistry_Robotics_LLMs.md	anchor	first_hand_html_full_text	ready_low_risk	no	representative evidence, local PDF coverage, and note presence are already aligned enough for direct writing support use.	anchor
03	ASD-0022	Chemgraph: An agentic framework for computational chemistry workflows	Evidence-Agent-B	Notes/03_Chemical_Sciences/Pham_2025_ChemGraph.md	exemplar	first_hand_full_text	ready_low_risk	no	representative evidence, local PDF coverage, and note presence are already aligned enough for direct writing support use.	exemplar
03	ASD-0036	Organa: A robotic assistant for automated chemistry experimentation and characterization	Evidence-Agent-B	Notes/03_Chemical_Sciences/Darvish_2024_Organa.md	exemplar	first_hand_full_text	ready_low_risk	no	representative evidence, local PDF coverage, and note presence are already aligned enough for direct writing support use.	exemplar
03	ASD-0037	Autonomous mobile robots for exploratory synthetic chemistry	Evidence-Agent-B	Notes/03_Chemical_Sciences/Dai_2024_Autonomous_Mobile_Robots.md	exemplar	first_hand_html_full_text	ready_low_risk	no	representative evidence, local PDF coverage, and note presence are already aligned enough for direct writing support use.	exemplar
04	ASD-0001	Toward Greater Autonomy in Materials Discovery Agents: Unifying Planning, Physics, and Scientists	Evidence-Agent-B	Notes/04_Materials_Science/Zhou_2025_MAPPS.md	anchor	first_hand_full_text	ready_low_risk	no	representative evidence, local PDF coverage, and note presence are already aligned enough for direct writing support use.	anchor
04	ASD-0009	Agent-based learning of materials datasets from the scientific literature	Evidence-Agent-B	Notes/04_Materials_Science/Ansari_2024_Eunomia_Materials_Datasets.md	anchor	first_hand_full_text	ready_low_risk	no	representative evidence, local PDF coverage, and note presence are already aligned enough for direct writing support use.	anchor
04	ASD-0016	An autonomous laboratory for the accelerated synthesis of novel materials	Evidence-Agent-B	Notes/04_Materials_Science/Szymanski_2023_A_Lab.md	exemplar	first_hand_full_text	ready_low_risk	no	representative evidence, local PDF coverage, and note presence are already aligned enough for direct writing support use.	exemplar
04	ASD-0031	Llmatdesign: Autonomous materials discovery with large language models	Evidence-Agent-B	Notes/04_Materials_Science/Jia_2024_LLMatDesign.md	exemplar	first_hand_full_text	ready_low_risk	no	representative evidence, local PDF coverage, and note presence are already aligned enough for direct writing support use.	exemplar
