module_code	paper_id	title	note_path	recommended_section_role	drafting_readiness	needs_note_refresh_before_quoting	coverage_risk_note	final_reason
01	ASD-0013	The ai scientist-v2: Workshop-level automated scientific discovery via agentic tree search	Notes/01_Formal_Information_and_Computational_Sciences/Yamada_2025_AI_Scientist_V2.md	anchor	ready_low_risk	no	low	representative evidence, local PDF coverage, and note presence are already aligned enough for direct writing support use.
01	ASD-0018	Agent laboratory: Using llm agents as research assistants	Notes/01_Formal_Information_and_Computational_Sciences/Schmidgall_2025_Agent_Laboratory.md	anchor	ready_low_risk	no	low	representative evidence, local PDF coverage, and note presence are already aligned enough for direct writing support use.
01	ASD-0019	Agentrxiv: Towards collaborative autonomous research	Notes/01_Formal_Information_and_Computational_Sciences/Schmidgall_2025_AgentRxiv.md	exemplar	ready_low_risk	no	low	representative evidence, local PDF coverage, and note presence are already aligned enough for direct writing support use.
01	ASD-0032	Codescientist: End-to-end semi-automated scientific discovery with code-based experimentation	Notes/01_Formal_Information_and_Computational_Sciences/Jansen_2025_CodeScientist.md	exemplar	ready_low_risk	no	low	representative evidence, local PDF coverage, and note presence are already aligned enough for direct writing support use.
01	ASD-0048	Dolphin: Closed-loop open-ended auto-research through thinking, practice, and feedback	Notes/01_Formal_Information_and_Computational_Sciences/Yuan_2025_Dolphin.md	exemplar	ready_low_risk	no	low	representative evidence, local PDF coverage, and note presence are already aligned enough for direct writing support use.
02	ASD-0058	Astroagents: A multi-agent ai for hypothesis generation from mass spectrometry data	Notes/02_Physics_Astronomy_and_Cosmic_Sciences/Saeedi_2025_AstroAgents.md	anchor	ready_low_risk	no	low	representative evidence, local PDF coverage, and note presence are already aligned enough for direct writing support use.
02	ASD-0090	Agents for self-driving laboratories applied to quantum computing	Notes/02_Physics_Astronomy_and_Cosmic_Sciences/Cao_2025_K_Agents_Quantum.md	anchor	ready_with_note_drift	yes	stale_source_state	representative evidence is stable and PDF-backed, but the note still carries stale status or source-state wording.
02	ASD-0687	Agentic AI for Multi-Stage Physics Experiments at a Large-Scale User Facility Particle Accelerator	Notes/02_Physics_Astronomy_and_Cosmic_Sciences/Hellert_2025_Agentic_AI_Particle_Accelerator.md	exemplar	ready_with_note_drift	yes	stale_to_read	representative evidence is stable and PDF-backed, but the note still carries stale status or source-state wording.
02	ASD-0062	Empowering scientific workflows with federated agents	Notes/01_Formal_Information_and_Computational_Sciences/Pauloski_2026_Federated_Agents.md	boundary	ready_low_risk	no	cross_module	representative evidence, local PDF coverage, and note presence are already aligned enough for direct writing support use.
02	ASD-0151	Self-driving lab discovers principles for steering spontaneous emission beyond conventional Fourier optics	Notes/04_Materials_Science/Desai_2026_Spontaneous_Emission_SDL.md	boundary	ready_low_risk	no	cross_module	representative evidence, local PDF coverage, and note presence are already aligned enough for direct writing support use.
03	ASD-0010	El Agente: An Autonomous Agent for Quantum Chemistry	Notes/03_Chemical_Sciences/Zou_2025_El_Agente_Q.md	anchor	ready_low_risk	no	low	representative evidence, local PDF coverage, and note presence are already aligned enough for direct writing support use.
03	ASD-0012	Large language models for chemistry robotics	Notes/03_Chemical_Sciences/Yoshikawa_2023_Chemistry_Robotics_LLMs.md	anchor	ready_low_risk	no	low	representative evidence, local PDF coverage, and note presence are already aligned enough for direct writing support use.
03	ASD-0022	Chemgraph: An agentic framework for computational chemistry workflows	Notes/03_Chemical_Sciences/Pham_2025_ChemGraph.md	exemplar	ready_low_risk	no	low	representative evidence, local PDF coverage, and note presence are already aligned enough for direct writing support use.
03	ASD-0036	Organa: A robotic assistant for automated chemistry experimentation and characterization	Notes/03_Chemical_Sciences/Darvish_2024_Organa.md	exemplar	ready_low_risk	no	low	representative evidence, local PDF coverage, and note presence are already aligned enough for direct writing support use.
03	ASD-0037	Autonomous mobile robots for exploratory synthetic chemistry	Notes/03_Chemical_Sciences/Dai_2024_Autonomous_Mobile_Robots.md	exemplar	ready_low_risk	no	low	representative evidence, local PDF coverage, and note presence are already aligned enough for direct writing support use.
04	ASD-0001	Toward Greater Autonomy in Materials Discovery Agents: Unifying Planning, Physics, and Scientists	Notes/04_Materials_Science/Zhou_2025_MAPPS.md	anchor	ready_low_risk	no	low	representative evidence, local PDF coverage, and note presence are already aligned enough for direct writing support use.
04	ASD-0009	Agent-based learning of materials datasets from the scientific literature	Notes/04_Materials_Science/Ansari_2024_Eunomia_Materials_Datasets.md	anchor	ready_low_risk	no	low	representative evidence, local PDF coverage, and note presence are already aligned enough for direct writing support use.
04	ASD-0016	An autonomous laboratory for the accelerated synthesis of novel materials	Notes/04_Materials_Science/Szymanski_2023_A_Lab.md	exemplar	ready_low_risk	no	low	representative evidence, local PDF coverage, and note presence are already aligned enough for direct writing support use.
04	ASD-0031	Llmatdesign: Autonomous materials discovery with large language models	Notes/04_Materials_Science/Jia_2024_LLMatDesign.md	exemplar	ready_low_risk	no	low	representative evidence, local PDF coverage, and note presence are already aligned enough for direct writing support use.
04	ASD-0046	Topomas: Large language model driven topological materials multiagent system	Notes/04_Materials_Science/Zhang_2025_TopoMAS.md	exemplar	ready_low_risk	no	low	representative evidence, local PDF coverage, and note presence are already aligned enough for direct writing support use.
05	ASD-0653	Earth-Agent: Unlocking the Full Landscape of Earth Observation with Agents	Notes/05_Earth_and_Environmental_Sciences/Feng_2025_Earth_Agent.md	anchor	ready_with_note_drift	yes	stale_to_read	representative evidence is stable and PDF-backed, but the note still carries stale status or source-state wording.
05	ASD-0662	Mimosa Framework: Toward Evolving Multi-Agent Systems for Scientific Research	Notes/01_Formal_Information_and_Computational_Sciences/Unknown_2026_Mimosa_Framework.md	anchor	ready_with_note_drift	yes	cross_module;stale_to_read	representative evidence is stable and PDF-backed, but the note still carries stale status or source-state wording.
05	ASD-0691	OASIS: Onboard Autonomous Science Investigation System for Opportunistic Rover Science	Notes/10_Aerospace_Marine_and_Transportation_Sciences/Castano_2007_OASIS_Rover_Science.md	boundary	ready_with_note_drift	yes	cross_module;stale_to_read	representative evidence is stable and PDF-backed, but the note still carries stale status or source-state wording.
05	ASD-0693	Enabling Onboard Detection of Events of Scientific Interest for the Europa Clipper Spacecraft	Notes/10_Aerospace_Marine_and_Transportation_Sciences/Wagstaff_2019_Europa_Clipper_Onboard_Detection.md	boundary	ready_with_note_drift	yes	cross_module;stale_to_read	representative evidence is stable and PDF-backed, but the note still carries stale status or source-state wording.
05	ASD-0696	AEGIS Automated Science Targeting for the MER Opportunity Rover	Notes/10_Aerospace_Marine_and_Transportation_Sciences/Estlin_2012_AEGIS_Opportunity_Rover.md	boundary	ready_with_note_drift	yes	cross_module;stale_to_read	representative evidence is stable and PDF-backed, but the note still carries stale status or source-state wording.
06	ASD-0014	Spatialagent: An autonomous ai agent for spatial biology	Notes/06_Life_Sciences/Wang_2025_SpatialAgent.md	anchor	ready_low_risk	no	low	representative evidence, local PDF coverage, and note presence are already aligned enough for direct writing support use.
06	ASD-0020	Biodiscoveryagent: An ai agent for designing genetic perturbation experiments	Notes/06_Life_Sciences/Roohani_2024_BioDiscoveryAgent.md	anchor	ready_low_risk	no	low	representative evidence, local PDF coverage, and note presence are already aligned enough for direct writing support use.
