paper_id	title	note_path	current_master_doi_or_url	current_master_remarks_lead
ASD-0570	Knowledge-driven autonomous materials research via collaborative multi-agent and robotic system	Notes/04_Materials_Science/Shi_2026_Knowledge_Driven_Autonomous_Materials_Research.md	https://doi.org/10.1016/j.matt.2025.102577	Current first-hand evidence supports a stable single-module 04 materials-object reading.
ASD-0571	CRYSTAL: a multi-agent AI system for automated mapping of materials' crystal structures	Notes/04_Materials_Science/Gomes_2019_CRYSTAL_Crystal_Structure_Mapping.md	https://doi.org/10.1557/mrc.2019.50	Author PDF plus metadata previously supported concrete materials phase-mapping in module 04.
ASD-0614	Modular, Multi-Robot Integration of Laboratories: An Autonomous Solid-State Workflow for Powder X-Ray Diffraction	Notes/04_Materials_Science/Lunt_2023_Autonomous_SolidState_PXRD_Workflow.md	https://doi.org/10.48550/arXiv.2309.00544	Stable object is solid-state materials characterization in module 04.
ASD-0635	TianJi: An autonomous AI meteorologist for discovering physical mechanisms in atmospheric science	Notes/05_Earth_and_Environmental_Sciences/Zhang_2026_TianJi_Autonomous_Meteorologist.md	https://arxiv.org/abs/2603.27738	Stable object is atmospheric-mechanism discovery rather than a domain-general scientific-agent platform.
ASD-0651	AI Driven Discovery of Bio Ecological Mediation in Cascading Heatwave Risks	Notes/05_Earth_and_Environmental_Sciences/Wang_2025_Heatwave_Discovery_Agent.md	https://arxiv.org/abs/2509.25112	Landed 05;11 reading is already supported from arXiv abstract plus HTML / PDF evidence, with 05 primary.
ASD-0725	TianJi-Environ: An Autonomous AI Scientist for Atmospheric Environmental Research	Notes/05_Earth_and_Environmental_Sciences/Zhang_2026_TianJi_Environ_Atmospheric_Research.md	https://arxiv.org/abs/2606.07697	Current first-hand evidence keeps this in module 05 for atmospheric-environment mechanism validation.
ASD-0728	CellForge: Agentic Design of Virtual Cell Models	Notes/06_Life_Sciences/Tang_2025_CellForge_Virtual_Cell_Models.md	https://arxiv.org/abs/2508.02276	Current first-hand evidence keeps this in module 06 for virtual-cell / single-cell biology object coverage.
ASD-0729	Self-evolving AI agents for protein discovery and directed evolution	Notes/06_Life_Sciences/Tan_2026_Protein_Discovery_Directed_Evolution.md	https://arxiv.org/abs/2603.27303	Current first-hand evidence keeps this in module 06 for protein discovery and directed-evolution object coverage.
ASD-0731	Self-Driving Datasets: From 20 Million Papers to Nuanced Biomedical Knowledge at Scale	Notes/06_Life_Sciences/Jones_2026_Self_Driving_Datasets.md	https://arxiv.org/abs/2605.07022	Current first-hand evidence supports scientific_object_modules=03;06;07 with primary_module_for_filing=06 and source_limited=no.
ASD-0526	Constitutive scientific generative agent (CSGA): Leveraging large language models for automated constitutive model discovery	Notes/09_Engineering_and_Industrial_Technology_Sciences/Tacke_2025_CSGA_Constitutive_Model_Discovery.md	https://doi.org/10.1007/s44379-025-00022-2	Engineering/mechanics constitutive-model discovery object remains stable in module 09.
