paper_id,title,assignment_scope,module_code,module_kind,sort_order,active_confirmed_core
ASD-0001,"Toward Greater Autonomy in Materials Discovery Agents: Unifying Planning, Physics, and Scientists",final_modules_or_bucket,04,formal_module,1,1
ASD-0002,HealthFlow: A Self-Evolving AI Agent with Meta Planning for Autonomous Healthcare Research,final_modules_or_bucket,07,formal_module,1,1
ASD-0003,CheMatAgent: Enhancing LLMs for Chemistry and Materials Science through Tree-Search Based Tool Learning,final_modules_or_bucket,03,formal_module,1,1
ASD-0003,CheMatAgent: Enhancing LLMs for Chemistry and Materials Science through Tree-Search Based Tool Learning,final_modules_or_bucket,04,formal_module,2,1
ASD-0004,InternAgent: When Agent Becomes the Scientist -- Building Closed-Loop System from Hypothesis to Verification,final_modules_or_bucket,01,formal_module,1,1
ASD-0004,InternAgent: When Agent Becomes the Scientist -- Building Closed-Loop System from Hypothesis to Verification,final_modules_or_bucket,03,formal_module,2,1
ASD-0004,InternAgent: When Agent Becomes the Scientist -- Building Closed-Loop System from Hypothesis to Verification,final_modules_or_bucket,06,formal_module,3,1
ASD-0004,InternAgent: When Agent Becomes the Scientist -- Building Closed-Loop System from Hypothesis to Verification,final_modules_or_bucket,09,formal_module,4,1
ASD-0004,InternAgent: When Agent Becomes the Scientist -- Building Closed-Loop System from Hypothesis to Verification,final_modules_or_bucket,10,formal_module,5,1
ASD-0005,A Multiagent-Driven Robotic AI Chemist Enabling Autonomous Chemical Research On Demand,final_modules_or_bucket,03,formal_module,1,1
ASD-0005,A Multiagent-Driven Robotic AI Chemist Enabling Autonomous Chemical Research On Demand,final_modules_or_bucket,04,formal_module,2,1
ASD-0006,DORA AI Scientist: Multi-agent Virtual Research Team for Scientific Exploration Discovery and Automated Report Generation,final_modules_or_bucket,01.04,general_bucket,1,1
ASD-0007,Hypothesis Generation for Materials Discovery and Design Using Goal-Driven and Constraint-Guided LLM Agents,final_modules_or_bucket,04,formal_module,1,1
ASD-0008,Accelerating Drug Discovery Through Agentic AI: A Multi-Agent Approach to Laboratory Automation in the DMTA Cycle,final_modules_or_bucket,07,formal_module,1,1
ASD-0008,Accelerating Drug Discovery Through Agentic AI: A Multi-Agent Approach to Laboratory Automation in the DMTA Cycle,final_modules_or_bucket,03,formal_module,2,1
ASD-0009,Agent-based learning of materials datasets from the scientific literature,final_modules_or_bucket,04,formal_module,1,1
ASD-0010,El Agente: An Autonomous Agent for Quantum Chemistry,final_modules_or_bucket,03,formal_module,1,1
ASD-0012,Large language models for chemistry robotics,final_modules_or_bucket,03,formal_module,1,1
ASD-0013,The ai scientist-v2: Workshop-level automated scientific discovery via agentic tree search,final_modules_or_bucket,01,formal_module,1,1
ASD-0014,Spatialagent: An autonomous ai agent for spatial biology,final_modules_or_bucket,06,formal_module,1,1
ASD-0016,An autonomous laboratory for the accelerated synthesis of novel materials,final_modules_or_bucket,04,formal_module,1,1
ASD-0017,Can ai agents design and implement drug discovery pipelines?,final_modules_or_bucket,07,formal_module,1,1
ASD-0018,Agent laboratory: Using llm agents as research assistants,final_modules_or_bucket,01,formal_module,1,1
ASD-0019,Agentrxiv: Towards collaborative autonomous research,final_modules_or_bucket,01,formal_module,1,1
ASD-0020,Biodiscoveryagent: An ai agent for designing genetic perturbation experiments,final_modules_or_bucket,06,formal_module,1,1
ASD-0022,Chemgraph: An agentic framework for computational chemistry workflows,final_modules_or_bucket,03,formal_module,1,1
ASD-0024,Large language model agent for modular task execution in drug discovery,final_modules_or_bucket,07,formal_module,1,1
ASD-0024,Large language model agent for modular task execution in drug discovery,final_modules_or_bucket,03,formal_module,2,1
ASD-0025,Cactus: Chemistry agent connecting tool usage to science,final_modules_or_bucket,03,formal_module,1,1
ASD-0026,Autonomous microscopy experiments through large language model agents,final_modules_or_bucket,04,formal_module,1,0
ASD-0026,Autonomous microscopy experiments through large language model agents,final_modules_or_bucket,09,formal_module,2,0
ASD-0028,Drugagent: Automating ai-aided drug discovery programming through llm multi-agent collaboration,final_modules_or_bucket,07,formal_module,1,1
ASD-0029,Chemhas: Hierarchical agent stacking for enhancing chemistry tools,final_modules_or_bucket,03,formal_module,1,1
ASD-0030,Rag-enhanced collaborative llm agents for drug discovery,final_modules_or_bucket,03,formal_module,1,1
ASD-0030,Rag-enhanced collaborative llm agents for drug discovery,final_modules_or_bucket,07,formal_module,2,1
ASD-0031,Llmatdesign: Autonomous materials discovery with large language models,final_modules_or_bucket,04,formal_module,1,1
ASD-0032,Codescientist: End-to-end semi-automated scientific discovery with code-based experimentation,final_modules_or_bucket,01,formal_module,1,1
ASD-0033,Omnicellagent: Towards ai co-scientists for scientific discovery in precision medicine,final_modules_or_bucket,06,formal_module,1,1
ASD-0034,Perturboagent: A self-planning agent for boosting sequential perturb-seq experiments,final_modules_or_bucket,06,formal_module,1,1
ASD-0035,Sciagents: automating scientific discovery through bioinspired multi-agent intelligent graph reasoning,final_modules_or_bucket,04,formal_module,1,1
ASD-0036,Organa: A robotic assistant for automated chemistry experimentation and characterization,final_modules_or_bucket,03,formal_module,1,1
ASD-0037,Autonomous mobile robots for exploratory synthetic chemistry,final_modules_or_bucket,03,formal_module,1,1
ASD-0038,An autonomous large language model agent for chemical literature data mining,final_modules_or_bucket,03,formal_module,1,1
ASD-0040,"Researchagent: Iterative research idea generation over scientific literature with large language models, 2025",final_modules_or_bucket,01.04,general_bucket,1,1
ASD-0041,Liddia: Language-based intelligent drug discovery agent,final_modules_or_bucket,07,formal_module,1,1
ASD-0044,Bridging literature and the universe via a multi-agent large language model system,final_modules_or_bucket,02,formal_module,1,1
ASD-0045,Honeycomb: A flexible llm-based agent system for materials science,final_modules_or_bucket,04,formal_module,1,1
ASD-0046,Topomas: Large language model driven topological materials multiagent system,final_modules_or_bucket,04,formal_module,1,1
ASD-0047,Foam-agent: Towards automated intelligent cfd workflows,final_modules_or_bucket,09,formal_module,1,1
ASD-0048,"Dolphin: Closed-loop open-ended auto-research through thinking, practice, and feedback",final_modules_or_bucket,01,formal_module,1,1
ASD-0049,Bioinformatics agent (bia): Unleashing the power of large language models to reshape bioinformatics workflow,final_modules_or_bucket,06,formal_module,1,1
ASD-0051,Geneagent: Self-verification language agent for gene set knowledge discovery using domain databases,final_modules_or_bucket,06,formal_module,1,1
ASD-0052,Optimizing collaboration of large language model based agents for autonomous finite element analysis,final_modules_or_bucket,09,formal_module,1,1
ASD-0053,Towards autonomous hypothesis verification via language models with minimal guidance,final_modules_or_bucket,01.04,general_bucket,1,1
ASD-0054,The virtual lab: Ai agents design new sars-cov-2 nanobodies with experimental validation,final_modules_or_bucket,07,formal_module,1,1
ASD-0054,The virtual lab: Ai agents design new sars-cov-2 nanobodies with experimental validation,final_modules_or_bucket,06,formal_module,2,1
ASD-0055,Biomaster: Multi-agent system for automated bioinformatics analysis workflow,final_modules_or_bucket,06,formal_module,1,1
ASD-0056,"Delocalized, asynchronous, closed-loop discovery of organic laser emitters",final_modules_or_bucket,03,formal_module,1,1
ASD-0056,"Delocalized, asynchronous, closed-loop discovery of organic laser emitters",final_modules_or_bucket,04,formal_module,2,1
ASD-0057,"Autochemschematic ai: A closed-loop, physics-aware agentic framework for auto-generating chemical process and instrumentation diagrams",final_modules_or_bucket,09,formal_module,1,1
ASD-0058,Astroagents: A multi-agent ai for hypothesis generation from mass spectrometry data,final_modules_or_bucket,02,formal_module,1,1
ASD-0059,"Iterative hypothesis generation for scientific discovery with monte carlo nash equilibrium self-refining trees, 2025",final_modules_or_bucket,01.04,general_bucket,1,1
ASD-0060,Piflow: Principle-aware scientific discovery with multi-agent collaboration,final_modules_or_bucket,03,formal_module,1,1
ASD-0060,Piflow: Principle-aware scientific discovery with multi-agent collaboration,final_modules_or_bucket,04,formal_module,2,1
