paper_id	title	first_hand_sources_checked	local_pdf_found	recommended_pdf_url_or_status	agent_inclusion	concrete_scientific_objects	concrete_object_evidence	suggested_modules	suggested_01_04_bucket	primary_module_for_filing	boundary_type	confidence	note_revision_required	source_limited	safety_or_access_note	short_reason
ASD-0005	A Multiagent-Driven Robotic AI Chemist Enabling Autonomous Chemical Research On Demand	ACS DOI landing/abstract; ACS supporting-information page; University of Birmingham repository record	no	Accepted-manuscript PDF lead: https://research.birmingham.ac.uk/files/284954774/entry_3.pdf ; ACS PDF endpoint also exists but both were access-blocked here	yes	functional materials; photocatalytic organic reactions	Accessible repository/abstract evidence says six tasks culminate in functional-material discovery/optimization and a seventh performs photocatalytic organic reactions	03;04	none	03	03/04 stable multi-module but access-limited	medium_high	no	yes	Non-safety access limitation: ACS and Birmingham PDF routes returned access-gated behavior in this environment	Concrete chemistry and materials objects are both visible, so keep 03;04, but do not clear source_limited without a readable manuscript/PDF
ASD-0158	A robotic platform for flow synthesis of organic compounds informed by AI planning	HKUST repository abstract; MIT Green Group bibliographic page; MIT News project page; Science DOI/PDF endpoints checked and gated	no	No legal OA PDF confirmed now; keep Science PDF target https://www.science.org/doi/pdf/10.1126/science.aax1566 as future lead only	yes	organic compounds; modular continuous-flow synthesis routes; 15 drug or drug-like substances	HKUST abstract says AI-driven synthesis planning is executed on a robotically reconfigurable continuous-flow platform and demonstrated on 15 drug or drug-like substances	03	none	03	03/09 chemistry-platform boundary, but chemistry anchor is stable	high	no	yes	Non-safety access limitation: science.org DOI/PDF endpoints are blocked by 403/browser-check behavior here	Object-level evidence is continuous-flow organic synthesis, not an engineering-system paper
ASD-0097	Cellvoyager: Ai compbio agent generates new insights by autonomously analyzing biological data	Nature Methods DOI landing/preview; official Nature supplementary PDF; official GitHub README; official demo landing; bioRxiv DOI/PDF route checked and gated	no	Strongest accessible file is the official supplementary PDF: https://static-content.springer.com/esm/art%3A10.1038%2Fs41592-026-03029-6/MediaObjects/41592_2026_3029_MOESM1_ESM.pdf ; main-paper PDF not obtained	yes	scRNA-seq datasets; CellBench benchmark studies; COVID-19 immune-response single-cell data; human endometrium cell-cell-communication data; aging brain single-cell data	Nature preview/supplementary/repo evidence supports autonomous analysis of biological data in Jupyter and single-cell computational-biology case studies	06	none	06	06 stable, with old 07 pressure remaining only as a lead	medium_high	yes	yes	Non-safety access limitation: no local full-text PDF; Nature main-paper PDF unavailable here; bioRxiv PDF returned 403	Keep 06 only; current first-hand evidence does not justify relanding 07
ASD-0112	CSSTep: Step-by-step exploration of the chemical space of drug molecules via multi-agent and multi-stage reinforcement learning	DOI landing; ScienceDirect indexed abstract/full-text record pages; Elsevier XML coredata; HKUST portal abstract	no	No legal public PDF confirmed; Elsevier XML indicates openaccessArticle=false; keep DOI/PII route as future lead only	yes	drug molecules; chemical space of drug molecules; multi-objective molecular optimization	HKUST/publisher abstract and Elsevier XML directly anchor the paper to drug-molecule chemical-space exploration and optimization; COVID-target cases remain only follow-up lead text	03	none	03	03/07 chemistry-medical boundary under abstract-level evidence	medium	yes	yes	Non-safety access limitation: direct ScienceDirect full text/PDF was not readable in this environment	Current first-hand evidence stabilizes chemistry-centered molecule optimization, not a landed medical module
ASD-0603	Reconfigurable system for automated optimization of diverse chemical reactions	DOI landing; Science article/PDF endpoints checked and gated; Crossref abstract; official GitHub repo	no	Keep official Science PDF target as future lead: https://www.science.org/doi/pdf/10.1126/science.aat0650	yes	diverse chemical reactions; reaction-condition spaces; C-C and C-N cross-coupling; olefination; reductive amination; SNAr; photoredox catalysis	Crossref abstract and official repo corroborate automated optimization across concrete reaction families with online analytical feedback	03	none	03	03 vs 01.04/09 platform-like framing	medium_high	no	yes	Non-safety access limitation: Science DOI/article/PDF endpoints remained gated; repo does not replace full text	Despite broad platform language, the validated objects are concrete chemistry reactions
ASD-0547	Closed-loop experimental AI for pixelated metasurface design	Crossref DOI record; DOI resolver; official SPIE landing	no	No realistic readable PDF verified here; keep DOI landing https://doi.org/10.1117/12.3091089 and do not hard-fight the SPIE PDF route	yes	pixelated metasurfaces; engineered nanostructure design	Current usable first-hand evidence is limited to title/DOI/SPiE landing metadata indicating closed-loop metasurface design	04	none	04	04/09 weak-evidence metasurface-design boundary	medium_low	yes	yes	Safety/access-limited follow-up: downstream SPIE full text was not safely/readably accessible in this environment	Keep a conservative 04 only; this is the clearest case to skip overclaiming beyond metadata-level object evidence
ASD-0569	Autonomous Nanocrystal Doping by Self-Driving Fluidic Micro-Processors	DOI resolver; Wiley article endpoints; Wiley PDF endpoint lead; Crossref API metadata/abstract	no	Best PDF lead is the official Wiley VOR PDF https://onlinelibrary.wiley.com/doi/pdf/10.1002/aisy.202200017 ; Crossref indicates CC BY 4.0, but endpoint was Cloudflare-blocked here	yes	lead halide perovskite nanocrystals; sequential halide exchange; metal-cation doping; target doping levels	Crossref abstract and Wiley article metadata describe closed-loop nanocrystal doping campaigns toward target doping levels	04	none	04	04/03 nanocrystal materials-vs-chemistry boundary	high	yes	yes	Ordinary access limitation: publisher-side PDF/article routes exist but were not actually retrievable/readable here	Materials-object classification is stable, but source_limited should remain yes until a readable full text or archived PDF is actually in hand
ASD-0572	Autonomous discovery of functional random heteropolymer blends through evolutionary formulation optimization	DOI landing; ScienceDirect article preview; visible cell.com full-text/PDF endpoints; ChemRxiv DOI/preprint page	no	Best leads: ChemRxiv preprint PDF https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/671123ff51558a15ef59f01a/original/autonomous-discovery-of-functional-random-heteropolymer-blends-through-evolutionary-formulation-optimization.pdf and cell.com PDF https://www.cell.com/matter/pdf/S2590-2385%2825%2900379-0.pdf ; both blocked here	yes	functional random heteropolymer blends; polymer-blend formulations; enzyme/protein stabilization	ScienceDirect preview and preprint lead support autonomous discovery of polymer blends plus biomolecular/protein-stabilization validation	04;06	none	04	04/06 multi-module boundary	high	yes	yes	Ordinary access limitation: official preview is readable, but no publisher/preprint PDF was actually retrieved here	Multi-module 04;06 is supportable, but source_limited should stay explicit
ASD-0727	GeoAgentic-RAG: A Multi-Agent framework for autonomous geospatial reasoning and visual insight generation with LLM	DOI landing; ScienceDirect article page/abstract; HKU Scholars Hub handle; visible repository PDF lead	no	Repository PDF lead: https://hub.hku.hk/bitstream/10722/373121/1/content.pdf via https://hub.hku.hk/handle/10722/373121 ; not actually retrieved here	yes	geospatial questions; vector geodata; raster geodata; spatial relations; GIS/Earth-observation analysis tasks	Publisher abstract and HKU full-record metadata describe autonomous geospatial reasoning over vector/raster geodata with benchmarked geospatial tasks	05	none	05	05 vs 01.04 framework-like method boundary	high	yes	yes	No local archived PDF; repository PDF link is visible but scripted/direct retrieval hit 403/anti-bot behavior	Concrete geospatial/Earth-observation task framing keeps this out of 01.04, but first-hand state is still source-limited
ASD-0859	Monitoring active volcanism with the Autonomous Sciencecraft Experiment on EO-1	DOI landing; ScienceDirect article page/abstract; JPL news page; JPL ST6 ASE validation report PDF	no	No verified legal article PDF found in this pass; keep article-page evidence plus JPL report/project sources	yes	active volcano regions; volcanic thermal anomalies; responsive EO-1/Hyperion Earth-observation follow-up data	Publisher abstract and JPL sources support onboard volcanic-anomaly detection followed by event-driven replanning/observation	05	none	05	05/10 spacecraft-platform boundary	high	uncertain	yes	Non-safety access limitation: no local archived article PDF; official JPL sources strengthen object evidence but do not replace article full text	The autonomy runs on a spacecraft, but the directly studied scientific object is active volcanism and responsive Earth observation
ASD-0860	Autonomous detection of cryospheric change with hyperion on-board Earth Observing-1	ScienceDirect article preview; Remote Sensing of Environment volume/issue listing	no	https://www.sciencedirect.com/science/article/abs/pii/S0034425706000216	yes; ASE performs onboard classification, triggering, and autonomous response for a science target	cryospheric change; snow/ice/cryosphere in EO-1 Hyperion scenes	the official article preview says ASE uses classifier and triggering algorithms to identify cryosphere change, autonomously respond, and reports ground classification plus field validation	05	none	05	05_vs_10_earth_observation_science_vs_spacecraft_ops	high	no	yes	no local archived PDF found; official publisher preview is accessible but no confirmed open target PDF/full text route was usable in-turn	concrete object is cryospheric Earth observation, so keep stable 05 but remain source-limited
ASD-0861	Flood detection and monitoring with the Autonomous Sciencecraft Experiment onboard EO-1	ScienceDirect article preview	no	https://www.sciencedirect.com/science/article/abs/pii/S0034425706000228	yes; ASE does onboard analysis and replanning without ground intervention	flooding; water inundation; flood-induced Earth-observation change	the official abstract says ASE classifies flood-induced changes in Hyperion images, modifies the operational plan onboard, and aims at autonomous flood detection/mapping/monitoring from space	05	none	05	05_vs_10_earth_observation_science_vs_spacecraft_ops	high	no	yes	no local archived PDF found; official abstract page is accessible but no confirmed open target PDF/full text route was usable in-turn	concrete object is flood monitoring as Earth-system science, so keep stable 05 but remain source-limited
ASD-0617	An industrial automated laboratory for programmable protein evolution	Nature article page/abstract; data-availability and source-data/supplementary listings	no	https://www.nature.com/articles/s44286-025-00303-w	yes; industrial automated lab runs multistep evolution/selection with minimal human intervention	programmable protein evolution; protein adaptive landscapes; evolved functional proteins	the official abstract says the platform enables continuous scalable protein evolution, integrates new genetic circuits, and evolves proteins from inactive precursors to functional entities such as CapT7	06	none	06	stable_single_module_06_protein_engineering	high	no	yes	no local archived PDF found; main article remained access-limited in-turn, though abstract plus supplementary/source-data visibility is real	concrete object is protein engineering/evolution, so stable 06 with no need to drift toward 01.04
ASD-0724	Autonomous seeking and mapping coral reef biodiversity hotspots with a multimodal AUV	Science DOI landing snippet; Science Robotics TOC entry	no	https://www.science.org/doi/10.1126/scirobotics.adx9939	yes; the AUV autonomously seeks and maps a biological hotspot using multimodal sensing	coral reef biodiversity hotspots; mobile reef fauna	the official Science snippet describes a Caribbean reef case where passive acoustics and visual sensing located a biological hotspot and colocated multimodal data validated its prominence	06	none	06	06_vs_05_marine_biodiversity_vs_ocean_observation	medium	no	yes	no local archived PDF found; Science landing/TOC were visible but direct article fetch was blocked in-turn	concrete object is reef biodiversity rather than generic marine robotics, but current evidence is still abstract-level
ASD-0536	TCM-Agent: Advancing Network Pharmacology and Herbal Medicine Discovery with LLM-Based Multi-Agent Systems	official Journal of Pharmaceutical Analysis article page with abstract and visible PDF/FullText(HTML) entries	no	https://jpa.xjtu.edu.cn/article/doi/10.1016/j.jpha.2026.101581	yes; LLM multi-agent system performs reasoning, retrieval, validation, and analysis for a research workflow	TCM network pharmacology; herbal medicine discovery	the official abstract says TCM-Agent is built for network pharmacology and herbal medicine research and reports benchmark evaluation across 100 validated TCM studies	07	none	07	07_vs_01.04_domain_discovery_agent_vs_general_method	high	yes	no	no local archived PDF, but the official publisher page now exposes strong first-hand article evidence with visible PDF/HTML routes	this now looks stronger than prior abstract-only handling, so 07 remains stable and source_limited should likely be cleared
ASD-0544	LLM-Agent Powered Automated Literature Review and Hypothesis Generation for Cancer Biomarker Discovery	IEEE Xplore document page; official IEEE PDF URL snippet	no	https://ieeexplore.ieee.org/iel8/11315138/11315198/11315415.pdf	yes; a RAG/agent workflow automates literature collection, indexing, analysis, and hypothesis generation	cancer biomarker discovery; biomedical literature	the official IEEE document page and PDF snippet indicate an agent that automates biomedical literature collection/indexing/analysis for cancer biomarker discovery	07	none	07	07_vs_01.04_medical_literature_agent_vs_general_method	medium	yes	no	earlier rounds reported IEEE WAF blockage; current first-hand search surfaces both the official document page and a direct PDF URL, though direct in-turn open remained unstable	concrete biomedical object remains visible, so do not retreat to 01.04; source_limited likely no longer needs to remain
ASD-0858	Incorporating AEGIS autonomous science into Mars Science Laboratory rover mission operations	AIAA DOI page/PDF result snippet	no	https://arc.aiaa.org/doi/pdf/10.2514/6.2018-2576	yes; AEGIS performs onboard autonomous target selection within rover science operations	Mars Science Laboratory rover mission operations; ChemCam target selection for Mars science	the official publisher-side abstract snippet says AEGIS has been used on MSL since 2016 for onboard autonomous selection of ChemCam targets from rover images and describes the operational rollout into science ops	10	none	10	10_vs_01.04_mission_science_operations_vs_general_autonomy	high	yes	no	no local archived PDF, but an official AIAA PDF route is surfaced by the publisher result	object is rover mission-science operations under real mission constraints, so 10 remains clean and prior source_limited wording likely needs review
ASD-0855	Automating Scientific Evaluation: A Multi-Agent Framework for Transparent and Trustworthy Peer Review	ScienceDirect article page with complimentary-access abstract	no	https://www.sciencedirect.com/science/article/pii/S240589632503157X	yes; autonomous agents representing authors/reviewers/editors coordinate structured evaluation	scientific peer review; scientific evaluation; scientific publishing	the official abstract says the framework integrates multi-agent collaboration, knowledge-grounded reasoning, and blockchain verification for structured peer review	11	none	11	11.07_vs_01.04_peer_review_system_vs_general_method	high	yes	no	no local archived PDF, but the official ScienceDirect page shows complimentary access and a strong abstract	the object is scientific evaluation itself, so this is a stable 11.07 record and prior source_limited handling likely overstates access limits
ASD-0508	Autonomous, multiproperty-driven molecular discovery: From predictions to measurements and back	Science article page snippet; open ChemRxiv record	no	https://doi.org/10.26434/chemrxiv-2023-r7b01	yes; a closed-loop autonomous platform iterates design-make-test-analyze cycles	dye-like molecules; molecular properties including absorption wavelength, lipophilicity, and photooxidative stability	the Science page says the platform is closed-loop and autonomous, while the open ChemRxiv record reports two dye-like-molecule case studies and 294 unreported molecules across three automatic iterations	03	none	03	03_vs_04_molecule_discovery_vs_material_optimization	high	no	no	no local archived PDF, but an open prepublication/full-text route exists via ChemRxiv	direct object is molecules and molecular properties, so stable 03
ASD-0565	Agentic AI for autonomous discovery of radiation-tolerant CoCrFeMnNi high entropy alloys	ScienceDirect official article/abstract record metadata	no	https://www.sciencedirect.com/science/article/abs/pii/S1359646226001223	yes; the official record identifies an autonomous alloy-discovery agentic AI workflow	radiation-tolerant CoCrFeMnNi high-entropy alloys	the official publisher record clearly names autonomous discovery of radiation-tolerant CoCrFeMnNi high-entropy alloys, but full abstract text was not reliably retrievable in-turn	04	none	04	04_vs_03_alloy_material_vs_compositional_search	medium	no	yes	no local archived PDF found; official publisher record was visible but usable full abstract/full text was still limited in-turn	title-level first-hand evidence supports a materials/alloy object, but keep the row conservative and source-limited
ASD-0631	Autonomous Discovery of Polymer Electrolyte Formulations with Warm-Start Batch Bayesian Optimization	publisher_abstract_page https://pubs.acs.org/doi/abs/10.1021/acs.chemmater.5c01209; ChemRxiv landing page https://chemrxiv.org/doi/10.26434/chemrxiv-2025-2cjbg; ACS search snippet showing supporting information availability	no	no_local_pdf; official ACS/ChemRxiv landing pages found, but no directly readable main-paper PDF recovered in this run	yes	polymer electrolyte formulations for battery/solid-state-battery materials	publisher title/abstract-page metadata and preprint landing metadata anchor an autonomous discovery workflow over polymer electrolyte formulations for battery applications; object is a materials formulation family, not a generic agent benchmark	04	none	04	04_vs_03	medium	no	yes	ACS/ChemRxiv pages were fetch-limited in this environment, so this remains title/landing-page based rather than full-text grounded	Concrete materials object is clear enough for 04, but evidence depth is still limited and should stay source_limited
ASD-0381	Autonomous reaction Pareto-front mapping with a self-driving catalysis laboratory	publisher_html_preview/full_text https://www.nature.com/articles/s44286-024-00033-5; supplementary_pdf https://static-content.springer.com/esm/art%3A10.1038%2Fs44286-024-00033-5/MediaObjects/44286_2024_33_MOESM1_ESM.pdf	no	main article HTML readable; supplementary PDF available at https://static-content.springer.com/esm/art%3A10.1038%2Fs44286-024-00033-5/MediaObjects/44286_2024_33_MOESM1_ESM.pdf	yes	hydroformylation of 1-octene with syngas; rhodium/phosphorus-ligand homogeneous catalysis	Nature page states Fast-Cat autonomously maps the hydroformylation reaction between syngas and 1-octene in the presence of rhodium and phosphorus-based ligands, with autonomous experiment selection and Pareto-front mapping	03	none	03	stable_single_module_03	high	no	no	Main article PDF is paywalled, but the HTML preview plus supplementary PDF provide enough first-hand chemistry-object evidence	Stable chemistry-object paper, not a 01.04 case and not meaningfully pressured toward another top module
ASD-0609	Automated pH Adjustment Driven by Robotic Workflows and Active Machine Learning	publisher_html_full_text https://www.sciencedirect.com/science/article/pii/S1385894722045788; doi_page https://doi.org/10.1016/j.cej.2022.139099	no	no_local_pdf; official open-access ScienceDirect article has View PDF on landing page	yes	buffered chemical systems and formulation pH-adjustment tasks	ScienceDirect full text says the closed-loop ML strategy is demonstrated on binary-buffered poly-protic systems and experimentally implemented with a liquid-handling robot adjusting pH in different buffered systems	03	none	03	03_vs_09	high	no	no	Official HTML full text was readable; no safety issue beyond not separately archiving a local PDF	The robotic workflow serves a chemical-system optimization task, so 03 remains the stable filing module
ASD-0592	Autonomous materials synthesis by machine learning and robotics	open_access_full_text https://pubs.aip.org/aip/apm/article/8/11/111110/569817/Autonomous-materials-synthesis-by-machine-learning; official_pdf https://pubs.aip.org/aip/apm/article-pdf/doi/10.1063/5.0020370/14565416/111110_1_online.pdf	no	https://pubs.aip.org/aip/apm/article-pdf/doi/10.1063/5.0020370/14565416/111110_1_online.pdf	yes	Nb-doped TiO2 thin films; thin-film materials synthesis and resistance minimization	APL Materials full text states the paper highlights autonomous synthesis and resistance minimization experiments on Nb-doped TiO2 thin films using machine learning and robotics in a closed-loop materials workflow	04	none	04	stable_single_module_04	high	no	no	Open-access full text and official PDF were both available	Concrete thin-film materials object is explicit and classification is stable in 04
ASD-0854	Enabling Autonomous Science for a Mars Rover	official_AIAA_pdf_snippet https://arc.aiaa.org/doi/pdf/10.2514/6.2008-3241?download=true; official_JPL_project_page https://science.jpl.nasa.gov/projects/oasis/	no	https://arc.aiaa.org/doi/pdf/10.2514/6.2008-3241?download=true	yes	Mars rover mission-science autonomy; onboard geologic target/data prioritization	Official AIAA/JPL snippets describe OASIS as evaluating rover-gathered geologic data, prioritizing transmission, identifying science opportunities, and replanning follow-up onboard for rover science	10	none	10	10_vs_05	medium	no	yes	Official sources were reachable only as snippets/project-page text in this run; direct full-paper fetch stayed blocked, so keep the source-limited flag visible	Module 10 is still the right home, but evidence depth here is thinner than for the open-access chemistry/materials rows
ASD-0541	PromptBio: A Multi-Agent AI Platform for Bioinformatics Data Analysis	official_bioRxiv_pdf_snippet https://www.biorxiv.org/content/biorxiv/early/2025/07/09/2025.07.05.663295.full.pdf; official_publications_page https://www.promptbio.ai/publications.html	no	https://www.biorxiv.org/content/biorxiv/early/2025/07/09/2025.07.05.663295.full.pdf	yes	none_confirmed_at_paper_level	PromptBio official page describes PromptGenie, DiscoverFlow, ToolsGenie, multi-agent orchestration, and scalable multi-omics/bioinformatics workflows, but the safe first-hand material checked here does not securely anchor discrete paper-level gene/protein/cell/disease case studies strong enough to assign 06	none	01.04_general_asd_methods_without_concrete_object_experiments	01	01.04_vs_06	medium	yes	yes	bioRxiv PDF was discoverable but not directly readable in-tool here; PromptBio site was safer and clearer than pushing harder on blocked routes	Keep this in 01.04 unless someone directly reads paper-level concrete biology-object experiments from the preprint itself
ASD-0553	ToolsGenie 2.0: A Scalable and Extensible Multi-Agent System for Bioinformatics Automation	official_bioRxiv_pdf_snippet https://www.biorxiv.org/content/10.64898/2026.01.06.697527v1.full.pdf; official_publications_page https://www.promptbio.ai/publications.html	no	https://www.biorxiv.org/content/10.64898/2026.01.06.697527v1.full.pdf	yes	none_confirmed_at_paper_level	Checked first-hand materials describe a multi-agent bioinformatics automation system and PromptBio workflow componentry, but do not securely establish separate paper-level concrete gene/protein/cell/disease experiments for 06 or 07 in this run	none	01.04_general_asd_methods_without_concrete_object_experiments	01	01.04_vs_06_07	medium	no	yes	The bioRxiv route was metadata/PDF-snippet visible but not directly readable in-tool; safe official platform text remained the main usable evidence	Retain 01.04 and skip domain-module overclaiming until the actual preprint case inventory is read directly
ASD-0466	Discovery of Wall-Selective Carbon Nanotube Growth Conditions via Automated Experimentation	ACS_landing/abstract metadata https://pubs.acs.org/doi/10.1021/nn503347a; PubMed metadata snippet https://pubmed.ncbi.nlm.nih.gov/25299482/; ACS supporting-info availability snippet	no	no_local_pdf; ACS landing page found and supporting-information PDF is advertised there, but no readable main-paper PDF was recovered in this run	yes	carbon nanotube growth conditions; wall-selective CNT materials growth	The title and official metadata anchor automated experimentation over CNT growth conditions, which is a concrete nanomaterials-discovery object even though this pass did not recover full text	04	none	04	04_stable_autonomy_evidence_thin	medium	no	yes	ACS full fetch was blocked in this environment, so autonomy-loop detail is thinner than the object signal	Keep 04 for concrete nanomaterials discovery, but leave source_limited on because the full paper was not directly read here
ASD-0599	An AI-Native Biofoundry for Autonomous Enzyme Engineering: Integrating Active Learning with Automated Experimentation	official_bioRxiv_landing/PDF snippet https://www.biorxiv.org/content/10.64898/2026.02.01.703093v1; official_pdf_result https://www.biorxiv.org/content/biorxiv/early/2026/02/01/2026.02.01.703093.full.pdf	no	https://www.biorxiv.org/content/biorxiv/early/2026/02/01/2026.02.01.703093.full.pdf	yes	enzymes; enzyme-engineering workflows	The official preprint title and landing metadata already anchor a concrete enzyme-engineering object integrated with active learning and automated experimentation, which is enough to keep a biology-object reading even without direct full-text inspection here	06	none	06	06_source_limited_not_01.04	medium	no	yes	bioRxiv PDF was discoverable but not directly readable in-tool here, so this remains metadata-driven rather than full-text validated	The title itself gives a concrete biology object, so 06 is safer than 01.04, but the row should remain source_limited
ASD-0741	Spatial transcriptomics AI agent charts hPSC-pancreas maturation in vivo	official_bioRxiv_landing/PDF snippet https://www.biorxiv.org/content/10.1101/2025.04.01.646731v1; official_project_repo https://github.com/LiuLab-Bioelectronics-Harvard/STAgent	no	https://www.biorxiv.org/content/10.1101/2025.04.01.646731v1.full.pdf	yes	hPSC-pancreas maturation in vivo; spatial transcriptomics data of pancreatic graft/organoid development	The preprint title itself gives a concrete developmental-biology object, and the official STAgent repo says the system guides spatial transcriptomics analysis end-to-end and uses a pancreas dataset (`pancreas_processed_full.h5ad`) to generate biological insight and reports	06	none	06	06_vs_01.04	medium	no	yes	bioRxiv full text was not directly readable in-tool here; repo evidence helped anchor the concrete object without overextending beyond that	Concrete biology object is explicit enough to keep 06 despite the strong platform/agent framing
