paper_id	note_path	final_modules_or_bucket	object_coverage_mode	primary_module_for_filing	general_method_bucket	source_limited	writeback_sections	landing_reason
ASD-0152	Notes/06_Life_Sciences/Nouri_2026_CellAtria_scRNAseq.md	06;07	multi_module	06	none	no	top harmonization override	The stable 06;07 classification is already stated, but top metadata and 9.3 still present the note as to_read.
ASD-0276	Notes/06_Life_Sciences/Qu_2025_PROTEUS_Multiomics.md	06;07	multi_module	06	none	no	top harmonization override	The note body already lands 06;07, but the top status block still says to_read / confirmed core.
ASD-0599	Notes/06_Life_Sciences/Zhang_2026_AINative_Biofoundry_Enzyme_Engineering.md	06	single_module	06	none	yes	top harmonization override	The frozen 06 / source_limited=yes reading is stable, but the note still reads like an unresolved pending record.
ASD-0617	Notes/06_Life_Sciences/Shen_2025_Industrial_Automated_Protein_Evolution.md	06	single_module	06	none	yes	top harmonization override	The stable 06 / source_limited=yes closure is already written, but top metadata still keeps the note in pending mode.
ASD-0731	Notes/06_Life_Sciences/Jones_2026_Self_Driving_Datasets.md	03;06;07	multi_module	06	none	no	top harmonization override	The 03;06;07 anchor is already defended in the body, but top metadata and 9.3 still say to_read.
ASD-0741	Notes/06_Life_Sciences/Lin_2025_Spatial_Transcriptomics_Pancreas_Maturation.md	06	single_module	06	none	yes	top harmonization override	The stable 06 / source_limited=yes note body exists, but top metadata and 9.3 still present a pending state.
ASD-0742	Notes/06_Life_Sciences/Wehling_2025_Talk2Biomodels.md	06;07	multi_module	06	none	no	top harmonization override	The note already lands 06;07, but top metadata and 9.3 still read to_read.
ASD-0743	Notes/06_Life_Sciences/Chen_2026_STAT_Spatial_Transcriptomics.md	06;07	multi_module	06	none	no	top harmonization override	The current authoritative state is PDF-backed 06;07, but older source_limited=yes and no-PDF wording still survives below the frozen block.
ASD-0744	Notes/06_Life_Sciences/Zhang_2026_BioGAIP_Bioinformatics.md	06;07	multi_module	06	none	no	top harmonization override	The current authoritative state is 06;07 with source_limited=no, but an older 06-only / source_limited=yes closure still dominates the note.
ASD-0745	Notes/06_Life_Sciences/Jin_2025_BioLab_Life_Sciences.md	06;07	multi_module	06	none	no	top harmonization override	The current authoritative state is PDF-backed 06;07, but the older abstract-only source_limited=yes closure still remains in the note.
ASD-0770	Notes/06_Life_Sciences/Kim_2026_PBio_Agent_Perturbation_Biology.md	06;07	multi_module	06	none	no	top harmonization override	The top block lands 06;07, but older 06-only / source_limited wording still survives below it.
ASD-0113	Notes/07_Medical_and_Health_Sciences/Gao_2025_PharmAgents.md	07;03	multi_module	07	none	no	top harmonization override	The note already carries the 07;03 adjudication, but top metadata still says to_read pending sync.
ASD-0254	Notes/01_Formal_Information_and_Computational_Sciences/Luo_2025_BioResearcher.md	06;07	multi_module	07	none	no	top harmonization override	The body already retires 01.04 and lands 06;07, but top metadata still reads as a pending confirmed-core record.
ASD-0531	Notes/07_Medical_and_Health_Sciences/Jiang_2026_GALILEO_Therapeutic_Discovery.md	06;07	multi_module	07	none	no	top harmonization override	The current authoritative state is local-PDF-backed 06;07, but older source_limited / no-local-PDF wording and to_read metadata remain.
ASD-0543	Notes/06_Life_Sciences/Patel_2025_ML_Copilot_Prognostic_Gene_Discovery.md	06;07	multi_module	07	none	no	top harmonization override	The frozen top block is no longer source-limited, but older safety-supported / source_limited=yes wording still dominates lower sections.
ASD-0545	Notes/07_Medical_and_Health_Sciences/Park_2025_IMMUNIA_Surfaceome_Discovery.md	06;07	multi_module	07	none	no	top harmonization override	The frozen top block is PDF-backed and no longer source-limited, but the note still foregrounds the older abstract-only safety-supported closure.
ASD-0548	Notes/07_Medical_and_Health_Sciences/Roberts_2026_OpenScientist_Biomedical_Discovery.md	06;07	multi_module	07	none	no	top harmonization override	The stable 06;07 wording is present, but top metadata still reads to_read.
ASD-0554	Notes/01_Formal_Information_and_Computational_Sciences/Rahim_2026_BioAgent_Reproducible_Translational_Bioinformatics.md	06;07	multi_module	07	none	no	top harmonization override	The note already retires 01.04 below, but top metadata still says to_read and older source_limited=yes wording survives.
ASD-0679	Notes/07_Medical_and_Health_Sciences/Wang_2026_Rhizome_OS_1.md	03;07	multi_module	07	none	no	top harmonization override	The note already states stable 03;07 drug-discovery coverage, but top metadata still reads to_read.
ASD-0715	Notes/07_Medical_and_Health_Sciences/Ke_2025_BioDisco.md	06;07	multi_module	07	none	no	top harmonization override	The current 06;07 reading is already present, but top metadata and 9.3 still say to_read.
ASD-0817	Notes/07_Medical_and_Health_Sciences/Yang_2026_PROBE_Structure_Based_Drug_Design.md	03;07	multi_module	07	none	no	top harmonization override	The frozen 03;07 note is stable, but top metadata still reads to_read.
ASD-0820	Notes/03_Chemical_Sciences/Li_2026_MolReAct_Lead_Optimization.md	03;07	multi_module	07	none	no	top harmonization override	The note already explains the 03;07 anchor with filing=07, but top metadata still stays at to_read.
