module_code	module_rank	paper_id	title	note_path	year	source	citation_priority	evidence_status	pdf_exists	source_limited	object_coverage_mode	primary_module_for_filing	representative_score	recommended_section_role	coverage_risk_note	drafting_readiness	slice	assigned_agent	slice_rank
05	1	ASD-0653	Earth-Agent: Unlocking the Full Landscape of Earth Observation with Agents	Notes/05_Earth_and_Environmental_Sciences/Feng_2025_Earth_Agent.md	2025	arXiv / ICLR 2026 conference paper	core	first_hand_full_text	yes	no	single_module	05	72	anchor	stale_to_read	ready_with_note_drift	C	Evidence-Agent-C	1
05	2	ASD-0662	Mimosa Framework: Toward Evolving Multi-Agent Systems for Scientific Research	Notes/01_Formal_Information_and_Computational_Sciences/Unknown_2026_Mimosa_Framework.md	2026	arXiv	core	first_hand_full_text	yes	no	multi_module	01	66	anchor	cross_module;stale_to_read	ready_with_note_drift	C	Evidence-Agent-C	2
05	3	ASD-0691	OASIS: Onboard Autonomous Science Investigation System for Opportunistic Rover Science	Notes/10_Aerospace_Marine_and_Transportation_Sciences/Castano_2007_OASIS_Rover_Science.md	2007	Journal of Field Robotics	core	first_hand_full_text	yes	no	multi_module	10	66	boundary	cross_module;stale_to_read	ready_with_note_drift	C	Evidence-Agent-C	3
05	4	ASD-0693	Enabling Onboard Detection of Events of Scientific Interest for the Europa Clipper Spacecraft	Notes/10_Aerospace_Marine_and_Transportation_Sciences/Wagstaff_2019_Europa_Clipper_Onboard_Detection.md	2019	KDD '19	core	first_hand_full_text	yes	no	multi_module	10	66	boundary	cross_module;stale_to_read	ready_with_note_drift	C	Evidence-Agent-C	4
05	5	ASD-0696	AEGIS Automated Science Targeting for the MER Opportunity Rover	Notes/10_Aerospace_Marine_and_Transportation_Sciences/Estlin_2012_AEGIS_Opportunity_Rover.md	2012	ACM Transactions on Intelligent Systems and Technology	core	first_hand_full_text	yes	no	multi_module	10	66	boundary	cross_module;stale_to_read	ready_with_note_drift	C	Evidence-Agent-C	5
06	1	ASD-0014	Spatialagent: An autonomous ai agent for spatial biology	Notes/06_Life_Sciences/Wang_2025_SpatialAgent.md	2025	bioRxiv	core	first_hand_full_text	yes	no	single_module	06	72	anchor	low	ready_low_risk	C	Evidence-Agent-C	6
06	2	ASD-0020	Biodiscoveryagent: An ai agent for designing genetic perturbation experiments	Notes/06_Life_Sciences/Roohani_2024_BioDiscoveryAgent.md	2024	arXiv	core	first_hand_full_text	yes	no	single_module	06	72	anchor	low	ready_low_risk	C	Evidence-Agent-C	7
06	3	ASD-0033	Omnicellagent: Towards ai co-scientists for scientific discovery in precision medicine	Notes/06_Life_Sciences/Huang_2025_OmniCellAgent.md	2025	Unknown	core	first_hand_html_full_text	yes	no	single_module	06	72	exemplar	low	ready_low_risk	C	Evidence-Agent-C	8
06	4	ASD-0051	Geneagent: Self-verification language agent for gene set knowledge discovery using domain databases	Notes/06_Life_Sciences/Wang_2024_GeneAgent.md	2024	arXiv	core	first_hand_full_text	yes	no	single_module	06	72	exemplar	low	ready_low_risk	C	Evidence-Agent-C	9
06	5	ASD-0055	Biomaster: Multi-agent system for automated bioinformatics analysis workflow	Notes/06_Life_Sciences/Su_2025_BioMaster.md	2025	bioRxiv	core	first_hand_full_text	yes	no	single_module	06	72	exemplar	low	ready_low_risk	C	Evidence-Agent-C	10
