module_code	module_rank	paper_id	title	note_path	year	source	citation_priority	evidence_status	pdf_exists	source_limited	object_coverage_mode	primary_module_for_filing	representative_score	recommended_section_role	coverage_risk_note	drafting_readiness	slice	assigned_agent	slice_rank
03	1	ASD-0010	El Agente: An Autonomous Agent for Quantum Chemistry	Notes/03_Chemical_Sciences/Zou_2025_El_Agente_Q.md	2025	arXiv	core	first_hand_full_text	yes	no	single_module	03	72	anchor	low	ready_low_risk	B	Evidence-Agent-B	1
03	2	ASD-0012	Large language models for chemistry robotics	Notes/03_Chemical_Sciences/Yoshikawa_2023_Chemistry_Robotics_LLMs.md	2023	Unknown	core	first_hand_html_full_text	yes	no	single_module	03	72	anchor	low	ready_low_risk	B	Evidence-Agent-B	2
03	3	ASD-0022	Chemgraph: An agentic framework for computational chemistry workflows	Notes/03_Chemical_Sciences/Pham_2025_ChemGraph.md	2025	arXiv	core	first_hand_full_text	yes	no	single_module	03	72	exemplar	low	ready_low_risk	B	Evidence-Agent-B	3
03	4	ASD-0036	Organa: A robotic assistant for automated chemistry experimentation and characterization	Notes/03_Chemical_Sciences/Darvish_2024_Organa.md	2024	arXiv	core	first_hand_full_text	yes	no	single_module	03	72	exemplar	low	ready_low_risk	B	Evidence-Agent-B	4
03	5	ASD-0037	Autonomous mobile robots for exploratory synthetic chemistry	Notes/03_Chemical_Sciences/Dai_2024_Autonomous_Mobile_Robots.md	2024	Nature	core	first_hand_html_full_text	yes	no	single_module	03	72	exemplar	low	ready_low_risk	B	Evidence-Agent-B	5
04	1	ASD-0001	Toward Greater Autonomy in Materials Discovery Agents: Unifying Planning, Physics, and Scientists	Notes/04_Materials_Science/Zhou_2025_MAPPS.md	2025	arXiv	core	first_hand_full_text	yes	no	single_module	04	72	anchor	low	ready_low_risk	B	Evidence-Agent-B	6
04	2	ASD-0009	Agent-based learning of materials datasets from the scientific literature	Notes/04_Materials_Science/Ansari_2024_Eunomia_Materials_Datasets.md	2024	Digital Discovery	core	first_hand_full_text	yes	no	single_module	04	72	anchor	low	ready_low_risk	B	Evidence-Agent-B	7
04	3	ASD-0016	An autonomous laboratory for the accelerated synthesis of novel materials	Notes/04_Materials_Science/Szymanski_2023_A_Lab.md	2023	Nature	core	first_hand_full_text	yes	no	single_module	04	72	exemplar	low	ready_low_risk	B	Evidence-Agent-B	8
04	4	ASD-0031	Llmatdesign: Autonomous materials discovery with large language models	Notes/04_Materials_Science/Jia_2024_LLMatDesign.md	2024	arXiv	core	first_hand_full_text	yes	no	single_module	04	72	exemplar	low	ready_low_risk	B	Evidence-Agent-B	9
04	5	ASD-0046	Topomas: Large language model driven topological materials multiagent system	Notes/04_Materials_Science/Zhang_2025_TopoMAS.md	2025	arXiv	core	first_hand_full_text	yes	no	single_module	04	72	exemplar	low	ready_low_risk	B	Evidence-Agent-B	10
