paper_id,title,active_confirmed_core,inclusion_status,scientific_object_modules,general_method_bucket,object_coverage_mode,primary_module_for_filing,primary_module_label,legacy_main_class,legacy_secondary_class,proposed_primary_taxonomy_code_2lvl,secondary_term_in_index,secondary_term_label,secondary_term_status,secondary_term_review_status,proposed_assignment_status,pending_reason,proposed_discipline_local_code,discipline_local_rank,source_limited,pdf_status,evidence_status,note_path,pdf_path,review_flags
ASD-0001,"Toward Greater Autonomy in Materials Discovery Agents: Unifying Planning, Physics, and Scientists",True,to_read,04,none,single_module,04,Materials Science,04,04.04,04.04,True,Legacy secondary filing term 04.04,needs_review,unreviewed,active_code,,04-04-001,001,no,archived_pdf,first_hand_full_text,Notes/04_Materials_Science/Zhou_2025_MAPPS.md,Reference_PDF/04_Materials_Science/Zhou_2025_MAPPS.pdf,secondary_term_status_needs_review;secondary_term_review_unreviewed
ASD-0002,HealthFlow: A Self-Evolving AI Agent with Meta Planning for Autonomous Healthcare Research,True,to_read,07,none,single_module,07,Medical and Health Sciences,07,07.04,07.04,True,Legacy secondary filing term 07.04,needs_review,unreviewed,active_code,,07-04-001,001,no,archived_pdf,first_hand_full_text,Notes/07_Medical_and_Health_Sciences/Zhu_2025_HealthFlow.md,Reference_PDF/07_Medical_and_Health_Sciences/Zhu_2025_HealthFlow.pdf,secondary_term_status_needs_review;secondary_term_review_unreviewed
ASD-0003,CheMatAgent: Enhancing LLMs for Chemistry and Materials Science through Tree-Search Based Tool Learning,True,to_read,03;04,none,multi_module,03,Chemical Sciences,03,03.04,03.04,True,Legacy secondary filing term 03.04,needs_review,unreviewed,active_code,,03-04-001,001,no,archived_pdf,first_hand_full_text,Notes/03_Chemical_Sciences/Wu_2025_ChemAgent.md,Reference_PDF/03_Chemical_Sciences/Wu_2025_ChemAgent.pdf,multi_module;secondary_term_status_needs_review;secondary_term_review_unreviewed
ASD-0004,InternAgent: When Agent Becomes the Scientist -- Building Closed-Loop System from Hypothesis to Verification,True,to_read,01;03;06;09;10,none,multi_module,01,"Formal, Information and Computational Sciences",01,01.04,01.04,True,Legacy secondary filing term 01.04,needs_review,unreviewed,active_code,,01-04-001,001,no,archived_pdf,first_hand_full_text,Notes/01_Formal_Information_and_Computational_Sciences/InternAgentTeam_2025_InternAgent.md,Reference_PDF/01_Formal_Information_and_Computational_Sciences/InternAgentTeam_2025_InternAgent.pdf,multi_module;secondary_term_status_needs_review;secondary_term_review_unreviewed
ASD-0005,A Multiagent-Driven Robotic AI Chemist Enabling Autonomous Chemical Research On Demand,True,to_read,03;04,none,multi_module,03,Chemical Sciences,03,03.04,03.04,True,Legacy secondary filing term 03.04,needs_review,unreviewed,active_code,,03-04-002,002,yes,publisher_pdf_gated,first_hand_abstract_plus_official_supporting_info,Notes/03_Chemical_Sciences/Song_2025_Robotic_AI_Chemist.md,,multi_module;source_limited;secondary_term_status_needs_review;secondary_term_review_unreviewed
ASD-0006,DORA AI Scientist: Multi-agent Virtual Research Team for Scientific Exploration Discovery and Automated Report Generation,True,to_read,,01.04_general_asd_methods_without_concrete_object_experiments,general_method_without_concrete_object_experiments,,,01,01.04,,True,Legacy secondary filing term 01.04,needs_review,unreviewed,non_discipline_general_method,,,,no,archived_pdf,first_hand_full_text,Notes/01_Formal_Information_and_Computational_Sciences/Naumov_2025_DORA_AI_Scientist.md,Reference_PDF/01_Formal_Information_and_Computational_Sciences/Naumov_2025_DORA_AI_Scientist.pdf,secondary_term_status_needs_review;secondary_term_review_unreviewed
ASD-0007,Hypothesis Generation for Materials Discovery and Design Using Goal-Driven and Constraint-Guided LLM Agents,True,to_read,04,none,single_module,04,Materials Science,04,04.04,04.04,True,Legacy secondary filing term 04.04,needs_review,unreviewed,active_code,,04-04-002,002,no,archived_pdf,first_hand_full_text,Notes/04_Materials_Science/Kumbhar_2025_Hypothesis_Generation_Materials.md,Reference_PDF/04_Materials_Science/Kumbhar_2025_Hypothesis_Generation_Materials.pdf,secondary_term_status_needs_review;secondary_term_review_unreviewed
ASD-0008,Accelerating Drug Discovery Through Agentic AI: A Multi-Agent Approach to Laboratory Automation in the DMTA Cycle,True,to_read,07;03,none,multi_module,07,Medical and Health Sciences,07,07.04,07.04,True,Legacy secondary filing term 07.04,needs_review,unreviewed,active_code,,07-04-002,002,no,archived_pdf,first_hand_full_text,Notes/07_Medical_and_Health_Sciences/Fehlis_2025_Tippy_DMTA.md,Reference_PDF/07_Medical_and_Health_Sciences/Fehlis_2025_Tippy_DMTA.pdf,multi_module;secondary_term_status_needs_review;secondary_term_review_unreviewed
ASD-0009,Agent-based learning of materials datasets from the scientific literature,True,to_read,04,none,single_module,04,Materials Science,04,04.04,04.04,True,Legacy secondary filing term 04.04,needs_review,unreviewed,active_code,,04-04-003,003,no,archived_pdf,first_hand_full_text,Notes/04_Materials_Science/Ansari_2024_Eunomia_Materials_Datasets.md,Reference_PDF/04_Materials_Science/Ansari_2024_Eunomia_Materials_Datasets.pdf,secondary_term_status_needs_review;secondary_term_review_unreviewed
ASD-0010,El Agente: An Autonomous Agent for Quantum Chemistry,True,to_read,03,none,single_module,03,Chemical Sciences,03,03.04,03.04,True,Legacy secondary filing term 03.04,needs_review,unreviewed,active_code,,03-04-003,003,no,archived_pdf,first_hand_full_text,Notes/03_Chemical_Sciences/Zou_2025_El_Agente_Q.md,Reference_PDF/03_Chemical_Sciences/Zou_2025_El_Agente_Q.pdf,secondary_term_status_needs_review;secondary_term_review_unreviewed
ASD-0012,Large language models for chemistry robotics,True,to_read,03,none,single_module,03,Chemical Sciences,03,03.04,03.04,True,Legacy secondary filing term 03.04,needs_review,unreviewed,active_code,,03-04-004,004,no,archived_pdf,first_hand_html_full_text,Notes/03_Chemical_Sciences/Yoshikawa_2023_Chemistry_Robotics_LLMs.md,Reference_PDF/03_Chemical_Sciences/Yoshikawa_2023_Chemistry_Robotics_LLMs.pdf,secondary_term_status_needs_review;secondary_term_review_unreviewed
ASD-0013,The ai scientist-v2: Workshop-level automated scientific discovery via agentic tree search,True,to_read,01,none,single_module,01,"Formal, Information and Computational Sciences",01,01.04,01.04,True,Legacy secondary filing term 01.04,needs_review,unreviewed,active_code,,01-04-002,002,no,archived_pdf,first_hand_full_text,Notes/01_Formal_Information_and_Computational_Sciences/Yamada_2025_AI_Scientist_V2.md,Reference_PDF/01_Formal_Information_and_Computational_Sciences/Yamada_2025_AI_Scientist_V2.pdf,secondary_term_status_needs_review;secondary_term_review_unreviewed
ASD-0014,Spatialagent: An autonomous ai agent for spatial biology,True,to_read,06,none,single_module,06,Life Sciences,06,06.03,06.03,True,Legacy secondary filing term 06.03,needs_review,unreviewed,active_code,,06-03-001,001,no,archived_pdf,first_hand_full_text,Notes/06_Life_Sciences/Wang_2025_SpatialAgent.md,Reference_PDF/06_Life_Sciences/Wang_2025_SpatialAgent.pdf,secondary_term_status_needs_review;secondary_term_review_unreviewed
ASD-0016,An autonomous laboratory for the accelerated synthesis of novel materials,True,to_read,04,none,single_module,04,Materials Science,04,04.04,04.04,True,Legacy secondary filing term 04.04,needs_review,unreviewed,active_code,,04-04-004,004,no,archived_pdf,first_hand_full_text,Notes/04_Materials_Science/Szymanski_2023_A_Lab.md,Reference_PDF/04_Materials_Science/Szymanski_2023_A_Lab.pdf,secondary_term_status_needs_review;secondary_term_review_unreviewed
ASD-0017,Can ai agents design and implement drug discovery pipelines?,True,to_read,07,none,single_module,07,Medical and Health Sciences,07,07.04,07.04,True,Legacy secondary filing term 07.04,needs_review,unreviewed,active_code,,07-04-003,003,no,archived_pdf,first_hand_full_text,Notes/07_Medical_and_Health_Sciences/Smbatyan_2025_DO_Challenge.md,Reference_PDF/07_Medical_and_Health_Sciences/Smbatyan_2025_DO_Challenge.pdf,secondary_term_status_needs_review;secondary_term_review_unreviewed
ASD-0018,Agent laboratory: Using llm agents as research assistants,True,to_read,01,none,single_module,01,"Formal, Information and Computational Sciences",01,01.04,01.04,True,Legacy secondary filing term 01.04,needs_review,unreviewed,active_code,,01-04-003,003,no,archived_pdf,first_hand_full_text,Notes/01_Formal_Information_and_Computational_Sciences/Schmidgall_2025_Agent_Laboratory.md,Reference_PDF/01_Formal_Information_and_Computational_Sciences/Schmidgall_2025_Agent_Laboratory.pdf,secondary_term_status_needs_review;secondary_term_review_unreviewed
ASD-0019,Agentrxiv: Towards collaborative autonomous research,True,to_read,01,none,single_module,01,"Formal, Information and Computational Sciences",01,01.04,01.04,True,Legacy secondary filing term 01.04,needs_review,unreviewed,active_code,,01-04-004,004,no,archived_pdf,first_hand_full_text,Notes/01_Formal_Information_and_Computational_Sciences/Schmidgall_2025_AgentRxiv.md,Reference_PDF/01_Formal_Information_and_Computational_Sciences/Schmidgall_2025_AgentRxiv.pdf,secondary_term_status_needs_review;secondary_term_review_unreviewed
ASD-0020,Biodiscoveryagent: An ai agent for designing genetic perturbation experiments,True,to_read,06,none,single_module,06,Life Sciences,06,06.03,06.03,True,Legacy secondary filing term 06.03,needs_review,unreviewed,active_code,,06-03-002,002,no,archived_pdf,first_hand_full_text,Notes/06_Life_Sciences/Roohani_2024_BioDiscoveryAgent.md,Reference_PDF/06_Life_Sciences/Roohani_2024_BioDiscoveryAgent.pdf,secondary_term_status_needs_review;secondary_term_review_unreviewed
ASD-0022,Chemgraph: An agentic framework for computational chemistry workflows,True,to_read,03,none,single_module,03,Chemical Sciences,03,03.04,03.04,True,Legacy secondary filing term 03.04,needs_review,unreviewed,active_code,,03-04-005,005,no,archived_pdf,first_hand_full_text,Notes/03_Chemical_Sciences/Pham_2025_ChemGraph.md,Reference_PDF/03_Chemical_Sciences/Pham_2025_ChemGraph.pdf,secondary_term_status_needs_review;secondary_term_review_unreviewed
ASD-0024,Large language model agent for modular task execution in drug discovery,True,to_read,07;03,none,multi_module,07,Medical and Health Sciences,07,07.04,07.04,True,Legacy secondary filing term 07.04,needs_review,unreviewed,active_code,,07-04-004,004,no,archived_pdf,first_hand_full_text,Notes/07_Medical_and_Health_Sciences/Ock_2025_AgentD.md,Reference_PDF/07_Medical_and_Health_Sciences/Ock_2025_AgentD.pdf,multi_module;secondary_term_status_needs_review;secondary_term_review_unreviewed
ASD-0025,Cactus: Chemistry agent connecting tool usage to science,True,to_read,03,none,single_module,03,Chemical Sciences,03,03.04,03.04,True,Legacy secondary filing term 03.04,needs_review,unreviewed,active_code,,03-04-006,006,no,archived_pdf,first_hand_full_text,Notes/03_Chemical_Sciences/McNaughton_2024_CACTUS.md,Reference_PDF/03_Chemical_Sciences/McNaughton_2024_CACTUS.pdf,secondary_term_status_needs_review;secondary_term_review_unreviewed
ASD-0028,Drugagent: Automating ai-aided drug discovery programming through llm multi-agent collaboration,True,to_read,07,none,single_module,07,Medical and Health Sciences,07,07.04,07.04,True,Legacy secondary filing term 07.04,needs_review,unreviewed,active_code,,07-04-005,005,no,archived_pdf,first_hand_full_text,Notes/07_Medical_and_Health_Sciences/Liu_2024_DrugAgent.md,Reference_PDF/07_Medical_and_Health_Sciences/Liu_2024_DrugAgent.pdf,secondary_term_status_needs_review;secondary_term_review_unreviewed
