paper_id	final_agent_inclusion	supported_modules	final_01_04_bucket	primary_module_for_filing	boundary_type	confidence	source_limited	safety_access_status	note_revision_required	master_update_required	final_reason
ASD-0005	yes	03;04	none	03	03/04_stable_multi_module_access_limited	medium_high	yes	access_limited_gated_or_blocked	no	no	Accessible first-hand evidence supports both chemistry and functional-materials objects, so keep 03;04 with 03 for filing and retain source-limited.
ASD-0158	yes	03	none	03	03_vs_09_platform_boundary_chemistry_anchor	high	yes	access_limited_gated_or_blocked	no	no	The concrete validated object is organic continuous-flow synthesis of drug-like compounds, so this stays a chemistry paper rather than a generic platform record.
ASD-0097	yes	06	none	06	06_stable_old_07_pressure_not_landed	medium_high	yes	main_text_blocked_supplementary_readable	yes	yes	First-hand preview/supplementary/repo evidence securely anchors autonomous single-cell computational-biology analyses, but not a medical-module landing.
ASD-0112	yes	03	none	03	03_vs_07_drug_molecule_boundary	medium	yes	access_limited_gated_or_blocked	yes	yes	The readable abstract-level evidence is about drug-molecule chemical-space exploration and molecular optimization, which is enough for 03 but not 07.
ASD-0603	yes	03	none	03	03_vs_01.04_09_platform_language_boundary	medium_high	yes	access_limited_gated_or_blocked	no	no	The validated experimental objects are concrete reaction families and reaction-condition optimization tasks, so 03 is the right landing.
ASD-0547	yes	04	none	04	04_vs_09_weak_metadata_materials_boundary	medium_low	yes	metadata_or_snippet_only	yes	yes	Usable first-hand evidence is thin, but the title/landing metadata still support a concrete metasurface/nanostructure materials object, so conservative 04 is warranted.
ASD-0569	yes	04	none	04	04_vs_03_nanocrystal_materials_boundary	high	yes	anti_bot_or_cloudflare_blocked	yes	yes	Closed-loop campaigns over perovskite nanocrystal doping are a stable materials-object landing, but the paper remains source-limited.
ASD-0572	yes	04;06	none	04	04/06_multi_module_boundary	high	yes	access_limited_gated_or_blocked	yes	yes	The evidence supports both polymer-blend materials discovery and biomolecular/protein-stabilization validation, so multi-module 04;06 is justified.
ASD-0727	yes	05	none	05	05_vs_01.04_framework_boundary	high	yes	anti_bot_or_cloudflare_blocked	yes	yes	The benchmarked scientific object is geospatial/vector/raster reasoning over Earth-observation-style data, which is concrete enough to keep this out of 01.04.
ASD-0859	yes	05	none	05	05_vs_10_earth_observation_vs_spacecraft_ops	high	yes	official_report_and_abstract_readable_no_article_pdf	yes	yes	The autonomy runs onboard a spacecraft, but the directly studied science object is active volcanism and responsive Earth observation, so 05 is primary.
ASD-0860	yes	05	none	05	05_vs_10_earth_observation_vs_spacecraft_ops	high	yes	abstract_page_readable_no_article_pdf	no	no	The official abstract directly anchors cryospheric change detection and validation, so this is a clean 05 despite absent local full text.
ASD-0861	yes	05	none	05	05_vs_10_earth_observation_vs_spacecraft_ops	high	yes	abstract_page_readable_no_article_pdf	no	no	The official abstract directly anchors flood detection/mapping/monitoring as the scientific object, so 05 is stable.
ASD-0617	yes	06	none	06	stable_single_module_06	high	yes	abstract_and_supplementary_listings_readable	no	no	The concrete object is programmable protein evolution and evolved functional proteins, which is a straightforward 06 landing.
ASD-0724	yes	06	none	06	06_vs_05_biodiversity_vs_ocean_observation	medium	yes	snippet_level_article_page_only	no	no	The first-hand snippet supports autonomous seeking/mapping of coral reef biodiversity hotspots, so 06 is better grounded than a generic observation/robotics filing.
ASD-0536	yes	07	none	07	07_vs_01.04_domain_agent_boundary	high	no	official_page_with_visible_pdf_html_routes	yes	yes	The official publisher evidence anchors TCM network pharmacology and herbal medicine discovery benchmarks, so 07 is stable and 01.04 is not appropriate.
ASD-0544	yes	07	none	07	07_vs_01.04_biomedical_literature_boundary	medium	no	official_page_plus_pdf_route_visible	yes	yes	The agent is specifically evaluated for cancer biomarker discovery from biomedical literature, which is enough to keep a domain 07 landing.
ASD-0858	yes	10	none	10	10_vs_01.04_mission_science_ops_boundary	high	no	official_result_snippet_plus_pdf_route	yes	yes	The concrete object is Mars rover mission-science target selection and operational rollout, so 10 is the right filing module.
ASD-0855	yes	11	none	11	11_vs_01.04_peer_review_boundary	high	no	complimentary_access_abstract_readable	yes	yes	The studied scientific object is peer review/scientific evaluation itself, so this lands cleanly in 11 rather than 01.04.
ASD-0508	yes	03	none	03	03_vs_04_molecule_vs_material_boundary	high	no	open_preprint_route_available	no	no	The direct objects are dye-like molecules and measured molecular properties across closed-loop iterations, so 03 is stable.
