paper_id	title	note_path	current_master_doi_or_url	current_master_remarks_lead
ASD-0743	STAT: A multi-agent framework for integrated and interactive spatial transcriptomics analysis	Notes/06_Life_Sciences/Chen_2026_STAT_Spatial_Transcriptomics.md	https://doi.org/10.64898/2026.05.01.722244	Source trail: Shanghai AI Lab life-science / spatial-omics sibling expansion 2026-06-19; STAT explicitly organizes multiple agents around spatial transcriptomics analysis, interactive interpretation, and integrated biological reasoning on a concrete life-science object. Formal note added 2026-06-20; authors normalized and reviewer evidence supports keeping 06.03 rather than 01.04 because the workflow is anchored in spatial omics tasks. RelaxedRound2P1Q2026-06-21: scientific_object_modules=06;07; object_coverage_mode=multi_module; primary_module_for_filing=06; general_method_bucket=none; first_hand_sources_checked=Crossref DOI abstract `10.64898/2026.05.01.722244` + official `STAT-agent` README + official `STAT-PaperRepro` benchmark `queries.json` / `DATA.md` + official `colorectal_cancer/README.md`; evidence=spatial transcriptomics workflows across human DLPFC, mouse brain cortex, and breast-cancer datasets support `06`, while the abstract's mixed-resolution breast-cancer cohort and reproduced colorectal-cancer study plus benchmark tasks on tumor-immune communication, tumor-vs-stroma differential analysis, and tumor-microenvironment pathway analysis support independent `07` under the relaxed object-coverage rule. Batch25Partial1Reaudit2026-06-23: stale safety skip retired because safe first-hand abstract evidence is now accessible; scientific_object_modules=06;07 remain directionally supported, but the row stays conservative due source limitation. Batch30Partial2Reaudit2026-06-24: closed; official DOI/preprint landing remained Cloudflare-blocked, but DOI metadata abstract plus official STAT-agent and reproduction materials support scientific_object_modules=06;07; object_coverage_mode=multi_module; primary_module_for_filing=06; general_method_bucket=none; source_limited=yes.
ASD-0744	BioGAIP: A Scalable, User-Friendly and Robust LLM-Powered Multi-Agent System for Automated Bioinformatics Tasks	Notes/06_Life_Sciences/Zhang_2026_BioGAIP_Bioinformatics.md	https://doi.org/10.64898/2026.05.16.720484	Source trail: Shanghai AI Lab life-science / bioinformatics sibling expansion 2026-06-19; NoteLanded2026-06-20: formal ASD note added from DOI-deposited abstract evidence. MetadataCorrection2026-06-20: source corrected from `Research Square` to `bioRxiv` and authors filled from Crossref metadata. RelaxedRound2P1R2026-06-21: scientific_object_modules=06; object_coverage_mode=single_module; primary_module_for_filing=06; general_method_bucket=none; first_hand_sources_checked=Crossref DOI abstract `10.64898/2026.05.16.720484` + official bioRxiv API `details/biorxiv/10.64898/2026.05.16.720484/na/json` + official repos `zhangjy859/RAG_tools` and `zhangjy859/BioGAIP_peer_review`; evidence=accessible first-hand sources consistently support automated bioinformatics, biological data, and multi-omics workflow objects, but do not expose independent disease / patient / diagnosis / treatment / prognosis case evidence strong enough for `07`. The main residual issue remains core-strength risk rather than top-level module uncertainty. Batch25Partial1Reaudit2026-06-23: closed; stale safety skip retired because safe first-hand abstract/API evidence is now accessible; scientific_object_modules=06, source_limited=yes.
ASD-0745	BioLab: End-to-End Autonomous Life Sciences Research with Multi-Agents System Integrating Biological Foundation Models	Notes/06_Life_Sciences/Jin_2025_BioLab_Life_Sciences.md	https://doi.org/10.1101/2025.09.03.674085	Source trail: Shanghai AI Lab life-science / biological-foundation-model sibling expansion 2026-06-19; BioLab explicitly integrates multiple agents and biological foundation models for end-to-end autonomous life-sciences research tasks, making it a direct class-06 core Agent paper. Formal note added 2026-06-20; authors normalized and reviewer evidence supports keeping primary 06.03 filing. RelaxedMultiModule2026-06-20: scientific_object_modules=06;07; object_coverage_mode=multi_module; primary_module_for_filing=06; general_method_bucket=none; first_hand_sources_checked=bioRxiv DOI landing / abstract-level first-hand page; evidence=DNA/RNA/protein/cell life-science tasks support 06, while macrophage-targeting antibody design, PD-1 / pembrolizumab optimization, IC50 assays, and therapeutic validation support 07. Batch30Partial3Reaudit2026-06-24: Crossref DOI metadata / abstract supports landed `scientific_object_modules=06;07` with `source_limited=yes`; keep 06 primary and 07 secondary, and do not backslide to `01.04` merely because full-text access remains blocked in this environment.
ASD-0770	Progressive Multi-Agent Reasoning for Biological Perturbation Prediction	Notes/06_Life_Sciences/Kim_2026_PBio_Agent_Perturbation_Biology.md	https://arxiv.org/abs/2602.07408	Source trail: life-science perturbation sibling expansion 2026-06-19; PBio-Agent uses specialized agents, iterative knowledge refinement, and synthesis/judging over perturbation-biology tasks, making it a good class-06 boundary-strengthening addition. NoteLanded2026-06-20: keep `06.03`; drug-discovery motivation does not outweigh the perturbation-biology object.
ASD-0531	GALILEO: Embodied AI scientist for autonomous therapeutic discovery in dynamic membrane systems	Notes/07_Medical_and_Health_Sciences/Jiang_2026_GALILEO_Therapeutic_Discovery.md	https://doi.org/10.64898/2026.06.10.731360	Source trail: Crossref follow-up from robot-scientist / therapeutic-discovery expansion 2026-06-17; title shows autonomous therapeutic-discovery object and embodied scientist framing. NoteLanded2026-06-19: official abstract shows OTAS loop, robotic peptide synthesis, and wet-lab feedback, supporting stable `07.04`. RelaxedMultiModule2026-06-20: record `scientific_object_modules=06;07`; `07` for therapeutic peptide discovery and `06` for membrane / immune-cell biology assays. Batch16Partial9Reaudit2026-06-23: local PDF search, Crossref DOI abstract metadata, DOI resolver header, official https bioRxiv landing, and HighWire https DOI endpoint were rechecked; no safe full text/PDF was recovered, but the safe Crossref abstract remains sufficient to close the record as `scientific_object_modules=06;07` with `primary_module_for_filing=07`; keep `source_limited=yes` and make the blocked unsafe/403 access trail explicit rather than marking the paper as full safety-skip.
ASD-0543	Machine Learning Copilot Agent: An LLM-Guided Workflow for Prognostic Gene Discovery	Notes/06_Life_Sciences/Patel_2025_ML_Copilot_Prognostic_Gene_Discovery.md	https://doi.org/10.2139/ssrn.5343855	Source trail: Crossref thematic expansion 2026-06-17; explicit LLM-guided workflow for gene discovery with a concrete life-science object. NoteLanded2026-06-19: formal note added, but this remains a mandatory `06 / 07` full-text review sample because current evidence is metadata-heavy and too weak to justify a class rewrite. RelaxedRound2P1P2026-06-21: scientific_object_modules=06;07; object_coverage_mode=multi_module; primary_module_for_filing=07; general_method_bucket=none; first_hand_sources_checked=Crossref DOI metadata and deposited reference list `10.2139/ssrn.5343855` + official author Hugging Face datasets `Project-Lambda-TCGA-HNSCC` and `Case-Study-HNSCC-ML-Copilot-Agent` + official PyPI package / repo / docs; evidence=prognostic gene discovery and survival-associated-gene outputs support `06`, while HNSCC patient-level overall survival, disease-specific survival, progression-free survival, clinical staging / ICD metadata, and treatment-subtype candidate outputs provide independent medical-object evidence for `07`. SSRN abstract/full text remained access-blocked, but the official author datasets are sufficient to close the relaxed multi-module boundary. Batch16Partial3Reaudit2026-06-23: paper landing remained safety-blocked, but official author datasets / docs were rechecked and are sufficient to land `scientific_object_modules=06;07` with `primary_module_for_filing=07`; keep `source_limited=yes` and explicit safety-supported wording visible rather than pretending full text was accessed.
ASD-0545	IMMUNIA: A Multi-LLM Reasoning Agent for Immunoregulatory Surfaceome Discovery	Notes/07_Medical_and_Health_Sciences/Park_2025_IMMUNIA_Surfaceome_Discovery.md	https://doi.org/10.1101/2025.11.02.686138	Source trail: Crossref thematic expansion 2026-06-17; explicit reasoning-agent framing for surfaceome discovery. NoteLanded2026-06-19: reclassified from `06.02` to `07.01` because the official abstract shows a stable precision-immunotherapy biomarker-discovery object rather than a general life-science mechanism paper. RelaxedMultiModule2026-06-20: record `scientific_object_modules=06;07`; `07` for immunotherapy biomarker discovery and `06` for surfaceome genes / tumor-immune crosstalk evidence. Batch16Partial7Reaudit2026-06-23: safety-supported landing keeps `scientific_object_modules=06;07` with `primary_module_for_filing=07`; safe Sciety abstract directly supports named immune/surfaceome gene candidates and precision-immunotherapy biomarker discovery, while DOI follow-up rechecked this round redirected to non-safe `http` bioRxiv and was not followed further.
ASD-0554	BioAgent: An Auditable Multi-Agent Framework for Reproducible Translational Bioinformatics	Notes/01_Formal_Information_and_Computational_Sciences/Rahim_2026_BioAgent_Reproducible_Translational_Bioinformatics.md	https://doi.org/10.21203/rs.3.rs-9535691/v1	Source trail: Crossref thematic expansion 2026-06-17. Round2Merge2026-06-19: removed this record from the life-science object filing path and placed it in the independent `01.04` bucket because the core contribution is auditable reproducible workflow infrastructure rather than a concrete biological research object. RelaxedMultiModule2026-06-20: corrected under object-coverage rule to `scientific_object_modules=06;07`, `primary_module_for_filing=07`, `general_method_bucket=none`; evidence includes BRAF V600E melanoma, TP53 pan-cancer, and PBMC 3k single-cell immune profiling benchmark studies. Batch23Partial1Reaudit2026-06-23: source-limited page-level benchmark evidence rechecked; note synced and landed `scientific_object_modules=07;06`, `object_coverage_mode=multi_module`, `primary_module_for_filing=07`, `general_method_bucket=none`; retire the stale independent `01.04`-only treatment.
ASD-0556	DrugPilot: LLM-based Parameterized Reasoning Agent for Drug Discovery	Notes/07_Medical_and_Health_Sciences/Hu_2025_DrugPilot.md	https://doi.org/10.21203/rs.3.rs-7489358/v1	Source trail: Crossref thematic expansion 2026-06-17; title explicitly indicates an LLM reasoning agent for drug discovery. Round2Note2026-06-19: keep `07.04`; arXiv / preprint evidence shows the task library, case studies, and tool zoo remain explicitly drug-discovery-specific despite infrastructure-heavy framing. Batch23Partial1Reaudit2026-06-23: source-limited preprint page evidence rechecked; note synced and landed `scientific_object_modules=07`, `object_coverage_mode=single_module`, `primary_module_for_filing=07`, `general_method_bucket=none`; keep the drug-discovery-specific reading and do not drift to `01.04`.
ASD-0052	Optimizing collaboration of large language model based agents for autonomous finite element analysis	Notes/09_Engineering_and_Industrial_Technology_Sciences/Tian_2025_Autonomous_Finite_Element_Analysis.md	https://doi.org/10.2139/ssrn.5107557	Source trail: Shanghai AI Lab seed survey[ref 259]; promoted 2026-06-17 because the paper explicitly studies coordinated multi-Agent scientific/engineering analysis rather than a simple single-model predictor. Round2NoteLanded2026-06-19: formal note keeps `09.01`; the stable scientific object is autonomous finite-element engineering analysis rather than a domain-general research-agent platform. CarryForward05Closeout2026-06-22: checked the official SSRN abstract page, DOI redirect / metadata status, and arXiv abstract `2408.13406`; archived the approved arXiv fallback PDF under `Reference_PDF/09_Engineering_and_Industrial_Technology_Sciences/`; accepted `scientific_object_modules=09`, `object_coverage_mode=single_module`, `primary_module_for_filing=09`, `general_method_bucket=none`; keep `source_limited=yes` because official SSRN full text remained blocked in this environment even though the fallback PDF is now locally archived.
