paper_id	title	note_path	current_master_doi_or_url	current_master_remarks_lead
ASD-0631	Autonomous Discovery of Polymer Electrolyte Formulations with Warm-Start Batch Bayesian Optimization	Notes/04_Materials_Science/Ruza_2025_Polymer_Electrolyte_WarmStart_BO.md	https://doi.org/10.1021/acs.chemmater.5c01209	Source trail: battery/electrolyte sibling expansion from ASD-0608 and ASD-0621 2026-06-17; Chemistry of Materials paper presents a closed-loop warm-start Bayesian optimization pipeline on an autonomous polymer-electrolyte platform for solid-state battery materials. NoteLanded2026-06-19: keep `04.04`; current class is stable, while the main remaining risk is full-text validation of autonomy and experiment-detail strength.
ASD-0381	Autonomous reaction Pareto-front mapping with a self-driving catalysis laboratory	Notes/03_Chemical_Sciences/Bennett_2024_FastCat_Pareto_Front.md	https://doi.org/10.1038/s44286-024-00033-5	HighImpactTrail: OpenAlex query `self-driving laboratory autonomous discovery`; High-impact/citation-expansion pass 2026-06-16. CarryForward16Closeout2026-06-22: rechecked publisher preview / DOI metadata and kept stable `scientific_object_modules=03`, `object_coverage_mode=single_module`, `primary_module_for_filing=03`, `general_method_bucket=none`; no local PDF was archived because full text remained unavailable in this environment, so this row remains explicitly source-limited but classification-stable. Phase6FollowupR6Closeout2026-07-03: publisher HTML full text and open supplementary PDF are now accessible first-hand sources; current authoritative state remains `scientific_object_modules=03`, `object_coverage_mode=single_module`, `primary_module_for_filing=03`, `general_method_bucket=none`; no local main-paper PDF archived, but the row is no longer treated as `source_limited` because publisher HTML full text plus open supplementary evidence now suffice for the landed chemistry-object reading.
ASD-0609	Automated pH Adjustment Driven by Robotic Workflows and Active Machine Learning	Notes/03_Chemical_Sciences/Pomberger_2022_Automated_pH_Adjustment.md	https://doi.org/10.1016/j.cej.2022.139099	Source trail: Lapkin chemistry-automation branch 2026-06-17; robotic workflows plus active machine learning for closed-loop pH adjustment optimization in chemical systems. Round2NoteLanded2026-06-19: formal note keeps top-level `03`; the main remaining risk is evidence completeness and second-level refinement, not a `03 / 09` top-level move. RelaxedRound2P1L2026-06-21: scientific_object_modules=03; object_coverage_mode=single_module; primary_module_for_filing=03; general_method_bucket=none; first_hand_sources_checked=ChemRxiv full-text PDF + ScienceDirect publisher page/abstract; evidence=the closed-loop robotic workflow is validated on buffered chemical systems including acetate, citrate, KH2PO4, and ammonium compositions, while industrial/process-control language remains application motivation rather than an independent engineering-system experiment, so `09` is not added. Batch18Reaudit2026-06-22: note wording refreshed against first-hand ChemRxiv full text plus publisher metadata; `03.03` remains stable and the earlier `03 / 09` pressure is closed conservatively in favor of concrete chemical-system optimization.
ASD-0592	Autonomous materials synthesis by machine learning and robotics	Notes/04_Materials_Science/Shimizu_2020_Autonomous_Materials_Synthesis.md	https://doi.org/10.1063/5.0020370	Source trail: materials citation expansion 2026-06-17; title and source explicitly indicate autonomous materials synthesis by machine learning and robotics. NoteLanded2026-06-19: keep `04.04`; stable object is thin-film materials property optimization rather than generic workflow infrastructure. Batch17Partial1 2026-06-22: AIP official PDF rechecked; note synced; keep `scientific_object_modules=04`, `primary_module_for_filing=04`, `general_method_bucket=none`.
ASD-0854	Enabling Autonomous Science for a Mars Rover	Notes/10_Aerospace_Marine_and_Transportation_Sciences/Estlin_2008_Enabling_Autonomous_Science_Mars_Rover.md	https://doi.org/10.2514/6.2008-3241	Source trail: mission-science rover lineage expansion 2026-06-18; the paper describes mission-science autonomy that integrates onboard analysis, planning, and adaptive scientific follow-up for a Mars rover, making it a class-10 core Agent paper. NoteLanded2026-06-20: formal note added; batch13 review keeps `10 / 10.02` because the scientific object remains Mars-rover mission-science autonomy rather than an Earth-observation or generic workflow object. Batch30Partial3Reaudit2026-06-24: public full-text conference page plus official JPL OASIS page support a landed `10` closeout; corrected the author line to `Tara Estlin; Rebecca Castano; Daniel Gaines; Benjamin Bornstein; Michele Judd; Robert C. Anderson`. A mirror PDF archive attempt was `not accessed due to safety` because the mirror TLS certificate had expired, so no local PDF path was added and the safety skip remains visible.
ASD-0541	PromptBio: A Multi-Agent AI Platform for Bioinformatics Data Analysis	Notes/06_Life_Sciences/Zhang_2025_PromptBio_Bioinformatics.md	https://doi.org/10.1101/2025.07.05.663295	Source trail: Crossref thematic expansion 2026-06-17; explicit multi-agent bioinformatics-analysis platform. NoteLanded2026-06-19: official abstract kept this as a high-pressure `06.03 / 01.04` platform-boundary sample. Batch16Partial7Reaudit2026-06-23: safe official PromptBio publications / home / use-cases pages were rechecked; keep the record in the independent `01.04` bucket with `object_coverage_mode=general_method_without_concrete_object_experiments`, `primary_module_for_filing=01`, `general_method_bucket=01.04`; current safe sources support a platform/workflow reading but do not securely anchor paper-level concrete biology-object results strong enough for `06`.
ASD-0553	ToolsGenie 2.0: A Scalable and Extensible Multi-Agent System for Bioinformatics Automation	Notes/01_Formal_Information_and_Computational_Sciences/Ma_2026_ToolsGenie_2_Bioinformatics_Automation.md	https://doi.org/10.64898/2026.01.06.697527	Source trail: Crossref thematic expansion 2026-06-17. Round2Merge2026-06-19: removed this record from the life-science object filing path and placed it in the independent `01.04` bucket because the stable object is a multi-agent bioinformatics automation platform / workflow substrate rather than a concrete life-science discovery object. RelaxedRound2P0C2026-06-20: source_limited; accessible first-hand/near-first-hand evidence is DOI/bioRxiv-imported abstract plus metadata mirrors, while the bioRxiv full text/PDF was not accessible in this run. Abstract mentions bioinformatics analyses, an in-house dataset, BixBench, and research/clinical contexts, so `06`/`07` remain plausible, but no high-confidence module migration is accepted without full task inventory. Round2P0F2026-06-21: keep independent `01.04`; object_coverage_mode=general_method_without_concrete_object_experiments; primary_module_for_filing=01; first_hand_sources_checked=Crossref DOI abstract `10.64898/2026.01.06.697527` + official PromptBio platform landing page; evidence=official abstract describes a multi-agent bioinformatics automation platform with ReAct orchestration, Docker environment management, in-house benchmark data, and BixBench accuracy, but no concrete gene/protein/cell/disease object case studies or separate biomedical result reporting strong enough to add `06` or `07`. Batch16Partial5_2026-06-23: safety-visible closeout keeps independent `01.04`; this round checked the DOI resolver plus safe official PromptBio publications/use-cases pages, the DOI route redirected to non-safe `http` bioRxiv and was not followed, and no safe first-hand object-level biology/biomedical result evidence was recovered to reopen `06` or `07`.
ASD-0466	Discovery of Wall-Selective Carbon Nanotube Growth Conditions <i>via</i> Automated Experimentation	Notes/04_Materials_Science/Nikolaev_2014_CNT_Wall_Selectivity.md	https://doi.org/10.1021/nn503347a	HighImpactTrail: OpenAlex query `robotic scientist closed-loop experimentation`; High-impact/citation-expansion pass 2026-06-16. Round2NoteLanded2026-06-19: formal note keeps `04.03`; the main residual risk is confirmed-core strength rather than materials-object classification, because abstract-level evidence still underspecifies the autonomy loop.
ASD-0599	An AI-Native Biofoundry for Autonomous Enzyme Engineering: Integrating Active Learning with Automated Experimentation	Notes/06_Life_Sciences/Zhang_2026_AINative_Biofoundry_Enzyme_Engineering.md	https://doi.org/10.64898/2026.02.01.703093	Source trail: protein-biofoundry frontier expansion 2026-06-17; preprint explicitly integrates active learning with automated experimentation for autonomous enzyme engineering. NoteLanded2026-06-19: keep `06.03`; the stable object is enzyme / polymerase engineering, while the main remaining risk is evidence completeness rather than class drift. Batch23Partial1Reaudit2026-06-23: source-limited ScienceCast abstract/index evidence rechecked; note synced and landed `scientific_object_modules=06`, `object_coverage_mode=single_module`, `primary_module_for_filing=06`, `general_method_bucket=none`; keep the enzyme-engineering reading.
ASD-0741	Spatial transcriptomics AI agent charts hPSC-pancreas maturation in vivo	Notes/06_Life_Sciences/Lin_2025_Spatial_Transcriptomics_Pancreas_Maturation.md	https://doi.org/10.1101/2025.04.01.646731	Source trail: Shanghai AI Lab life-science / spatial-omics sibling expansion 2026-06-19; STAgent is presented as an AI agent that guides spatial transcriptomics analysis to chart pancreas maturation in vivo, which is a direct life-science research object rather than generic biomedical assistance. Formal note added 2026-06-20; canonical title normalized and reviewer evidence supports keeping 06.03 rather than 01.04 because the object is concrete spatial transcriptomics biology. Batch25Partial1Reaudit2026-06-23: closed; current first-hand abstract/API evidence keeps this in module 06; note/master closed as source_limited rather than safety-blocked.
