paper_id	title	assigned_slice	evidence_agent	first_hand_sources_checked	local_pdf_found	recommended_pdf_url_or_status	agent_inclusion	concrete_scientific_objects	concrete_object_evidence	suggested_modules	suggested_01_04_bucket	primary_module_for_filing	boundary_type	confidence	note_revision_required	source_limited	safety_or_access_note	short_reason
ASD-0005	A Multiagent-Driven Robotic AI Chemist Enabling Autonomous Chemical Research On Demand	A	Evidence-Agent-A	publisher landing page abstract; official ACS supporting-information page (figshare)	no	DOI https://doi.org/10.1021/jacs.4c17738 ; supporting-info https://acs.figshare.com/articles/journal_contribution/A_Multiagent-Driven_Robotic_AI_Chemist_Enabling_Autonomous_Chemical_Research_On_Demand/28558855	yes	functional materials; photocatalytic organic reactions	Current repo-documented first-hand leads state that six tasks culminate in functional-material discovery/optimization and a seventh task executes photocatalytic organic reactions in a robotic chemistry lab	03;04	none	03	03_04_multi_module_source_limited	medium_high	no	yes	Main PDF endpoint remained access-gated in this environment; controller retained Song-2025 publisher/supporting-info evidence and rejected A-agent's wrong Boiko DOI/PDF fields	Song 2025 remains a source-limited but stable 03;04 record anchored by chemistry and materials object tasks
ASD-0158	A robotic platform for flow synthesis of organic compounds informed by AI planning	A	Evidence-Agent-A	Crossref/Science publisher abstract; DOI landing; note lead only	no	DOI https://doi.org/10.1126/science.aax1566; Science PDF access returned 403 in prior checked lead	included	organic compounds; flow synthesis routes; drug/drug-like substance synthesis	Abstract-level evidence reports AI-planned robotic flow synthesis and synthesis of 15 drug or drug-like substances	03	none	03	03_vs_09_platform_boundary	high	uncertain	yes	access-limited full text; no safety issue	Object is organic synthesis itself; robotics/platform flavor should not move it to 09
ASD-0097	Cellvoyager: Ai compbio agent generates new insights by autonomously analyzing biological data	A	Evidence-Agent-A	publisher abstract/preview; DOI landing https://doi.org/10.1038/s41592-026-03029-6; official repo/demo leads; bioRxiv PDF lead returned 403	no	Use Nature DOI landing; backup preprint lead https://www.biorxiv.org/content/10.1101/2025.06.03.657517v1.full-text not obtained	included	scRNA-seq data; CellBench; COVID-19 immune-response data; human endometrium cell-cell communication; brain aging biological/biomedical analyses	Abstract/preview-level evidence supports autonomous notebook analysis plus benchmark and human-biomedical case studies	06;07	none	06	06_core_plus_07_adjunct	medium	no	yes	access-limited full text; no safety issue	Stable life-science core from single-cell biology; 07 is supportable as source-limited adjunct because of explicit human biomedical case studies
ASD-0112	CSSTep: Step-by-step exploration of the chemical space of drug molecules via multi-agent and multi-stage reinforcement learning	A	Evidence-Agent-A	DOI landing; Elsevier metadata/XML lead; HKUST abstract lead	no	DOI https://doi.org/10.1016/j.ces.2025.122048; Elsevier full text not obtained	included	drug molecules; chemical space exploration; COVID-19-related target-linked drug-design validation cases	Title/abstract-level evidence anchors drug-molecule optimization; note lead reports two COVID-related validation cases with MD simulation	03;07	none	03	03_core_plus_07_adjunct	medium	no	yes	access-limited full text; no safety issue	Chemical object coverage is clear; biomedical/drug-discovery add-on is plausible and currently source-limited rather than fully settled
ASD-0381	Autonomous reaction Pareto-front mapping with a self-driving catalysis laboratory	A	Evidence-Agent-A	publisher preview; DOI landing https://doi.org/10.1038/s44286-024-00033-5	no	Use DOI/publisher landing; no local PDF found	included	rhodium-catalyzed hydroformylation; phosphorus-based ligands; catalytic reaction parameter space	Preview/metadata indicate autonomous ligand benchmarking and Pareto-front mapping in a real catalysis lab	03	none	03	03_vs_04_catalysis_materials_boundary	high	uncertain	yes	access-limited full text; no safety issue	The searched object is catalytic reaction/ligand chemistry, so keep 03 rather than drifting to 04
ASD-0603	Reconfigurable system for automated optimization of diverse chemical reactions	A	Evidence-Agent-A	Science metadata/abstract; DOI landing https://doi.org/10.1126/science.aat0650	no	DOI landing only; no local PDF found	included	diverse chemical reactions; cross-coupling; olefination; reductive amination; SNAr; photoredox; multistep sequence	Abstract-level evidence shows plug-and-play continuous-flow optimization with inline analytics across concrete reaction classes	03	none	03	stable_03_source_limited_classic_sdl	high	uncertain	yes	access-limited full text; no safety issue	Despite platform generality, the validated objects are concrete chemical reactions, so this is not 01.04
ASD-0547	Closed-loop experimental AI for pixelated metasurface design	A	Evidence-Agent-A	Crossref DOI record; DOI resolver https://doi.org/10.1117/12.3091089; title/snippet-level SPIE boundary lead	no	safety-skip after DOI/landing boundary; do not force deeper unsafe SPIE access	included_tentative	pixelated metasurfaces; engineered nanostructures	Snippet-level evidence says fabrication-measurement-optimization closed loop for metasurface design	04	none	04	04_vs_09_with_safety_skip	low	no	yes	explicit safety/access stop beyond DOI/landing; do not push further	Object appears to be engineered nanostructure/material design, but evidence remains shallow and access was safety-limited
ASD-0569	Autonomous Nanocrystal Doping by Self-Driving Fluidic Micro-Processors	A	Evidence-Agent-A	publisher abstract page; DOI landing https://doi.org/10.1002/aisy.202200017	no	Use DOI/publisher landing; no local PDF found	included	lead halide perovskite nanocrystals; halide exchange; cation doping; doping-level optimization	Abstract-level evidence shows sequential reactions, surrogate-model building, and closed-loop campaigns on nanocrystal doping	04	none	04	04_vs_03_nanocrystal_boundary	high	no	yes	access-limited full text; no safety issue	Although multistage chemistry is involved, the direct optimized object is nanocrystal materials performance/composition
ASD-0735	Artificial Chemist: An Autonomous Quantum Dot Synthesis Bot	A	Evidence-Agent-A	Crossref abstract; DOI landing https://doi.org/10.1002/adma.202001626; publisher PDF link lead	no	Use DOI/publisher landing; no local PDF found	included	inorganic perovskite quantum dots; composition tuning; target bandgaps; quantum yield; polydispersity	Abstract-level evidence reports autonomous experiment selection, flow synthesis, measurement, and 11 tailored QD compositions within 30h	04	none	04	04_vs_03_quantum_dot_boundary	high	no	yes	access-limited full text; no safety issue	Synthesis bot framing should not override the fact that the optimized object is quantum-dot material properties
ASD-0727	GeoAgentic-RAG: A Multi-Agent framework for autonomous geospatial reasoning and visual insight generation with LLM	A	Evidence-Agent-A	ScienceDirect abstract page; DOI landing https://doi.org/10.1016/j.jag.2026.105195	no	Use DOI/ScienceDirect landing; no local PDF confirmed	included	vector/raster geospatial data; spatial relations; GIS analysis tasks; geospatial QA/visual insight generation	Abstract-level evidence ties the system to benchmarked geospatial reasoning tasks and Earth-observation-style analysis	05	none	05	05_vs_01.04_framework_boundary	high	no	no	no safety issue	Framework appearance is strong, but the validated tasks are concrete geospatial/Earth-analysis objects, so it should stay in 05 not 01.04
