module_code	module_rank	paper_id	title	year	source	citation_priority	evidence_status	pdf_exists	note_exists	source_limited	object_coverage_mode	primary_module_for_filing	representative_score	score_reasons
01	1	ASD-0013	The ai scientist-v2: Workshop-level automated scientific discovery via agentic tree search	2025	arXiv	core	first_hand_full_text	yes	yes	no	single_module	01	72	citation=core;evidence=first_hand_full_text;local_pdf;local_note;not_source_limited;primary_filing_match;single_module_anchor
01	2	ASD-0018	Agent laboratory: Using llm agents as research assistants	2025	arXiv	core	first_hand_full_text	yes	yes	no	single_module	01	72	citation=core;evidence=first_hand_full_text;local_pdf;local_note;not_source_limited;primary_filing_match;single_module_anchor
01	3	ASD-0019	Agentrxiv: Towards collaborative autonomous research	2025	arXiv	core	first_hand_full_text	yes	yes	no	single_module	01	72	citation=core;evidence=first_hand_full_text;local_pdf;local_note;not_source_limited;primary_filing_match;single_module_anchor
01	4	ASD-0032	Codescientist: End-to-end semi-automated scientific discovery with code-based experimentation	2025	arXiv	core	first_hand_full_text	yes	yes	no	single_module	01	72	citation=core;evidence=first_hand_full_text;local_pdf;local_note;not_source_limited;primary_filing_match;single_module_anchor
01	5	ASD-0048	Dolphin: Closed-loop open-ended auto-research through thinking, practice, and feedback	2025	arXiv	core	first_hand_full_text	yes	yes	no	single_module	01	72	citation=core;evidence=first_hand_full_text;local_pdf;local_note;not_source_limited;primary_filing_match;single_module_anchor
02	1	ASD-0058	Astroagents: A multi-agent ai for hypothesis generation from mass spectrometry data	2025	arXiv	core	first_hand_full_text	yes	yes	no	single_module	02	72	citation=core;evidence=first_hand_full_text;local_pdf;local_note;not_source_limited;primary_filing_match;single_module_anchor
02	2	ASD-0090	Agents for self-driving laboratories applied to quantum computing	2024	arXiv	core	first_hand_full_text	yes	yes	no	single_module	02	72	citation=core;evidence=first_hand_full_text;local_pdf;local_note;not_source_limited;primary_filing_match;single_module_anchor
02	3	ASD-0687	Agentic AI for Multi-Stage Physics Experiments at a Large-Scale User Facility Particle Accelerator	2025	arXiv	core	first_hand_full_text	yes	yes	no	single_module	02	72	citation=core;evidence=first_hand_full_text;local_pdf;local_note;not_source_limited;primary_filing_match;single_module_anchor
02	4	ASD-0062	Empowering scientific workflows with federated agents	2025	arXiv	core	first_hand_full_text	yes	yes	no	multi_module	01	66	citation=core;evidence=first_hand_full_text;local_pdf;local_note;not_source_limited
02	5	ASD-0151	Self-driving lab discovers principles for steering spontaneous emission beyond conventional Fourier optics	2026	Nature Communications	core	first_hand_full_text	yes	yes	no	multi_module	04	66	citation=core;evidence=first_hand_full_text;local_pdf;local_note;not_source_limited
